[9.88424269 3.28039331],[-1.84940613 -3.06325497],[5.00337111 3.1385692 ],[-3.1099257  -0.59882909],[4.68819745 9.95803713],[-3.75466288 -2.50733847],[3.36565309 1.68488914],[-3.6885048 -3.6285723],[0.65230521 7.54510897],[-4.7396125  1.9276967],[6.41537492 4.3590607 ],[-3.8413879  -1.09547562],[7.90126422 3.28513849],[-3.56609095 -1.05533913],[2.25635422 9.98553971],[-0.91075889 -1.99387045],[1.6614203  0.97759462],[-3.15177414 -1.16364601],[4.84133697 3.5493092 ],[-0.03677743 -2.3499609 ]
[6.64228121 2.62774422],[-1.14713933  0.50946647],[2.38208771 3.90302668],[-0.39540002  0.85676153],[3.42672238 6.70672364],[ 0.16470528 -1.20154387],[1.79509132 1.95685713],[0.18918055 1.22069024],[0.29183942 6.60087253],[ 1.06129669 -0.84977759],[3.30459395 4.0812742 ],[-0.86547776  0.2078447 ],[4.55700438 3.61149179],[-0.94293491  0.54057306],[2.79831925 6.50535278],[ 0.63310926 -1.07096332],[0.82208186 2.61434301],[0.78523786 1.0754486 ],[4.56519437 1.43216455],[-0.26549419 -0.12406598]
[6.52856575 2.68005352],[-1.12996135  0.53356328],[2.34528454 3.99027875],[-0.33932287  0.88876687],[3.44440981 6.58707686],[ 0.19094184 -1.18928909],[1.81728072 2.07933715],[0.25154957 1.22537543],[0.39875712 6.5170895 ],[ 1.07469551 -0.82780888],[3.21869146 4.10296357],[-0.8502168   0.22820921],[4.46361008 3.66639808],[-0.92478012  0.55747645],[2.8622588 6.3990681],[ 0.64351045 -1.05670752],[0.90217775 2.72030877],[0.8174574 1.0454673],[4.53719442 1.4231502 ],[-0.29267947 -0.05308345]
[6.41635247 2.73443251],[-1.11589034  0.55205242],[2.31395714 4.08034636],[-0.28516395  0.9139911 ],[3.46453344 6.46854104],[ 0.21060446 -1.18194095],[1.84545777 2.20190207],[0.30898779 1.22289326],[0.50701147 6.43561397],[ 1.09017762 -0.80159923],[3.13481857 4.12718166],[-0.82788893  0.25551632],[4.37195965 3.72284878],[-0.90722249  0.57234307],[2.92715214 6.29418171],[ 0.65285478 -1.04242243],[0.98559826 2.82358657],[0.84685248 1.01673058],[4.50648646 1.42166984],[-0.3198054   0.02646009]
[6.30597711 2.79099951],[-1.09400924  0.57675626],[2.28841252 4.17305824],[-0.22162772  0.94347617],[3.48633541 6.35060263],[ 0.22747024 -1.17441896],[1.87910414 2.32391865],[0.36324972 1.21665171],[0.61658023 6.35661414],[ 1.09954174 -0.77984207],[3.05268005 4.15360886],[-0.81430436  0.27340357],[4.28227575 3.78093701],[-0.88629395  0.58942953],[2.99303794 6.19082253],[ 0.66662416 -1.02293713],[1.07147978 2.92372066],[0.86632036 0.98222419],[4.47310911 1.42860554],[-0.34675587  0.11444763]
[6.19799857 2.85020897],[-1.06744553  0.60546391],[2.26914178 4.26835061],[-0.16601027  0.95952468],[3.51028958 6.23393431],[ 0.24639149 -1.16375495],[1.91772698 2.44487079],[0.40854122 1.20210205],[0.72685889 6.27960301],[ 1.10826508 -0.7579702 ],[2.97204316 4.18191173],[-0.7962223   0.29470723],[4.19495836 3.84096236],[-0.8578284   0.61321798],[3.06009645 6.08922849],[ 0.67539997 -1.00799344],[1.1594675  3.02075973],[0.89364184 0.9593694 ],[4.43685669 1.4445333 ],[-0.37801492  0.20530869]
[6.09211505 2.91167364],[-1.05052053  0.62322469],[2.25574249 4.36534226],[-0.10128457  0.98014646],[3.53588208 6.1181874 ],[ 0.26606119 -1.15039428],[1.96071247 2.56428489],[0.4486028  1.18405443],[0.8380454  6.20486467],[ 1.11394745 -0.73825554],[2.89330437 4.21239763],[-0.77747758  0.31592525],[4.1102584  3.90310305],[-0.83692419  0.62865397],[3.12800702 5.98913603],[ 0.6807662  -0.99572334],[1.24958712 3.11508114],[0.91000708 0.92891235],[4.39744341 1.46978456],[-0.40750406  0.30293916]
[5.98790792 2.97480932],[-1.03390708  0.63890383],[2.24852569 4.46385748],[-0.04289071  0.98974582],[3.56310332 6.00350195],[ 0.27876214 -1.14248661],[2.00731618 2.68163301],[0.48289038 1.16302419],[0.9497487  6.13206038],[ 1.12046418 -0.71733919],[2.81646638 4.24498855],[-0.76067184  0.33431349],[4.02775444 3.96683243],[-0.80992103  0.64902734],[3.19634389 5.89021073],[ 0.68576083 -0.98288912],[1.34156592 3.20673876],[0.93091192 0.9061268 ],[4.35557506 1.50541359],[-0.43114383  0.40818115]
[5.8850639  3.03912255],[-1.0220432   0.64795458],[2.24705465 4.56305961],[0.01657295 0.99684852],[3.59174914 5.88984578],[ 0.29470644 -1.129838  ],[2.05727588 2.79694273],[0.51538812 1.14270121],[1.06198993 6.06126318],[ 1.12314156 -0.69988626],[2.74179624 4.27986067],[-0.73613494  0.3596349 ],[3.94788015 4.03248108],[-0.78651017  0.66482663],[3.26525068 5.79266685],[ 0.68892997 -0.97128748],[1.43557911 3.29621047],[0.94846308 0.88293408],[4.31140929 1.55153764],[-0.44876537  0.51670305]
[5.78389586 3.10476064],[-1.00343565  0.66256353],[2.25196185 4.66318109],[0.07779892 1.00122638],[3.62216788 5.77766688],[ 0.3138034  -1.11362332],[2.11075318 2.91057401],[0.55077688 1.12684098],[1.17462113 5.99233897],[ 1.12878173 -0.67919794],[2.66931327 4.316953  ],[-0.71340643  0.38219658],[3.87043304 4.09973956],[-0.76334223  0.67924332],[3.33439977 5.6962485 ],[ 0.69423881 -0.95683099],[1.53152133 3.38368022],[0.96923282 0.86583043],[4.26563109 1.60831265],[-0.46640864  0.61732728]
[5.68476936 3.17200095],[-0.97986909  0.68142168],[2.26265142 4.76324799],[0.13741498 1.00100873],[3.65455031 5.6671629 ],[ 0.33305559 -1.09715274],[2.1675258  3.02246027],[0.58582539 1.11227947],[1.28772679 5.92542406],[ 1.1295277  -0.66301354],[2.5992901  4.35644241],[-0.68812427  0.40637876],[3.79540386 4.16848188],[-0.73858399  0.6940875 ],[3.40409997 5.60131278],[ 0.69920751 -0.942378  ],[1.62893366 3.46896904],[0.97996648 0.84133018],[4.21899161 1.67544706],[-0.46344004  0.72558386]
