[8.00118942 6.76873973],[-0.93946765  0.5939747 ],[8.85829909 7.14653428],[-0.96441455  0.54222905],[3.60251567 3.06386574],[ 0.16144204 -0.71080366],[0.69743963 6.62787555],[ 1.05927258 -0.04185878],[1.0195528  7.60926112],[ 0.74015862 -1.11767998],[7.2749808  6.67049652],[-1.09093313  0.3354332 ],[4.32004597 3.20880787],[-0.69897382 -0.35138334],[9.01969935 4.48136357],[-0.13930186  0.99765411],[9.30599635 4.5485228 ],[-1.07778572 -0.64156914],[0.95781231 2.31764135],[0.84069746 1.09419651]
[7.90549797 6.82596108],[-0.97431973  0.54962473],[8.75869299 7.19776005],[-1.0285412   0.47934134],[3.62094945 2.99364084],[ 0.20677803 -0.69399056],[0.80800901 6.62200036],[ 1.14919506 -0.07336102],[1.0958342  7.49896659],[ 0.78201323 -1.09043411],[7.16498862 6.70159841],[-1.10511414  0.2901309 ],[4.24997894 3.17552322],[-0.70093564 -0.31255136],[9.00125952 4.58197053],[-0.22791098  1.01422471],[9.19613184 4.48678321],[-1.11528518 -0.59023473],[1.04350946 2.42585061],[0.87269511 1.07033432]
[7.80581665 6.8779487 ],[-1.01835178  0.49011653],[8.65306119 7.24246549],[-1.08251112  0.41449172],[3.64400321 2.92523177],[ 0.25220328 -0.67601639],[0.92621422 6.61309489],[ 1.20969706 -0.10548758],[1.17599084 7.39142601],[ 0.82349233 -1.0571631 ],[7.05417906 6.72870998],[-1.11082796  0.25219352],[4.17961495 3.14613434],[-0.70513111 -0.27373233],[8.97369049 4.68343439],[-0.32419924  1.01259225],[9.08285353 4.43018549],[-1.14832432 -0.54095084],[1.13190988 2.53143427],[0.89373019 1.04067846]
[7.70239088 6.92435031],[-1.04932115  0.43792398],[8.54264224 7.28077887],[-1.12654733  0.34955899],[3.67204863 2.85913321],[ 0.30823815 -0.6462159 ],[1.04946003 6.60122151],[ 1.25137951 -0.13200487],[1.26010701 7.2872617 ],[ 0.85744851 -1.02677669],[6.94264229 6.75181596],[-1.12033221  0.20927039],[4.10906877 3.12098071],[-0.70587944 -0.22907248],[8.9367781  4.78449973],[-0.41267398  1.00799596],[8.96683322 4.3787641 ],[-1.17155054 -0.48789639],[1.22230046 2.63419111],[0.9118042  1.01299512]
[7.59585216 6.96526817],[-1.0811908   0.37990206],[8.42810059 7.312423  ],[-1.16200123  0.28441468],[3.70568176 2.79606319],[ 0.36236974 -0.61693092],[1.17600893 6.58686137],[ 1.27650548 -0.15534526],[1.34747026 7.18619532],[ 0.88933485 -0.99443696],[6.83004593 6.77040817],[-1.12950726  0.16442211],[4.03817909 3.10014066],[-0.70963244 -0.18513021],[8.89146882 4.88494535],[-0.4919636  1.000273 ],[8.84874406 4.33263622],[-1.18915873 -0.43450924],[1.31456768 2.73447217],[0.9325856  0.99238872]
[7.48670174 7.00074078],[-1.10384653  0.32685695],[8.3103679  7.33755563],[-1.19064336  0.21921528],[3.74483871 2.73613406],[ 0.42111637 -0.58090052],[1.30450267 6.57038599],[ 1.29156752 -0.17384732],[1.43798374 7.08848972],[ 0.91867888 -0.9614389 ],[6.71652045 6.78440039],[-1.13837885  0.11766795],[3.96696561 3.08386137],[-0.71472819 -0.14026628],[8.83834469 4.98411115],[-0.56820467  0.98333724],[8.72920757 4.29192621],[-1.2000643  -0.37878591],[1.40861862 2.83259821],[0.9504732 0.9728374]
[7.37535312 7.0307802 ],[-1.12248499  0.2741462 ],[8.19031665 7.35644832],[-1.20994417  0.15844194],[3.7896946  2.67976337],[ 0.4740296  -0.54791467],[1.43362184 6.5517016 ],[ 1.29393527 -0.19525475],[1.53115748 6.9939503 ],[ 0.94031045 -0.93342747],[6.60269321 6.79423439],[-1.1356269   0.08164518],[3.89548129 3.0724115 ],[-0.71425497 -0.08764195],[8.77806747 5.08145974],[-0.637517    0.96157153],[8.60854899 4.25656437],[-1.21333805 -0.32948589],[1.50434458 2.92883971],[0.96466878 0.95323578]
[7.26229699 7.05555432],[-1.13830278  0.22131196],[8.06845377 7.36917831],[-1.22617859  0.09679113],[3.83989043 2.62691598],[ 0.53075461 -0.50749001],[1.56294033 6.5312455 ],[ 1.29208623 -0.21329235],[1.62619936 6.90203236],[ 0.95930836 -0.90583207],[6.48896016 6.80028959],[-1.13768944  0.04059932],[3.82397297 3.06626882],[-0.71433912 -0.03334831],[8.71065756 5.1759018 ],[-0.70825766  0.92801825],[8.48620138 4.22547902],[-1.23017143 -0.28990265],[1.60136691 3.02316906],[0.97676405 0.93490617]
[7.14757504 7.07480722],[-1.15365286  0.16569247],[7.94520242 7.37581488],[-1.23712729  0.03725895],[3.89600857 2.57857414],[ 0.59226825 -0.4578525 ],[1.69226496 6.5094904 ],[ 1.29042165 -0.22493429],[1.72301595 6.81284031],[ 0.9759201 -0.8788548],[6.37491531 6.80206157],[-1.14476216 -0.00698715],[3.75232288 3.06551195],[-0.71555796  0.02156952],[8.63672214 5.26705015],[-0.7702578   0.89355049],[8.36304924 4.19899667],[-1.23544321 -0.24299241],[1.6992661  3.11548879],[0.98249193 0.91326254]
[7.03175752 7.08881024],[-1.16076808  0.11613018],[7.82118823 7.37672805],[-1.2397409  -0.01568166],[3.95797811 2.53515847],[ 0.64594101 -0.41068142],[1.82089775 6.48623245],[ 1.28259223 -0.23939085],[1.82161418 6.72654503],[ 0.99083257 -0.85206237],[6.26071796 6.79953781],[-1.13774778 -0.04185342],[3.68057038 3.07033651],[-0.7163755   0.07817847],[8.55692656 5.35464239],[-0.8248681   0.85767044],[8.23921895 4.17684399],[-1.2414076  -0.20109712],[1.7978688  3.20591491],[0.98960897 0.89577972]
