[8.00412592 3.73560718],[-0.48411033  1.00190928],[3.25960541 5.8912471 ],[ 1.07027751 -0.80849412],[3.68279569 8.320206  ],[ 0.982928   -1.00866017],[7.3627815  3.32169505],[-0.08459685 -0.96290103],[8.17895165 1.34958035],[0.18123022 1.21895907],[3.43223252 3.19071207],[0.70388877 1.00959587],[7.86706908 4.07661364],[-0.44755993  0.97834593],[9.27067768 2.66370029],[0.21210415 1.00942646],[8.92951894 6.2620062 ],[-0.59258628 -1.12443852],[9.43768995 2.00371233],[-0.28382781  0.03221982]
[7.95488996 3.83494676],[-0.50039609  0.98490695],[3.36687062 5.81127998],[ 1.07697458 -0.78881277],[3.78063757 8.21932369],[ 0.97163681 -1.01113702],[7.35364862 3.22593478],[-0.09672706 -0.95088097],[8.19491005 1.47152602],[0.13766796 1.21897764],[3.50505038 3.29009046],[0.75154771 0.97767999],[7.82136373 4.1735264 ],[-0.46183388  0.96441717],[9.28889672 2.76599696],[0.15118163 1.03439459],[8.86968918 6.15036599],[-0.60207488 -1.10676866],[9.40448555 2.00945433],[-0.37766235  0.08666867]
[7.90431058 3.93280907],[-0.5134646   0.96986494],[3.47503526 5.73354815],[ 1.08430754 -0.76774678],[3.87703317 8.11791341],[ 0.95664252 -1.01660881],[7.34361507 3.13170474],[-0.10220071 -0.93209521],[8.20692946 1.59369304],[0.10200678 1.22277223],[3.58258493 3.38639595],[0.79953505 0.94945626],[7.77439121 4.26912509],[-0.47924789  0.94581014],[9.30119229 2.87067433],[0.09267552 1.05612467],[8.80904158 6.04053152],[-0.61164266 -1.09089743],[9.36205009 2.02122235],[-0.46748536  0.1531742 ]
[7.85231898 4.02901571],[-0.52485104  0.95562057],[3.58395307 5.65797445],[ 1.09132443 -0.74638593],[3.97213249 8.01618713],[ 0.94566189 -1.0175391 ],[7.33248147 3.03881132],[-0.12108275 -0.9261003 ],[8.21513348 1.71579151],[0.06109292 1.21783958],[3.66451072 3.47964645],[0.83987357 0.91715631],[7.72568107 4.36283512],[-0.49450897  0.92869637],[9.30753277 2.97713722],[0.0352341  1.07314873],[8.74733728 5.9321411 ],[-0.62094104 -1.07570217],[9.3105478  2.03979747],[-0.5640639   0.21684641]
[7.79906978 4.12362791],[-0.54248051  0.93425749],[3.69346072 5.58444807],[ 1.09665129 -0.72622935],[4.06594457 7.9142003 ],[ 0.93025235 -1.0224502 ],[7.31986683 2.94700377],[-0.1303925  -0.90927906],[8.21952654 1.83754388],[0.02636043 1.21625269],[3.75016461 3.56955321],[0.87378185 0.88227457],[7.67558607 4.45492814],[-0.50804279  0.91233137],[9.30825506 3.08511469],[-0.01861619  1.0873587 ],[8.68470573 5.82522328],[-0.62937114 -1.06050796],[9.24938348 2.06467534],[-0.65692477  0.281927  ]
[7.74442376 4.21644797],[-0.55064025  0.92177019],[3.80333508 5.51278884],[ 1.09940606 -0.7083724 ],[4.15814569 7.81167678],[ 0.91680143 -1.02491769],[7.3062695  2.85684283],[-0.14161456 -0.89386384],[8.22047464 1.95900618],[-0.00861497  1.21128114],[3.83923758 3.65619501],[0.90540127 0.84900175],[7.62428797 4.54548451],[-0.51833148  0.89823303],[9.30290539 3.19355182],[-0.08311969  1.08590476],[8.62136601 5.71991312],[-0.63371688 -1.04215955],[9.17925205 2.09598926],[-0.74582152  0.34198112]
[7.6888273  4.30783685],[-0.56161283  0.90554965],[3.91310689 5.44253309],[ 1.09736852 -0.69551758],[4.24946483 7.70938084],[ 0.91010797 -1.02046456],[7.29163342 2.76834157],[-0.15301673 -0.87791745],[8.21825056 2.08014992],[-0.03531471  1.21143536],[3.9313334  3.73956642],[0.93313965 0.81574999],[7.57178973 4.63441676],[-0.53129582  0.8806612 ],[9.29207853 3.3025232 ],[-0.13771665  1.08826344],[8.55773907 5.6165228 ],[-0.63945899 -1.0264123 ],[9.10099407 2.13335228],[-0.82122885  0.40026095]
[7.63209687 4.39753863],[-0.57111943  0.890221  ],[4.02276768 5.37364943],[ 1.09650989 -0.6814762 ],[4.33993302 7.60735667],[ 0.89879177 -1.02043708],[7.27570519 2.68133968],[-0.16608903 -0.86246919],[8.21332671 2.20108892],[-0.06476834  1.20533588],[4.02601185 3.81961229],[0.96128107 0.78672449],[7.5180286  4.72159451],[-0.54295514  0.86376631],[9.27548095 3.41117099],[-0.19273197  1.0853586 ],[8.49330918 5.51446361],[-0.6447758  -1.01052101],[9.01584607 2.17623523],[-0.8789883   0.45659688]
[7.57437502 4.48563369],[-0.5816297   0.87327656],[4.13270042 5.30655225],[ 1.10064771 -0.66180555],[4.4295068  7.50558384],[ 0.89004625 -1.01763344],[7.25836015 2.59583777],[-0.18089936 -0.84737286],[8.20512253 2.32101404],[-0.09822175  1.19403581],[4.12310918 3.89655268],[0.98275973 0.75484206],[7.46309919 4.80704817],[-0.55406751  0.84677859],[9.25369283 3.51956223],[-0.24351365  1.08105698],[8.42836229 5.41397781],[-0.6538714  -0.99889367],[8.92552275 2.22430186],[-0.92307015  0.50564452]
[7.51604213 4.57243713],[-0.58412184  0.86353798],[4.24257459 5.24096773],[ 1.09560227 -0.65119945],[4.51803718 7.40393608],[ 0.87919615 -1.01666498],[7.23978391 2.51216563],[-0.18778973 -0.82318136],[8.19392802 2.44008612],[-0.12448921  1.18814197],[4.22216472 3.97029601],[1.00092953 0.72322589],[7.40712471 4.89083442],[-0.56626136  0.82804715],[9.22674377 3.62719376],[-0.29259053  1.07349515],[8.36258808 5.31473955],[-0.66339682 -0.98770152],[8.83148901 2.27695356],[-0.95696501  0.54466137]
