[4.28936145 6.02892859],[-4.59089833  1.32718776],[8.92682127 3.29573363],[ 3.49229569 -3.21829073],[0.28834369 4.35865179],[-2.59546132  1.87457371],[5.41058783 8.0304389 ],[ 0.80984093 -3.46200289],[0.77211737 9.64212573],[-2.65961465  0.86487663],[3.41267263 6.28008232],[-3.9413112  -1.48871783],[4.73695794 4.28097266],[1.60978156 0.90056169],[0.93031606 4.61478429],[ 1.9965315  -0.41481723],[2.76786802 5.41664622],[-4.56518542  0.21147663],[5.9573616 7.1832247],[-1.29884987 -2.4920136 ]
[1.84110066 6.50633143],[-0.88011754 -0.01457039],[8.48063774 2.27132871],[-1.37998334  0.29355445],[-0.16303316  6.38591107],[0.75507692 0.81603102],[5.07193098 5.43108642],[-0.6368166  -0.91601715],[-0.52336142  8.57258848],[ 0.31174135 -1.2389968 ],[1.27797944 5.21660234],[-0.64371713 -0.51855448],[5.94410882 6.02457987],[-0.10869628  0.95252785],[3.46932077 4.73134652],[0.99349588 0.3268561 ],[0.56062453 5.71625774],[-0.61340818  0.2133321 ],[4.23490036 5.15554936],[-0.92179321 -0.61438583]
[1.75355934 6.5036998 ],[-0.87182496 -0.03935715],[8.34278877 2.30331526],[-1.37485654  0.34634191],[-0.08431065  6.46573953],[0.81650459 0.77828447],[5.00647226 5.34082673],[-0.67050145 -0.88746926],[-0.48908552  8.44878796],[ 0.37543919 -1.23305855],[1.21488906 5.16452298],[-0.61730319 -0.52226902],[5.9293837  6.11949407],[-0.18810552  0.9430287 ],[3.56770712 4.76503733],[0.9735893  0.34634841],[0.50043869 5.73791184],[-0.59030483  0.21971471],[4.14231796 5.0954291 ],[-0.93090181 -0.58915381]
[1.66698249 6.49867093],[-0.86051284 -0.06215957],[8.20567661 2.34027607],[-1.369626    0.38886477],[-1.59031537e-04  6.54124428e+00],[0.86861909 0.73462097],[4.93791592 5.25366667],[-0.6978409  -0.85316955],[-0.44821354  8.32636454],[ 0.43808675 -1.21759233],[1.15439929 5.11201227],[-0.59178825 -0.52729051],[5.90668966 6.21330308],[-0.26706983  0.93123732],[3.66420407 4.80080064],[0.95613037 0.36877956],[0.4428626  5.76048727],[-0.56144219  0.23157614],[4.04888296 5.03786515],[-0.93882613 -0.56321644]
[1.58120761 6.49096575],[-0.8539055 -0.0910958],[8.06918078 2.38108877],[-1.35993973  0.42645851],[0.08920444 6.61258182],[0.91776475 0.69207873],[4.86641336 5.16969068],[-0.73133245 -0.82560914],[-0.40178799  8.2052894 ],[ 0.49020386 -1.20250156],[1.09651874 5.05903169],[-0.56668112 -0.53324341],[5.87610652 6.30575454],[-0.34281623  0.9186693 ],[3.75871351 4.83859613],[0.93431762 0.38739967],[0.38806358 5.78412316],[-0.53052487  0.24512723],[3.95473274 4.98295155],[-0.94541032 -0.53630783]
[1.49657319 6.4807847 ],[-0.83937216 -0.11321563],[7.93372957 2.42538599],[-1.34908724  0.45863557],[0.18322694 6.67964017],[0.95866924 0.64591979],[4.79157023 5.08845738],[-0.7619473 -0.7956189],[-0.35018588  8.08611027],[ 0.54333891 -1.1784187 ],[1.04108556 5.00536138],[-0.53938879 -0.53764733],[5.8380533  6.39678848],[-0.41602494  0.90315651],[3.85107111 4.87830452],[0.91316223 0.40717597],[0.33639211 5.80913388],[-0.50293718  0.25494393],[3.85990395 4.93068952],[-0.95008355 -0.50785635]
[1.41322933 6.46818045],[-0.82715687 -0.13871864],[7.79964748 2.4729525 ],[-1.3346363   0.48980533],[0.28069053 6.74164818],[0.99269084 0.5971304 ],[4.71417635 5.0107038 ],[-0.78768959 -0.76137399],[-0.29400492  7.96894739],[ 0.57952416 -1.16432933],[0.98828645 4.95112074],[-0.51698556 -0.54764866],[5.79262679 6.48591105],[-0.49040015  0.8802898 ],[3.94101306 4.91971164],[0.88682798 0.42214919],[0.28762139 5.83523121],[-0.46966299  0.26971805],[3.76437405 4.88102455],[-0.95983793 -0.48494281]
[1.33106942 6.45292155],[-0.81685958 -0.16753173],[7.66706788 2.52349475],[-1.31604202  0.52165392],[0.38145353 6.79890721],[1.0216229  0.54793736],[4.63382233 4.93595596],[-0.81552128 -0.72989006],[-0.23384554  7.85387059],[ 0.62123933 -1.13879634],[0.93794611 4.89605951],[-0.49513728 -0.5589807 ],[5.73967388 6.57233255],[-0.56773671  0.8479302 ],[4.02876134 4.96309375],[0.86653713 0.44403928],[0.24235477 5.86294641],[-0.43721773  0.28289821],[3.6679864  4.83373076],[-0.96819603 -0.46139171]
[1.24993336 6.43468377],[-0.80356238 -0.19512916],[7.53609469 2.57685337],[-1.30444857  0.54373156],[0.48472333 6.85106578],[1.04802035 0.50039511],[4.55076643 4.86440113],[-0.84504587 -0.70087061],[-0.17010339  7.74100308],[ 0.6525486  -1.11877047],[0.88976982 4.83980705],[-0.46636747 -0.56416676],[5.67982849 6.65599832],[-0.63149043  0.82172319],[4.11424271 5.00847797],[0.84234927 0.46303027],[0.20024247 5.89183579],[-0.4047585   0.29497958],[3.5707848  4.78877358],[-0.97548969 -0.43759807]
[1.17037328 6.41386562],[-0.78783721 -0.22158372],[7.40610172 2.63203906],[-1.29556421  0.55932237],[0.59053942 6.89862668],[1.06766561 0.45093213],[4.46522926 4.79617669],[-0.8667467  -0.66484611],[-0.10326997  7.6303208 ],[ 0.68342919 -1.09500604],[0.84450553 4.78302496],[-0.43787957 -0.57056266],[5.61336085 6.73641179],[-0.69796888  0.78513023],[4.19718195 5.05568394],[0.81664782 0.48142943],[0.16148359 5.92197676],[-0.36834028  0.30970041],[3.47275142 4.74604519],[-0.98439741 -0.41640641]
[1.09218338 6.39012192],[-0.77613158 -0.25376894],[7.27711596 2.68875532],[-1.28620176  0.57252084],[0.6981847  6.94131195],[1.083847   0.40216911],[4.37740106 4.73139336],[-0.89235398 -0.63361001],[-0.0335407   7.52198774],[ 0.70842419 -1.0738206 ],[0.80187666 4.72534342],[-0.41217147 -0.58064482],[5.54012101 6.81265778],[-0.76434973  0.74093544],[4.27753253 5.10476361],[0.79194241 0.50192229],[0.12642908 5.95357677],[-0.33219884  0.32258978],[3.37434356 4.70591897],[-0.98246026 -0.3847646 ]
