[4.42531505 3.06632401],[-0.84969833 -0.54540641],[5.68327988 5.83598426],[-0.96862428  0.51067447],[2.69886654 7.32923856],[ 0.69412829 -1.08375537],[1.95384761 6.57875337],[-0.15914772 -1.1841032 ],[4.79067335 7.60586145],[-0.91819527 -0.8800595 ],[2.80544397 4.85196368],[-0.75536119  0.516726  ],[3.57728447 2.84033645],[-0.46527671  1.06274933],[2.2710408  1.28500259],[-0.45566557  1.09617586],[6.20219091 0.40817747],[-0.4306816   0.21233148],[2.08793236 3.56710399],[0.19237593 1.10607353]
[4.33957316 3.01355815],[-0.86907903 -0.51386704],[5.58473256 5.8844847 ],[-0.99985671  0.46120141],[2.76736493 7.22085485],[ 0.67430335 -1.08541614],[1.94033902 6.46011254],[-0.11147988 -1.18817251],[4.70029512 7.51659224],[-0.89101508 -0.90616902],[2.73035322 4.9034178 ],[-0.74592098  0.51290289],[3.53161227 2.94660859],[-0.44877577  1.06221156],[2.22808002 1.39606183],[-0.4049175   1.12303441],[6.15433877 0.43529743],[-0.52497283  0.33166523],[2.10873984 3.67712406],[0.22472624 1.09547209]
[4.25208124 2.96415138],[-0.88344316 -0.47686223],[5.48335047 5.9281401 ],[-1.02945451  0.40962823],[2.83391363 7.11235538],[ 0.6562824  -1.08497763],[1.93147922 6.34122792],[-0.06549739 -1.18841415],[4.61274075 7.42503894],[-0.86240825 -0.9264708 ],[2.65636154 4.95465297],[-0.73437821  0.51138942],[3.48741775 3.0526864 ],[-0.43392636  1.06067361],[2.190417   1.50982572],[-0.34855664  1.15126951],[6.09728285 0.47451627],[-0.61490339  0.45220601],[2.132749   3.78608659],[0.25185177 1.08054253]
[4.16298154 2.91830054],[-0.89777551 -0.43939802],[5.37901154 5.96643032],[-1.05735823  0.35553566],[2.89856924 7.00381841],[ 0.6367686  -1.08572568],[1.92717025 6.22251405],[-0.01989814 -1.18427476],[4.52796723 7.33158571],[-0.83269336 -0.94152625],[2.58344984 5.00567159],[-0.72607717  0.50677822],[3.44484409 3.15876115],[-0.41712786  1.061232  ],[2.15804292 1.62587303],[-0.30046402  1.16778295],[6.03143111 0.52531079],[-0.69684881  0.56516086],[2.1592927  3.89347955],[0.27882811 1.06737374]
[4.07235947 2.87612554],[-0.91517203 -0.40464806],[5.27253029 5.99980041],[-1.07519     0.30853472],[2.96111232 6.89507674],[ 0.61533097 -1.08779371],[1.92700597 6.10403455],[ 0.01562269 -1.1853008 ],[4.44565285 7.23631437],[-0.81209637 -0.96169909],[2.51101967 5.05587197],[-0.72065804  0.49908267],[3.40421741 3.26514344],[-0.39347892  1.06814271],[2.13046301 1.74345347],[-0.25322012  1.18150258],[5.95827697 0.58704347],[-0.76188871  0.66855624],[2.1885588  3.99963821],[0.30604989 1.05550211]
[3.98013986 2.83757006],[-0.93017888 -0.3674976 ],[5.16431752 6.02839158],[-1.08803699  0.26406003],[3.02134567 6.7860015 ],[ 0.59143524 -1.09148175],[1.93066568 5.98598126],[ 0.05743765 -1.17543624],[4.36557333 7.13939579],[-0.78951471 -0.97603853],[2.43901725 5.10517848],[-0.71695738  0.48943608],[3.36538436 3.37162127],[-0.3799685   1.06482514],[2.10728574 1.86202834],[-0.21097734  1.18932432],[5.87975793 0.65864025],[-0.80571434  0.76032449],[2.22063884 4.10472803],[0.33257392 1.04355525]
[3.88646265 2.80276434],[-0.9442956  -0.32954752],[5.05492057 6.05255516],[-1.09912281  0.21975047],[3.07950393 6.67689236],[ 0.56969844 -1.09263325],[1.93803502 5.86862349],[ 0.08911328 -1.17169272],[4.28791104 7.0413777 ],[-0.76652817 -0.98652167],[2.36767426 5.15380314],[-0.7087607  0.4841693],[3.3281125  3.47799589],[-0.36319431  1.06494074],[2.08853571 1.98153947],[-0.16421828  1.20053638],[5.79719035 0.73804787],[-0.84227999  0.82567082],[2.25499573 4.20832203],[0.35574481 1.02966042]
[3.79144314 2.77181348],[-0.95477876 -0.28821634],[4.94431878 6.07209751],[-1.11204584  0.17163648],[3.13540234 6.56762036],[ 0.54932692 -1.09176422],[1.94878662 5.75206165],[ 0.12363064 -1.16127486],[4.2120829  6.94202746],[-0.74662946 -0.99652249],[2.29764586 5.20240108],[-0.69500624  0.48464886],[3.29215364 3.58402972],[-0.3555777   1.05644632],[2.07411958 2.10178059],[-0.12329112  1.20503412],[5.71196872 0.82344951],[-0.86240368  0.87751186],[2.29172737 4.31062678],[0.37877693 1.01655419]
[3.69535589 2.74497069],[-0.96391926 -0.24570553],[4.83264571 6.08694686],[-1.12035111  0.12617703],[3.18934673 6.45852462],[ 0.52971992 -1.08996626],[1.96280591 5.63652144],[ 0.15354321 -1.15217607],[4.13866324 6.8422377 ],[-0.72306192 -1.00007942],[2.22840921 5.25046048],[-0.68815666  0.47808472],[3.25715913 3.68947058],[-0.34451287  1.0522569 ],[2.06374778 2.22239697],[-0.08526661  1.20641966],[5.62496281 0.91300948],[-0.87454583  0.91333465],[2.33080724 4.4117068 ],[0.40203757 1.00444093]
[3.59854686 2.7225765 ],[-0.97397607 -0.20403833],[4.7203779  6.09741897],[-1.12481719  0.08343878],[3.2411843  6.34947682],[ 0.50541272 -1.0923555 ],[1.97968616 5.52194018],[ 0.18383984 -1.13924128],[4.06691698 6.74156101],[-0.7090509  -1.01006363],[2.15992745 5.29792511],[-0.68171041  0.47092648],[3.22320137 3.79444876],[-0.33325668  1.04871592],[2.05713761 2.34313395],[-0.04663751  1.20857179],[5.53744501 1.0059086 ],[-0.87427743  0.94361712],[2.37197426 4.51138526],[0.42007869 0.98812697]
