[8.76249508 4.49884205],[-0.45972568  0.99634272],[8.33079001 4.48964755],[-1.11907807  0.53765918],[5.61102319 3.01850113],[-0.7954846  -0.51109056],[1.76524176 6.45858927],[ 0.54153996 -1.15513129],[5.7386669  5.17833693],[-0.65834394 -0.87706954],[5.91855934 8.4436363 ],[ 0.84016455 -0.85287345],[4.88238658 4.56997895],[ 0.7404143  -0.80970172],[8.11370278 6.63187437],[ 0.26492129 -1.06583301],[3.95543267 0.69981356],[1.1110075  0.59904734],[2.79212337 0.09643859],[0.01965152 1.24750243]
[8.71295865 4.5971593 ],[-0.52991827  0.96973165],[8.21848765 4.54184598],[-1.12594711  0.50719773],[5.53097131 2.96879946],[-0.80581982 -0.48333319],[1.82253587 6.34434131],[ 0.60369709 -1.1291815 ],[5.67345051 5.09069205],[-0.64688082 -0.87673641],[6.00035714 8.35533257],[ 0.79442013 -0.91294327],[4.95670046 4.48978622],[ 0.74579714 -0.79414382],[8.13673728 6.52369895],[ 0.19552052 -1.09695924],[4.06536484 0.76260884],[1.08997072 0.65866351],[2.79727246 0.22265795],[0.08355797 1.27537554]
[8.65657739 4.69260032],[-0.59832071  0.93720017],[8.10558806 4.59105444],[-1.13221914  0.47669198],[5.44993258 2.92189216],[-0.81451493 -0.45451196],[1.88570264 6.23273152],[ 0.65711761 -1.10423037],[5.60917199 5.00287166],[-0.63761779 -0.87859833],[6.07718275 8.26109122],[ 0.74138797 -0.97112566],[5.03175921 4.41137866],[ 0.75606165 -0.77326227],[8.15320358 6.4130545 ],[ 0.13131868 -1.11757802],[4.17285943 0.83086798],[1.06140606 0.70723985],[2.80858395 0.35097318],[0.14433715 1.29157094]
[8.59365427 4.78471096],[-0.66113912  0.90272454],[7.99229119 4.63741399],[-1.13314595  0.45114207],[5.36819753 2.87802035],[-0.8209495  -0.42380474],[1.95402587 6.12379364],[ 0.70699501 -1.07579696],[5.54589083 4.91493629],[-0.62715069 -0.8792614 ],[6.14901464 8.16175195],[ 0.69491674 -1.01480728],[5.10727716 4.33451528],[ 0.7543393  -0.76389155],[8.16278129 6.30015084],[ 0.06145945 -1.13846022],[4.27751631 0.90380049],[1.02833528 0.74717037],[2.8258059  0.48043882],[0.19877422 1.29592333]
[8.52464226 4.87319756],[-0.71743208  0.86740653],[7.87878936 4.68110124],[-1.1366405  0.4228205],[5.28575508 2.83713386],[-0.82849181 -0.39464008],[2.02723313 6.01789716],[ 0.75527191 -1.04314621],[5.48396291 4.82723264],[-0.6110392  -0.87452267],[6.21590906 8.05809719],[ 0.64390187 -1.05634164],[5.18265293 4.25864309],[ 0.75182056 -0.75484428],[8.16573817 6.18574328],[-0.00314096 -1.15003117],[4.37889865 0.98052614],[1.00135757 0.78866235],[2.84826737 0.61001076],[0.25080741 1.29570442]
[8.45028715 4.95807527],[-0.76894289  0.82972237],[7.76473616 4.72170923],[-1.14301768  0.39049847],[5.2025911  2.79916792],[-0.83290115 -0.36286908],[2.10452356 5.91478731],[ 0.78891521 -1.01973653],[5.42356234 4.73989755],[-0.59885873 -0.87405641],[6.27786231 7.95073824],[ 0.59554831 -1.08966783],[5.25786661 4.18378729],[ 0.75073005 -0.74393771],[8.16238944 6.07048461],[-0.06546336 -1.15643669],[4.47737662 1.06099521],[0.96634505 0.81807853],[2.87567275 0.73924792],[0.29907496 1.29082766]
[8.37065294 5.03872284],[-0.82314634  0.78275681],[7.64991353 4.75887415],[-1.1521729   0.35372409],[5.11906282 2.76444568],[-0.83964087 -0.33363453],[2.18524325 5.81432828],[ 0.82446325 -0.98981036],[5.36434593 4.65257423],[-0.5858364 -0.8727923],[6.33491922 7.84021658],[ 0.54364763 -1.12194937],[5.33309607 4.11016762],[ 0.75043317 -0.73182843],[8.15303285 5.9549111 ],[-0.12551278 -1.1586159 ],[4.57245934 1.14429959],[0.9359881  0.84796774],[2.90748512 0.8675944 ],[0.3367414  1.27603119]
[8.28598148 5.11474329],[-0.86952936  0.73739937],[7.53468689 4.7928122 ],[-1.15286451  0.32452406],[5.03504992 2.7328119 ],[-0.84041998 -0.29885982],[2.26925253 5.71678371],[ 0.8540196  -0.96219626],[5.30632151 4.56526301],[-0.57660063 -0.87533174],[6.38688164 7.7267808 ],[ 0.49689392 -1.14496835],[5.40830083 4.03778365],[ 0.75347179 -0.71598305],[8.13760457 5.83916908],[-0.18060693 -1.15384291],[4.66453144 1.23042759],[0.90339918 0.87185486],[2.9431372  0.99463729],[0.37813419 1.26669396]
[8.19691511 5.18617763],[-0.91077519  0.69139487],[7.41934642 4.8237611 ],[-1.1521303  0.296355 ],[4.95077648 2.70446543],[-0.84626661 -0.26939132],[2.35568285 5.62163257],[ 0.87404343 -0.94087739],[5.24928696 4.47777341],[-0.56615534 -0.87648036],[6.43428379 7.61129559],[ 0.45148084 -1.16411671],[5.48318043 3.96637436],[ 0.74405051 -0.71223573],[8.11664285 5.72389685],[-0.23978718 -1.15246753],[4.75335171 1.31876893],[0.87252936 0.89387207],[2.98295466 1.12077999],[0.41809678 1.25628183]
[8.10387926 5.25289601],[-0.9486183   0.64347484],[7.3039725  4.85177806],[-1.15537094  0.2637876 ],[4.86603302 2.67915213],[-0.85006124 -0.23849116],[2.44409971 5.52873251],[ 0.89437673 -0.91666608],[5.19363004 4.39050057],[-0.54818032 -0.87023511],[6.47709491 7.4939626 ],[ 0.40692361 -1.18004986],[5.55728924 3.89552677],[ 0.73848073 -0.70431917],[8.0902508  5.60929803],[-0.28978711 -1.14140269],[4.83898861 1.40904949],[0.84308572 0.91403876],[3.02617939 1.24538706],[0.44832565 1.23816762]
