[1.37680096 0.37655935],[-4.26094988 -4.03060817],[3.44987912 6.84891591],[3.71552603 2.97180114],[5.53458426 3.42652324],[ 2.9000969  -4.96818392],[9.07320641 9.30347639],[0.76089219 0.95470331],[9.04124769 7.66563801],[-1.22270571 -0.32506457],[6.29894861 9.6299828 ],[-2.87293659 -2.60798584],[9.47704415 1.10322127],[ 2.32357407 -2.85783583],[5.77664015 1.66206253],[ 1.41643759 -4.53362632],[6.17698815 3.19976125],[-3.26379907  3.89593528],[8.96616116 5.29815037],[0.82146543 0.88477005]
[1.55420456 0.150719  ],[1.18512004 0.83557662],[6.04143031 7.21732732],[ 1.05125933 -0.55790347],[7.25442961 1.8919543 ],[ 0.87328748 -0.02335106],[9.4195223  8.67878391],[-0.4169387  -1.28151962],[6.91821932 6.23591433],[-0.76440074 -0.89963799],[5.24434289 6.99669644],[ 0.08765883 -1.24161119],[9.93715216 0.53838097],[-0.73875749  0.88109867],[7.1226198  0.45998856],[0.83950752 0.55433666],[5.02955728 5.4273107 ],[-0.05770584  0.89028409],[9.15026751 6.78273187],[-0.70450232  0.49857669]
[1.67253259 0.23484759],[1.18261007 0.84804094],[6.14517048 7.15917761],[ 1.02570359 -0.60216304],[7.34186085 1.89251086],[0.87461197 0.03425677],[9.37628377 8.55065602],[-0.44654166 -1.27962719],[6.84297456 6.14537018],[-0.74009837 -0.91062694],[5.25473548 6.87277628],[ 0.12219938 -1.23423877],[9.86086645 0.62964403],[-0.78512416  0.93949309],[7.20595672 0.52028643],[0.82660964 0.65115455],[5.02569811 5.51577913],[-0.018965    0.87938952],[9.07588557 6.83006134],[-0.7790873   0.45025699]
[1.79052697 0.32010245],[1.17764617 0.85726586],[6.24629761 7.09675359],[ 0.99917123 -0.64333703],[7.42948348 1.89907027],[0.87397477 0.09361527],[9.33026191 8.42292586],[-0.47077052 -1.2720821 ],[6.77022585 6.05384605],[-0.71374554 -0.91852971],[5.26852555 6.74967314],[ 0.15421765 -1.22660005],[9.78079465 0.72579254],[-0.81690891  0.97774336],[7.28754977 0.58985695],[0.80322422 0.73800839],[5.02606825 5.60340716],[0.02666154 0.87309171],[8.9944441  6.87241151],[-0.84695166  0.39758785]
[1.90794668 0.40615484],[1.17014166 0.86289507],[6.34484384 7.03048096],[ 0.97265134 -0.68053872],[7.51730105 1.91202509],[0.88018998 0.16404504],[9.28187818 8.29596388],[-0.49487396 -1.26516465],[6.70019482 5.9616569 ],[-0.68786349 -0.92606757],[5.28547922 6.62743569],[ 0.18345405 -1.21899464],[9.69806624 0.82490291],[-0.83671436  1.00166147],[7.36647973 0.66771946],[0.77011524 0.81342979],[5.03078949 5.6900687 ],[0.06948313 0.86150939],[8.90695225 6.90967874],[-0.90609362  0.34267444]
[2.02460055 0.49269267],[1.16043907 0.86511448],[6.44025195 6.96017449],[ 0.9373234  -0.72327849],[7.6050464  1.93155226],[0.87555266 0.22789781],[9.23147168 8.17001833],[-0.51389459 -1.25453141],[6.63295076 5.8689481 ],[-0.66076023 -0.93168398],[5.30510666 6.50587352],[ 0.2090205  -1.21174609],[9.6138076  0.92586303],[-0.84787295  1.01552262],[7.44160155 0.75247026],[0.73079911 0.87928659],[5.04006894 5.77571129],[0.11561182 0.85044171],[8.81337371 6.94068878],[-0.96183489  0.27933301]
[2.14023823 0.57933337],[1.15353344 0.8687311 ],[6.53257969 6.8862074 ],[ 0.90821367 -0.75652646],[7.69216558 1.95749356],[0.86694857 0.29160085],[9.17925323 8.04516097],[-0.53142629 -1.24388592],[6.56815644 5.77546369],[-0.63470003 -0.93743763],[5.32707865 6.38498382],[ 0.23085158 -1.20501862],[9.52878246 1.02788082],[-0.85131654  1.02441429],[7.51293626 0.84372646],[0.69400421 0.94294112],[5.05409433 5.86023315],[0.1656953  0.84028499],[8.71495009 6.96554978],[-1.00453406  0.21841754]
[2.25509785 0.66619598],[1.14449541 0.86920636],[6.62176115 6.8088381 ],[ 0.87627783 -0.78950719],[7.77855433 1.99012806],[0.86023739 0.36110179],[9.12535127 7.92137261],[-0.54504301 -1.23067962],[6.5059031  5.68137609],[-0.61104777 -0.94482307],[5.35165208 6.26529694],[ 0.25979329 -1.18953419],[9.44363896 1.13056261],[-0.85003387  1.02957599],[7.57994024 0.9404244 ],[0.64532104 0.98928201],[5.07275592 5.94321748],[0.20967687 0.82113877],[8.61288017 6.9844865 ],[-1.03549772  0.1603122 ]
[2.36924533 0.75325409],[1.13832533 0.87169343],[6.70791137 6.7284799 ],[ 0.84773465 -0.81617863],[7.86385936 2.02948609],[0.84545979 0.42608244],[9.06999334 7.79872824],[-0.5603434  -1.22063247],[6.44598248 5.58656587],[-0.58496302 -0.94884668],[5.37878321 6.14688299],[ 0.28332151 -1.17792081],[9.35854375 1.2333879 ],[-0.85105587  1.02703997],[7.64244951 1.04184263],[0.6048976  1.03787165],[5.09648934 6.02479932],[0.26417158 0.80906909],[8.50764706 6.99713032],[-1.06743661  0.09287742]
[2.48258439 0.84032531],[1.13002019 0.87115888],[6.79149299 6.64587664],[ 0.82419731 -0.83518423],[7.94768443 2.07549115],[0.82957914 0.49294624],[9.01319556 7.67712512],[-0.57490226 -1.21100929],[6.38884252 5.49154563],[-0.55868699 -0.95228449],[5.40831851 6.02976459],[ 0.30817395 -1.16348226],[9.27344145 1.33587425],[-0.84869768  1.02452493],[7.70038396 1.14726666],[0.55405159 1.06986583],[5.12523685 6.10456176],[0.31237477 0.78738668],[8.39980642 7.00322206],[-1.08668092  0.03059667]
[2.59522997 0.92744649],[1.12263672 0.87084669],[6.87272365 6.56149108],[ 0.79620011 -0.85639521],[8.02943896 2.12781689],[0.80792931 0.55622641],[8.95542277 7.55688239],[-0.58062238 -1.19437473],[6.33424652 5.39612736],[-0.53451999 -0.9572163 ],[5.44039635 5.91419014],[ 0.33034462 -1.15077494],[9.18884945 1.43825607],[-0.84512435  1.02084242],[7.75366643 1.25602348],[0.51190796 1.10441235],[5.15901416 6.18220578],[0.36466811 0.76649606],[8.29020267 7.00294526],[-1.1056347  -0.03739619]
