[8.80180528 5.10179628],[-1.01347404 -0.78803639],[0.6102917  3.02986423],[0.94847341 0.94007342],[3.17388245 5.68315639],[ 1.18412571 -0.25877239],[7.20824846 4.23760608],[-1.13898066  0.46547524],[3.02290542 6.05374146],[-0.61020339  0.29087666],[5.9184316  2.71377481],[-0.97337437 -0.37080686],[1.74376395 2.89292454],[0.74554143 1.03817747],[8.20413681 2.96046262],[-0.76569357  1.03101969],[3.70621982 6.87572825],[ 0.3048435  -1.21965111],[6.7957592 5.823053 ],[ 0.75452487 -0.40682555]
[8.69903834 5.02491767],[-1.0399592  -0.74845973],[0.70682087 3.12217696],[0.9798398 0.9049112],[3.29164538 5.65641648],[ 1.17278693 -0.27417993],[7.0945776  4.28351131],[-1.13625043  0.45084894],[2.96291474 6.08202329],[-0.58992614  0.27432492],[5.82025059 2.67909844],[-0.98922578 -0.32205605],[1.82003366 2.99566422],[0.77970462 1.01702301],[8.12591729 3.06210869],[-0.79888464  1.00125004],[3.73716887 6.75423924],[ 0.3137268  -1.21031578],[6.86968036 5.78006993],[ 0.72532178 -0.45102642]
[8.59384697 4.95200689],[-1.06484742 -0.71155578],[0.80571508 3.21046834],[1.00159095 0.86534368],[3.40870622 5.62868045],[ 1.16463313 -0.28394979],[6.98085356 4.32761481],[-1.13860511  0.43072439],[2.90407924 6.10770674],[-0.58418138  0.241631  ],[5.72092389 2.64967455],[-0.99986083 -0.26921559],[1.8994734 3.0961934],[0.80750944 0.9925555 ],[8.04456761 3.16082881],[-0.82535224  0.97545066],[3.76874684 6.63352232],[ 0.32409703 -1.19770561],[6.94046408 5.73256671],[ 0.68711353 -0.50187924]
[8.48625784 4.88265164],[-1.08314967 -0.67246578],[0.90725714 3.2955288 ],[1.02807191 0.83555694],[3.52435174 5.59940852],[ 1.14846248 -0.3012664 ],[6.86709781 4.36988435],[-1.13494408  0.41622214],[2.84654886 6.13075545],[-0.56551229  0.22003057],[5.62019038 2.62509715],[-1.01435148 -0.22237916],[1.98121929 3.19396652],[0.8270801  0.96319982],[7.96087455 3.25713655],[-0.84675572  0.95206238],[3.80156733 6.51425742],[ 0.33087741 -1.18879091],[7.00754273 5.68021844],[ 0.65347334 -0.54554327]
[8.37683558 4.81701508],[-1.10322825 -0.6389967 ],[1.01111868 3.37752304],[1.04929006 0.80524896],[3.63848994 5.56852788],[ 1.13554045 -0.31500996],[6.75351254 4.41050379],[-1.13306828  0.39990311],[2.79075935 6.15142708],[-0.54926909  0.19408675],[5.51839088 2.60547937],[-1.02421455 -0.17304218],[2.06471708 3.2887635 ],[0.84305412 0.93346117],[7.87481109 3.35076583],[-0.87021458  0.92450157],[3.83502875 6.39591401],[ 0.33831892 -1.17796422],[7.0712793  5.62368541],[ 0.62250439 -0.58327896]
[8.26580363 4.75493532],[-1.11726988 -0.60314007],[1.1167206 3.4563195],[1.06360134 0.7722134 ],[3.75108633 5.53604632],[ 1.11852644 -0.33252661],[6.64076443 4.45018994],[-1.12211143  0.39393243],[2.73658482 6.16937913],[-0.53379309  0.16502082],[5.41550322 2.59055231],[-1.03325793 -0.12571361],[2.14982458 3.38074397],[0.85956475 0.90711094],[7.78693436 3.44207615],[-0.88668324  0.90206288],[3.86901564 6.27848283],[ 0.3411721  -1.17059067],[7.13152533 5.56316225],[ 0.58186214 -0.62712194]
[8.15320774 4.69609206],[-1.1335008  -0.57324904],[1.22391469 3.53217079],[1.08093939 0.74616455],[3.8625993  5.50248128],[ 1.10955188 -0.34061701],[6.52871082 4.48892837],[-1.12086825  0.37889354],[2.68418012 6.18451643],[-0.51633329  0.13525644],[5.31175802 2.58025335],[-1.03982851 -0.07893629],[2.23641926 3.47005646],[0.87521592 0.88247143],[7.69724026 3.53089188],[-0.90706538  0.87415089],[3.90373495 6.16227182],[ 0.35310581 -1.15388146],[7.18780211 5.49853996],[ 0.54302599 -0.66531235]
[8.03927144 4.64033388],[-1.14394034 -0.54115014],[1.33272042 3.60549848],[1.09195821 0.71776607],[3.97287256 5.46781925],[ 1.09590666 -0.35246075],[6.41690414 4.52626243],[-1.11545508  0.3676022 ],[2.63335242 6.19634947],[-0.49650549  0.10462105],[5.20767251 2.57481998],[-1.04259299 -0.03091022],[2.32508257 3.55752796],[0.89512712 0.86446563],[7.6057833  3.61712279],[-0.92396098  0.84837272],[3.93960957 6.04766661],[ 0.36587448 -1.13689118],[7.24013743 5.43024184],[ 0.50082311 -0.70280581]
[7.92438529 4.58772611],[-1.15145996 -0.50913444],[1.44244862 3.67596112],[1.10303104 0.69249289],[4.08158465 5.43180041],[ 1.07865085 -0.36768898],[6.30549897 4.56232399],[-1.11309186  0.35313264],[2.58491475 6.20536147],[-0.47249632  0.07480127],[5.10359483 2.57434869],[-1.0403384   0.01972503],[2.4152412  3.64281813],[0.90638582 0.84007806],[7.51289548 3.70097443],[-0.93524635  0.82704787],[3.97667717 5.93464406],[ 0.37260479 -1.1262347 ],[7.28767253 5.35784082],[ 0.45157183 -0.74275338]
[7.80864745 4.53808333],[-1.1614922 -0.4825981],[1.55334288 3.7441245 ],[1.11371601 0.6702406 ],[4.1888965 5.3946055],[ 1.06761027 -0.37607325],[6.19447763 4.59706962],[-1.10529464  0.34387935],[2.53866368 6.21098088],[-0.45315287  0.03627202],[4.99956407 2.57862654],[-1.04033631  0.06519328],[2.50645516 3.72570418],[0.91846864 0.81858807],[7.4185329  3.78229214],[-0.95077443  0.8003892 ],[4.01386319 5.82222468],[ 0.37502539 -1.11803027],[7.33038378 5.28178214],[ 0.39950521 -0.78074462]
