[2.31864775 4.55133475],[4.93877671 0.89660961],[0.63735868 8.43105787],[-2.18369651  1.81851772],[4.57433747 9.29941805],[-1.46844934 -4.47209365],[0.98282766 4.49585331],[ 0.39749486 -1.8240335 ],[9.41106139 9.74065174],[-0.68810105  1.99738055],[6.93005828 7.11165221],[-2.13075261  0.50978113],[7.49740966 2.40028493],[1.38987054 1.92413358],[7.89480989 4.72185321],[-0.65724028  3.89457483],[9.97190841 4.02011123],[1.11444362 0.88598162],[7.91688236 5.71154967],[3.48784401 2.10039248]
[5.08680202 5.45266468],[1.0234175  0.56762549],[1.02790057 9.45486911],[ 1.34645055 -0.14103612],[4.50796055 6.57833122],[ 0.38354231 -0.99917373],[3.10808607 3.5507922 ],[1.23530222 0.39777658],[ 7.34716975 10.27967912],[-1.06730156 -0.66516941],[4.57585457 7.22703321],[-0.89221854 -0.15914764],[7.85731825 5.03630037],[-0.35857572  1.16826515],[6.83761175 7.16980503],[-0.68215226  0.82091949],[9.71305945 6.11308776],[-0.94273439  0.86065503],[9.088694   7.40323784],[-0.33802577  0.86145643]
[5.18843102 5.5102427 ],[1.01066266 0.58549967],[1.16249761 9.43770878],[ 1.34859245 -0.19683723],[4.5477045  6.47939063],[ 0.41089054 -0.97969463],[3.23077719 3.59315334],[1.2198308  0.45044576],[ 7.24198237 10.2110762 ],[-1.03684217 -0.70646405],[4.48801859 7.21101597],[-0.8657052  -0.16210454],[7.81974084 5.15228733],[-0.38856045  1.15533383],[6.7685898  7.25075686],[-0.69642338  0.79986634],[9.61694465 6.19720166],[-0.97854293  0.8219333 ],[9.05067378 7.48914687],[-0.42293177  0.85476622]
[5.28857492 5.56941495],[0.99345604 0.5991569 ],[1.29731243 9.41562359],[ 1.34991208 -0.24058264],[4.59027567 6.38258426],[ 0.43953317 -0.95716876],[3.35173368 3.6405123 ],[1.19923257 0.49624804],[ 7.1396725  10.13838415],[-1.01049221 -0.74784521],[4.40229187 7.19420996],[-0.84796212 -0.17307105],[7.77960173 5.26725451],[-0.41413102  1.14353167],[6.69816648 7.32959082],[-0.71175593  0.77699296],[9.5175413  6.27753618],[-1.00531108  0.78844622],[9.00445038 7.57424451],[-0.50417607  0.84292151]
[5.386786   5.62972846],[0.97476979 0.61106057],[1.43227225 9.38978559],[ 1.34615866 -0.27777918],[4.63591991 6.28830831],[ 0.46917745 -0.93229429],[3.47050361 3.69219593],[1.17918117 0.53999514],[ 7.04008199 10.06182695],[-0.98248116 -0.78374429],[4.31857447 7.17656453],[-0.82799847 -0.18136108],[7.7368859  5.38089129],[-0.44284132  1.12626543],[6.62659086 7.40647999],[-0.72095084  0.75946286],[9.41572599 6.35464187],[-1.02869362  0.75555208],[8.95034536 7.65791715],[-0.58211981  0.82459781]
[5.48306892 5.69117073],[0.95081078 0.61753986],[1.5664969  9.36026687],[ 1.33811117 -0.31173675],[4.68386233 6.19596069],[ 0.49249985 -0.91147753],[3.58744556 3.74834599],[1.15886948 0.58187984],[6.94329698 9.98188058],[-0.95647809 -0.81776424],[4.23620795 7.15743145],[-0.81914024 -0.20128924],[7.69125172 5.49269302],[-0.46936654  1.10996703],[6.55390203 7.48138314],[-0.7316492   0.73965932],[9.31215102 6.42893765],[-1.04647201  0.72637144],[8.88837997 7.73919057],[-0.65519365  0.80104519]
[5.57727069 5.75355413],[0.93414426 0.63109117],[1.70014584 9.32794136],[ 1.33224629 -0.33632439],[4.73440733 6.10605131],[ 0.51777366 -0.88705571],[3.70214647 3.80836898],[1.1336886  0.61656318],[6.84912848 9.89873413],[-0.92715601 -0.84472697],[4.15536074 7.13690248],[-0.79769096 -0.20908021],[7.64327466 5.60307913],[-0.49032798  1.09714236],[6.48013525 7.55426012],[-0.74599651  0.71545268],[9.20664215 6.50006346],[-1.06539494  0.69415343],[8.81900317 7.81748101],[-0.72802328  0.76731381]
[5.66952878 5.81702235],[0.9119381  0.63914803],[1.83254219 9.29272617],[ 1.3158588  -0.36734075],[4.78738007 6.0185751 ],[ 0.54475837 -0.85916876],[3.81467851 3.87209227],[1.11552406 0.65617249],[6.75787515 9.8130653 ],[-0.89897957 -0.8690604 ],[4.07653481 7.11547484],[-0.77687489 -0.21745712],[7.59348938 5.71234489],[-0.50454826  1.08865477],[6.40495928 7.62470318],[-0.75756543  0.69324391],[9.0994586  6.56810589],[-1.07916826  0.66561089],[8.74298832 7.89252447],[-0.78923825  0.73488079]
[5.76009769 5.88183641],[0.90120697 0.65900131],[1.96362353 9.25489802],[ 1.30494179 -0.38940709],[4.84328546 5.93418749],[ 0.57219575 -0.82951915],[3.92553374 3.93986107],[1.09343793 0.69061624],[6.66914846 9.72485197],[-0.87263235 -0.89164903],[3.99961273 7.09302518],[-0.75857428 -0.22857683],[7.54184443 5.82022917],[-0.5266498   1.07063157],[6.32865801 7.69291813],[-0.771251    0.66812954],[8.9905243  6.63284512],[-1.0984254   0.62998381],[8.66116675 7.96414634],[-0.84751983  0.69564649]
[5.84922427 5.94829614],[0.88301087 0.6719274 ],[2.09325871 9.21466669],[ 1.28840433 -0.41447234],[4.90182659 5.85273827],[ 0.59969095 -0.79814599],[4.03364945 4.01040103],[1.06887833 0.71975715],[6.58331624 9.63481177],[-0.84364404 -0.90819585],[3.92473542 7.06966845],[-0.7392075  -0.23885665],[7.48845639 5.92671386],[-0.5415676   1.05829881],[6.25113508 7.75872601],[-0.78067422  0.64643796],[8.88020871 6.6945011 ],[-1.1070503   0.60397262],[8.57360179 8.03146577],[-0.90103905  0.65201673]
[5.93637512 6.01590463],[0.86112986 0.68135047],[2.22168066 9.17249536],[ 1.27961293 -0.42878472],[4.96320866 5.77459639],[ 0.62416429 -0.76815415],[4.13936406 4.08380021],[1.0452885  0.74767258],[6.50035143 9.54324536],[-0.81408974 -0.9210193 ],[3.85175391 7.04521867],[-0.72133768 -0.25115982],[7.43362679 6.03193788],[-0.55307758  1.04784084],[6.1730638  7.82272414],[-0.78189567  0.6323199 ],[8.76910829 6.75362223],[-1.11369479  0.57972996],[8.48144123 8.0947692 ],[-0.94215973  0.61288357]
