[5.80503326 2.80686357],[ 4.22141962 -3.89122168],[5.79654822 7.07584654],[ 0.53870353 -2.12637513],[0.78121514 0.16725332],[ 0.05268639 -2.04573964],[6.40563389 4.11992662],[-2.25903668  3.42049617],[9.58348262 7.70907276],[3.02735207 3.32920425],[5.04498543 3.37363073],[-2.7158341   1.12647029],[6.13868955 0.61834098],[ 0.21331384 -1.16054558],[9.05294954 0.85092044],[-1.50460967  4.49169326],[2.4350711  2.74879049],[1.39984726 3.50086995],[4.5530903 3.6786744],[-4.91157399 -3.07859411]
[7.81157734 1.1823793 ],[ 0.30843958 -0.11205259],[5.9854124  3.58194713],[-0.14662405 -1.07816153],[ 3.45195469 -0.11906112],[1.01690499 0.83488651],[4.14364627 5.64724096],[-0.80753392 -0.28102704],[8.9815248  7.13117846],[-0.95956363 -1.03132032],[2.72126089 4.42049695],[-0.35428649  0.22593697],[ 5.91876451e+00 -1.81554853e-03],[-0.45624912  0.97767471],[6.68551917 3.60367854],[-1.00704797  0.51517012],[4.99198376 4.76432744],[1.05725191 0.05469645],[2.9305911  1.67836716],[ 0.27392163 -0.68544095]
[7.84095629 1.17352043],[ 0.27778928 -0.06536967],[5.97041929 3.47492705],[-0.15473451 -1.06385185],[ 3.55252155 -0.03432932],[0.99388819 0.85863783],[4.06337355 5.61564932],[-0.79688109 -0.35040884],[8.88599711 7.02842708],[-0.95201662 -1.0247036 ],[2.68754703 4.44228873],[-0.31668381  0.21262339],[5.87288901 0.09884243],[-0.45773345  1.0352585 ],[6.58422755 3.65358595],[-1.01728311  0.48420539],[5.09754453 4.76783511],[1.0556956  0.01762676],[2.961796   1.61033938],[ 0.34950246 -0.6751863 ]
[7.86683555 1.16926478],[ 0.2388433  -0.01944127],[5.95423825 3.36896722],[-0.1681756  -1.05456435],[3.65055221 0.05239082],[0.96536095 0.87384916],[3.98447455 5.57721694],[-0.78235107 -0.42006615],[8.79071335 6.92584075],[-0.95245188 -1.02575844],[2.65794493 4.4629014 ],[-0.27875367  0.19554739],[5.82759316 0.20491388],[-0.44859744  1.08266803],[6.48249845 3.70093501],[-1.01642417  0.46366696],[5.20302106 4.7678518 ],[ 1.05018445 -0.02061451],[3.0006385  1.54359312],[ 0.42956596 -0.65673549]
[7.88852717 1.16972886],[0.19468301 0.02984101],[5.93694577 3.26418451],[-0.17787351 -1.04140512],[3.74589139 0.14064623],[0.94126337 0.89061629],[3.90705648 5.53164669],[-0.76444524 -0.49029857],[8.69600043 6.82377483],[-0.94210073 -1.01585783],[2.63213475 4.48157052],[-0.23680197  0.1776878 ],[5.78268538 0.31438186],[-0.44676744  1.10731564],[6.38077601 3.74614722],[-1.01767491  0.44089558],[5.30760833 4.76377297],[ 1.04236694 -0.0598772 ],[3.04712479 1.47857265],[ 0.50177806 -0.64098419]
[7.90562856 1.17542154],[0.14839327 0.08665916],[5.91848833 3.16052578],[-0.18918044 -1.02955774],[3.83887835 0.23050639],[0.91693824 0.90459174],[3.83184365 5.47930439],[-0.73977522 -0.55685751],[8.60206039 6.7224394 ],[-0.93742704 -1.01155263],[2.61118926 4.49885372],[-0.18326941  0.16589261],[5.73862051 0.42635904],[-0.43535482  1.12957459],[6.27880883 3.78893565],[-1.0218835   0.41448116],[5.41134129 4.75577705],[ 1.03304934 -0.09897598],[3.10132652 1.4159401 ],[ 0.58097505 -0.61170674]
[7.9177438  1.18696562],[0.09185168 0.14390001],[5.89883555 3.0580022 ],[-0.20425815 -1.02114158],[3.92950084 0.32171029],[0.89448944 0.91804509],[3.75929473 5.42037894],[-0.70924375 -0.61990091],[8.50832313 6.62127994],[-0.93774314 -1.01202736],[2.59568632 4.51473486],[-0.12580921  0.15163978],[5.69603526 0.54040986],[-0.41913239  1.14718785],[6.17638665 3.82899108],[-1.02603562  0.38699589],[5.51383351 4.74363131],[ 1.01651378 -0.14413651],[3.16310528 1.35627429],[ 0.65343157 -0.58132832]
[7.92434724 1.20494207],[0.03668917 0.21390645],[5.87795492 2.95663317],[-0.21306391 -1.00607985],[4.01770528 0.41397452],[0.87013075 0.92739012],[3.68998757 5.35525662],[-0.67476267 -0.68049972],[8.41465647 6.52018703],[-0.93461165 -1.00885088],[2.58586581 4.52876797],[-0.06807391  0.13032413],[5.65484446 0.6556512 ],[-0.40713417  1.15435685],[6.07378311 3.86648947],[-1.02603696  0.36291894],[5.61506461 4.72741634],[ 1.00886561 -0.17896086],[3.23182181 1.29977461],[ 0.72142623 -0.54655091]
[7.92472129 1.22978564],[-0.0265806  0.2873433],[5.85623865 2.85679334],[-0.22247282 -0.99192151],[4.10367303 0.50726841],[0.84577305 0.93469797],[3.62412885 5.2840333 ],[-0.64151635 -0.74300392],[8.32157158 6.41968143],[-0.92847675 -1.00264498],[2.58248875 4.54093058],[-0.00292457  0.10808706],[5.61442494 0.77101222],[-0.39970499  1.1539418 ],[5.97101458 3.90137657],[-1.02880809  0.33522215],[5.71554204 4.70786818],[ 0.99844557 -0.21383607],[3.30712778 1.24701494],[ 0.78382467 -0.50787401]
[7.91836475 1.26211591],[-0.10021033  0.36111309],[5.83305359 2.75788398],[-0.2361056  -0.98107543],[4.18740909 0.60140404],[0.82903118 0.94774511],[3.56156488 5.20654262],[-0.60557987 -0.80236965],[8.22870538 6.31940684],[-0.92325957 -0.99725082],[2.58581571 4.55060142],[0.06859657 0.0829385 ],[5.57517514 0.88661431],[-0.38509884  1.15785519],[5.86814945 3.93363037],[-1.03066403  0.3075984 ],[5.81473215 4.68468379],[ 0.98587644 -0.24896482],[3.38864596 1.19858796],[ 0.84322319 -0.46230321]
[7.90472918 1.30235499],[-0.17668133  0.44047243],[5.80916205 2.66070339],[-0.24185264 -0.96281491],[4.26937176 0.69664851],[0.80774977 0.95435638],[3.50320977 5.12378458],[-0.56197257 -0.85285676],[8.13660023 6.21990783],[-0.92084554 -0.99472623],[2.59682978 4.55779377],[0.15189425 0.0594995 ],[5.53727614 1.00237243],[-0.37471541  1.15529939],[5.76510839 3.96307448],[-1.03028943  0.28108321],[5.91242924 4.6578425 ],[ 0.96892389 -0.28670835],[3.4754724  1.15456819],[ 0.89219825 -0.4176613 ]
[7.88312393 1.35047597],[-0.25744476  0.52007913],[5.78437163 2.56501846],[-0.25321492 -0.95014423],[4.34879407 0.79206976],[0.78163334 0.95476404],[3.44958961 5.03644349],[-0.50844877 -0.89168317],[8.04508464 6.12101032],[-0.9091307  -0.98292819],[2.61639789 4.56234511],[0.23695138 0.02738896],[5.50032761 1.1177417 ],[-0.36404864  1.15226724],[5.66197439 3.98968795],[-1.0309779   0.25240795],[6.00828493 4.62715684],[ 0.94597321 -0.32899918],[3.56687935 1.11515094],[ 0.9324798  -0.37283166]
[7.85331486 1.40642758],[-0.34201354  0.59481732],[5.75827813 2.47045504],[-0.27109934 -0.94325879],[4.42607762 0.88793698],[0.76539562 0.9636284 ],[3.40144447 4.94542067],[-0.460548   -0.93431308],[7.95444869 6.02299377],[-0.9025438  -0.97636972],[2.64461263 4.56331219],[ 0.3258513  -0.01103344],[5.4647079  1.23301549],[-0.34829859  1.15293224],[5.55885554 4.01346131],[-1.02778047  0.22660133],[6.10200773 4.59246108],[ 0.92818568 -0.36479612],[3.66224204 1.08055404],[ 0.97060937 -0.3219632 ]
[7.81496502 1.4694497 ],[-0.42381453  0.66481517],[5.73062113 2.37687768],[-0.28210959 -0.92844637],[4.50187226 0.98474039],[0.75199042 0.97361385],[3.35777051 4.84999728],[-0.41148782 -0.97200362],[7.86426436 5.92542502],[-0.90129522 -0.97515013],[2.68218514 4.56044699],[ 0.4283967  -0.04459865],[5.43040984 1.34804284],[-0.33694228  1.14832863],[5.45627273 4.03486427],[-1.02590052  0.19932254],[6.19349405 4.55381535],[ 0.9014931  -0.40793961],[3.76119839 1.05121119],[ 1.00889594 -0.26316404]
[7.7686624  1.53904492],[-0.49992707  0.726441  ],[5.70178857 2.28471406],[-0.29694715 -0.91704911],[4.57601618 1.08215359],[0.73215722 0.97568551],[3.31911278 4.75110369],[-0.36099629 -1.00451501],[7.77429092 5.82806694],[-0.89938976 -0.97322598],[2.73008866 4.55398124],[ 0.52912822 -0.08579879],[5.39713976 1.46249334],[-0.32942146  1.13978482],[5.35416111 4.05379285],[-1.01777312  0.17781288],[6.28242739 4.51104085],[ 0.87766532 -0.44668981],[3.86351006 1.0276723 ],[ 1.03466985 -0.20931509]
[7.71477205 1.61391334],[-0.57393764  0.77133629],[5.67109938 2.19338918],[-0.31291083 -0.90540473],[4.64814936 1.17969257],[0.71434752 0.9786939 ],[3.28597473 4.64960684],[-0.30353374 -1.02665973],[7.68457601 5.73097055],[-0.89685952 -0.97066332],[2.78802406 4.54322783],[ 0.62936102 -0.12918728],[5.36478584 1.57626379],[-0.31863706  1.13455435],[5.25254109 4.07022985],[-1.01574906  0.1495725 ],[6.36905457 4.46457605],[ 0.85479385 -0.48231138],[3.96813066 1.00954677],[ 1.0544471  -0.15567348]
