[5.43789295 1.81633312],[-1.56167376 -3.55592478],[9.05350995 6.70514605],[-2.46243412 -4.92482385],[0.21622598 8.18311529],[ 4.84086137 -3.95229892],[8.95451031 2.23292933],[-4.70766435  1.23746042],[3.25083639 8.04753335],[-3.19754649  2.37702519],[6.13606293 8.57415863],[ 2.7585082  -3.77124439],[2.7287606  3.04495899],[ 2.65819999 -4.41872647],[1.36078897 1.18427029],[-4.60936665 -1.20819751],[9.73806647 7.51423737],[-4.02287534  3.68049531],[3.39493903 5.85024387],[-1.30950974 -0.83157073]
[3.84667835 0.86854319],[-0.86080657  0.63007274],[6.92614009 4.70141528],[-1.14245099 -0.48673908],[2.6562606  6.26862998],[ 0.94177173 -0.80179834],[6.17783476 3.43097924],[-1.08309613  0.59182173],[1.5784867  8.09959646],[-0.24610491 -1.06107913],[6.62977736 5.89659229],[-0.42199164 -1.12875972],[4.75240839 1.93894188],[0.95616177 0.32072962],[0.16134299 2.31781665],[0.52134456 1.16540899],[6.95250204 7.82096562],[-1.1702368  -0.61271615],[2.2095509  4.20873634],[-0.06255332 -0.90810607]
[3.76166419 0.93552328],[-0.83848717  0.70799324],[6.8115404  4.65380523],[-1.15114224 -0.46763355],[2.74980086 6.18837605],[ 0.92901224 -0.80329424],[6.06983903 3.48997528],[-1.07735119  0.58743441],[1.55765126 7.99053674],[-0.17171715 -1.11875884],[6.58530243 5.78441354],[-0.46811363 -1.11561068],[4.84737347 1.97444836],[0.93854492 0.38506539],[0.21688851 2.43352529],[0.5877236 1.1473385],[6.83644541 7.75799825],[-1.14921471 -0.64437738],[2.20577812 4.11767046],[-0.01167765 -0.91170337]
[3.67931276 1.01000236],[-0.80621589  0.78158199],[6.69631525 4.6081859 ],[-1.14924381 -0.44071989],[2.84246812 6.10838618],[ 0.92225674 -0.79853975],[5.96222063 3.54829073],[-1.07553316  0.57822238],[1.54399344 7.87617362],[-0.10106167 -1.16544373],[6.53659818 5.67389862],[-0.50504119 -1.09413977],[4.94012017 2.01600736],[0.91678948 0.44671215],[0.27866724 2.54714519],[0.64599805 1.12387991],[6.72219405 7.69170138],[-1.13271771 -0.6780266 ],[2.20697378 4.02621544],[ 0.03474873 -0.91782206]
[3.60040852 1.09139392],[-0.77298233  0.84303683],[6.58115797 4.56507926],[-1.15242293 -0.42022477],[2.93412009 6.02854055],[ 0.91236028 -0.79678461],[5.85519236 3.60606212],[-1.06258727  0.57971559],[1.537519   7.75799623],[-0.0292703  -1.19646274],[6.48420488 5.56545353],[-0.53842263 -1.07072075],[5.0302915  2.06339538],[0.88575528 0.5002082 ],[0.34574225 2.65807355],[0.69410263 1.09410027],[6.60994325 7.6225221 ],[-1.11019409 -0.70286671],[2.21291313 3.93437917],[ 0.08486439 -0.91767118]
[3.52502677 1.17853651],[-0.73623349  0.89643358],[6.46574215 4.5239739 ],[-1.15478572 -0.40109084],[3.02440481 5.94849559],[ 0.89545957 -0.80200916],[5.74912824 3.66366554],[-1.05741484  0.57355529],[1.53769924 7.63692283],[ 0.03269967 -1.22268881],[6.42868816 5.45945873],[-0.57067099 -1.04830024],[5.1176112  2.11642594],[0.85921618 0.55903972],[0.41739003 2.76600014],[0.73819826 1.06455153],[6.4997968 7.5508661],[-1.09652296 -0.73372031],[2.22354032 3.84237107],[ 0.13043193 -0.91918582]
[3.45356199 1.27075088],[-0.69340763  0.94595681],[6.34983483 4.48438975],[-1.15867663 -0.38632681],[3.11332283 5.86825367],[ 0.88332559 -0.80238679],[5.64339125 3.72041906],[-1.0527092   0.56607486],[1.54385611 7.51371841],[ 0.0891813  -1.24030557],[6.36976606 5.3554587 ],[-0.60423218 -1.02848348],[5.20220334 2.17531005],[0.83102328 0.61704542],[0.49325527 2.87098282],[0.77878475 1.03553124],[6.3912017  7.47639815],[-1.07539998 -0.75513361],[2.23906671 3.75069338],[ 0.17852633 -0.91549215]
[3.38590275 1.36701987],[-0.65695802  0.98105567],[6.23407398 4.4467446 ],[-1.15924281 -0.3696657 ],[3.20092877 5.78788257],[ 0.86813412 -0.80569611],[5.53831276 3.77660035],[-1.04758501  0.5587536 ],[1.55582654 7.38951984],[ 0.14662583 -1.24535093],[6.30796717 5.25382985],[-0.63347213 -1.00612953],[5.28354958 2.23958415],[0.79429809 0.66670463],[0.57280938 2.97289562],[0.81081238 1.00198991],[6.28472358 7.39993205],[-1.0560514  -0.77566973],[2.25937588 3.65950904],[ 0.22871587 -0.90667798]
[3.32244052 1.46700006],[-0.61366242  1.01612829],[6.11806942 4.41045702],[-1.16034981 -0.35598891],[3.286919   5.70708825],[ 0.85134475 -0.81050194],[5.43396099 3.83225652],[-1.04163835  0.55209052],[1.57286147 7.26468466],[ 0.19145292 -1.25209079],[6.24343481 5.15454398],[-0.65887758 -0.98159961],[5.36099464 2.30857889],[0.75793051 0.71634959],[0.65551141 3.07160209],[0.84349784 0.97306818],[6.17990411 7.32123752],[-1.03561683 -0.7930676 ],[2.28473448 3.56936861],[ 0.27725754 -0.89675666]
[3.26346507 1.57034567],[-0.56460871  1.05108266],[6.00232248 4.37582949],[-1.15478796 -0.33694596],[3.37161987 5.62621183],[ 0.84220848 -0.80746074],[5.33025921 3.88727779],[-1.02954196  0.55130322],[1.59457631 7.13985312],[ 0.24193201 -1.2442431 ],[6.17621852 5.05749048],[-0.68807414 -0.96235017],[5.43513273 2.38284047],[0.72231908 0.76613122],[0.74123905 3.16735402],[0.87187322 0.94344702],[6.07744805 7.24125345],[-1.01392659 -0.80661525],[2.31484976 3.48028497],[ 0.32429423 -0.88503596]
[3.20922283 1.6767442 ],[-0.52201952  1.07449754],[5.88709147 4.34302888],[-1.14917962 -0.3185765 ],[3.45537283 5.54561682],[ 0.832638   -0.80462787],[5.22726712 3.94172242],[-1.02702246  0.5407092 ],[1.62111882 7.01590183],[ 0.28398783 -1.23858008],[6.10631817 4.96253397],[-0.70925537 -0.93643288],[5.5051597  2.46147758],[0.678304   0.80641708],[0.82962107 3.26013503],[0.89339558 0.91042726],[5.97659482 7.15944553],[-1.00031852 -0.8264049 ],[2.35012558 3.39298174],[ 0.3776819  -0.86410405]
