[5.26283612 0.15010231],[ 1.92358535 -3.31195126],[7.04923577 2.62441857],[ 4.82781865 -1.25664924],[9.77940486 3.86871174],[3.03033044 3.61680912],[8.24474542 4.32860766],[-4.81642792 -2.52503867],[0.75096653 1.62020746],[ 2.62130074 -0.90069741],[0.3989878  8.24807149],[ 2.39335689 -2.81026122],[9.90083711 7.4516995 ],[1.13612151 4.49633442],[2.56831028 2.86019255],[-1.55392484  0.26245726],[5.20090981 5.3857102 ],[-1.90480135 -2.57928119],[4.17524410e-03 7.72668216e+00],[-1.6246001   4.53658037]
[ 6.78524539 -0.05689945],[0.37901166 1.18608409],[8.8443458  2.99393688],[-0.03786963  0.90313725],[9.2117871  5.93400654],[-1.23072683  0.35521739],[5.45167796 3.55029707],[-1.07532996  0.00367487],[3.61900596 2.11426509],[1.04354433 0.690337  ],[2.71262919 6.03157111],[ 1.01033046 -0.7781251 ],[8.35796658 8.58915757],[-1.22855422 -0.57704491],[1.52327442 4.26076654],[0.45597527 0.97045815],[3.9017951  3.23606858],[-0.29200245 -0.78361901],[1.4111376  8.79958128],[ 1.25421767 -0.59858406]
[6.81996837 0.06386316],[0.31779798 1.22920181],[8.8359965 3.086896 ],[-0.12894984  0.95415128],[9.08777667 5.96676438],[-1.24859134  0.30037099],[5.34459444 3.55183887],[-1.06219635  0.03124799],[3.72260759 2.18461173],[1.02877172 0.71672682],[2.81381751 5.95457843],[ 1.01310044 -0.76198096],[8.23648243 8.52908497],[-1.20085424 -0.62309585],[1.57275415 4.35706105],[0.53495219 0.95657816],[3.87376654 3.15816995],[-0.26986208 -0.77567939],[1.53546552 8.73735455],[ 1.23519369 -0.64168767]
[6.84882557 0.18853079],[0.26073499 1.26323629],[8.81833898 3.18413429],[-0.22385943  0.98855934],[8.96220854 5.99414847],[-1.26286193  0.24700422],[5.23879546 3.55612456],[-1.05502636  0.05303706],[3.8245504  2.25736203],[1.00783263 0.73573126],[2.91478055 5.87870779],[ 1.00511338 -0.7565358 ],[8.11780217 8.46472505],[-1.17409417 -0.66453964],[1.63021593 4.45197655],[0.61344348 0.94086364],[3.8478384 3.0809491],[-0.24876091 -0.76879134],[1.65750385 8.67080029],[ 1.20700013 -0.68718958]
[6.87213322 0.31613492],[0.20873778 1.29003885],[8.79145932 3.28434587],[-0.31461792  1.01202134],[8.83572069 6.01664799],[-1.26834095  0.20172633],[5.13351602 3.56231388],[-1.04859376  0.07245752],[3.92417381 2.33169559],[0.98492127 0.75093777],[3.01503709 5.80346111],[ 0.99892355 -0.74952596],[8.0016928  8.39636076],[-1.15176477 -0.70562227],[1.69520414 4.54498823],[0.68661177 0.91990901],[3.8241943  3.00458314],[-0.22606106 -0.7604691 ],[1.77728482 8.60053007],[ 1.18814251 -0.71769902]
[6.89031761 0.44591382],[0.15795156 1.30682553],[8.75563398 3.38623086],[-0.39947843  1.02521555],[8.70845181 6.03435711],[-1.27575999  0.15367523],[5.02931173 3.5708412 ],[-1.03527851  0.09827688],[4.02152126 2.40748259],[0.96403457 0.76653872],[3.11508683 5.72933501],[ 1.00198671 -0.73297251],[7.88789437 8.32417218],[-1.12467686 -0.7377758 ],[1.76684357 4.63530872],[0.74670896 0.88751167],[3.8028149 2.9290432],[-0.19827703 -0.74716296],[1.89494954 8.52722875],[ 1.16506626 -0.74778038]
[6.90356774 0.57702755],[0.10654256 1.31367191],[8.71194451 3.48919912],[-0.4750793   1.03054785],[8.58071384 6.04752154],[-1.2802063   0.10828736],[4.92636653 3.58186706],[-1.02416196  0.12168114],[4.11704783 2.48503845],[0.9423938  0.78018231],[3.21509765 5.6565429 ],[ 0.99890676 -0.72218605],[7.77656942 8.24875423],[-1.10131264 -0.76935399],[1.84452403 4.72254665],[0.8050448  0.85598611],[3.78453989 2.85511348],[-0.16934022 -0.73361209],[2.01029117 8.45107959],[ 1.14128517 -0.77520009]
[6.91182745 0.70861577],[0.05629274 1.31474139],[8.66073828 3.59195515],[-0.54491215  1.02608482],[8.45267199 6.05625345],[-1.27787421  0.06946876],[4.82436748 3.59502472],[-1.012743    0.14439561],[4.21032176 2.56379605],[0.92352622 0.79519392],[3.31459722 5.58462963],[ 0.99153863 -0.71573311],[7.66806936 8.17088419],[-1.07079459 -0.78929394],[1.92750921 4.80626677],[0.85409936 0.81855381],[3.76856421 2.78194075],[-0.14647545 -0.72614239],[2.12328089 8.37235354],[ 1.11732684 -0.80012986]
[6.91503729 0.8400317 ],[0.00957606 1.31423385],[8.60289668 3.69388084],[-0.60864349  1.01343642],[8.32496532 6.06128087],[-1.27493913  0.03262795],[4.72375783 3.61068758],[-1.00009118  0.16812934],[4.30152935 2.64381731],[0.89844789 0.8027998 ],[3.41345068 5.5134436 ],[ 0.98716761 -0.7063499 ],[7.56194198 8.09054041],[-1.0505953 -0.8158238],[2.01535274 4.88638754],[0.90234729 0.78419941],[3.75529063 2.70991697],[-0.11664179 -0.7120675 ],[2.23391634 8.29128573],[ 1.09422827 -0.82203036]
[6.91390011 0.97142018],[-0.03252324  1.31246073],[8.5391075  3.79433111],[-0.66576167  0.99501924],[8.19747972 6.06258877],[-1.27505147 -0.00669522],[4.62412804 3.62838564],[-0.98978385  0.18837125],[4.39039914 2.72470559],[0.88250902 0.81834141],[3.51206453 5.44340907],[ 0.9845143  -0.69492462],[7.4580197 8.0078975],[-1.02738738 -0.83596708],[2.10759368 4.96285839],[0.93956677 0.74308015],[3.74537945 2.63963523],[-0.0837479  -0.69585637],[2.34241203 8.20829508],[ 1.07749564 -0.83560697]
[6.90834883 1.10220965],[-0.07704715  1.30416135],[8.46960014 3.89240711],[-0.72223677  0.9671185 ],[8.07031963 6.06031947],[-1.27093289 -0.04123097],[4.52606031 3.6486225 ],[-0.97223149  0.21569263],[4.47757532 2.80700177],[0.86082027 0.82718325],[3.61045404 5.3745693 ],[ 0.98496783 -0.6800685 ],[7.35609428 7.92307501],[-1.0091202  -0.85796372],[2.20317828 5.03504267],[0.97201501 0.70128081],[3.73833081 2.57053054],[-0.05327527 -0.6823972 ],[2.44890363 8.1237046 ],[ 1.05567995 -0.85264384]
