[5.26283612 0.15010231],[ 1.92358535 -3.31195126],[7.04923577 2.62441857],[ 4.82781865 -1.25664924],[9.77940486 3.86871174],[3.03033044 3.61680912],[8.24474542 4.32860766],[-4.81642792 -2.52503867],[0.75096653 1.62020746],[ 2.62130074 -0.90069741],[0.3989878  8.24807149],[ 2.39335689 -2.81026122],[9.90083711 7.4516995 ],[1.13612151 4.49633442],[2.56831028 2.86019255],[-1.55392484  0.26245726],[5.20090981 5.3857102 ],[-1.90480135 -2.57928119],[4.17524410e-03 7.72668216e+00],[-1.6246001   4.53658037]
[4.11612896 7.10176306],[-0.39049755  0.48579438],[2.70859396 5.08918357],[-0.40434401 -0.4976797 ],[2.94274869 3.32785813],[ 0.09564204 -0.55742522],[5.6116871 6.7304576],[ 0.99676332 -0.35844252],[5.66413685 7.77375754],[-0.77784322  0.12755373],[8.09824492 4.52517878],[-0.13482357  0.94063617],[4.03438972 2.54154067],[ 0.12307496 -0.51789602],[7.77317259 4.05984724],[ 0.12618719 -0.72167913],[6.41323589 5.77551397],[-0.21897466  0.95416517],[6.8379715  2.99632638],[ 0.50500806 -0.37945944]
[4.07732221 7.14896865],[-0.38281031  0.4608829 ],[2.67020614 5.03760182],[-0.36198658 -0.53317428],[2.95582127 3.27234715],[ 0.16526469 -0.55358205],[5.71034055 6.69251661],[ 0.97763984 -0.39855998],[5.58475255 7.78334315],[-0.81159086  0.06125139],[8.08134298 4.62014054],[-0.20503966  0.95532442],[4.04887498 2.49094985],[ 0.16834738 -0.49229074],[7.78293967 3.987046  ],[ 0.06808054 -0.73466765],[6.39006019 5.87013974],[-0.24773164  0.93510734],[6.8883177  2.95986813],[ 0.50146721 -0.34987431]
[4.03944328 7.19374858],[-0.37515448  0.43403118],[2.63626777 4.98246871],[-0.31738442 -0.57068611],[2.97612271 3.21740832],[ 0.24199889 -0.54409767],[5.80741077 6.65104914],[ 0.96060282 -0.4334695 ],[5.50184487 7.78576608],[-0.84477063 -0.01224902],[8.05763598 4.71636224],[-0.26937916  0.96722701],[4.06804175 2.44304105],[ 0.21640323 -0.46453698],[7.78691573 3.91319564],[ 0.00714903 -0.74584675],[6.36381469 5.9626637 ],[-0.27504804  0.91732417],[6.93828481 2.92644219],[ 0.49557068 -0.32063827]
[4.00240532 7.23581386],[-0.36448308  0.40804976],[2.60700591 4.92359804],[-0.26703393 -0.6064656 ],[3.00428007 3.16356584],[ 0.32338775 -0.53042949],[5.9023651  6.60580136],[ 0.93949509 -0.47002728],[5.41600432 7.780835  ],[-0.8705009  -0.08605968],[8.02742956 4.81324128],[-0.33590745  0.96776324],[4.09219032 2.39806272],[ 0.26507457 -0.43651357],[7.78452116 3.83821238],[-0.05540917 -0.75340421],[6.3348475  6.05336876],[-0.30810229  0.89291997],[6.98743985 2.89582204],[ 0.48932232 -0.28963278]
[3.96626428 7.27499091],[-0.35754074  0.37589249],[2.58303266 4.86121396],[-0.20767344 -0.63700724],[3.04082469 3.11137231],[ 0.40757185 -0.51298803],[5.99507324 6.5568836 ],[ 0.91574317 -0.50681006],[5.32810607 7.76867301],[-0.88540482 -0.15616924],[7.990936   4.91009485],[-0.39348542  0.96811559],[4.12181428 2.35649513],[ 0.32581708 -0.39636324],[7.77596203 3.76281214],[-0.11871775 -0.75676816],[6.30284385 6.14188579],[-0.32999071  0.8790827 ],[7.03610254 2.86855563],[ 0.4851464  -0.25407026]
[3.93106446 7.3110625 ],[-0.34706435  0.34447368],[2.56575822 4.79633583],[-0.1413292  -0.66458428],[3.08584466 3.06110831],[ 0.49143598 -0.49295582],[6.08542693 6.50443455],[ 0.88929254 -0.54386548],[5.23883438 7.74928906],[-0.89986403 -0.2323953 ],[7.94834557 5.00619541],[-0.45773963  0.9531216 ],[4.15735946 2.31881578],[ 0.38488934 -0.35722337],[7.76112919 3.68737999],[-0.18198512 -0.75514428],[6.26853671 6.22881889],[-0.35435133  0.86113744],[7.08443256 2.84507132],[ 0.47952979 -0.21708659]
[3.89685623 7.34377923],[-0.3357782   0.31065446],[2.55492281 4.72835034],[-0.07629605 -0.69630512],[3.13922884 3.01305912],[ 0.57579486 -0.46741648],[6.17331782 6.44857858],[ 0.86661398 -0.57473582],[5.14836267 7.7221931 ],[-0.90657985 -0.30749697],[7.9001119  5.10116447],[-0.50901582  0.94264225],[4.19887544 2.28518157],[ 0.44784391 -0.31270004],[7.73975011 3.61214699],[-0.24484994 -0.74805674],[6.23163636 6.31373327],[-0.38293033  0.83773621],[7.13222528 2.82546393],[ 0.47618504 -0.17466579]
[3.86372938 7.3728866 ],[-0.32736348  0.27027449],[2.55037985 4.65690883],[-0.00900396 -0.72703411],[3.20114641 2.96800312],[ 0.66180369 -0.43301805],[6.25874042 6.38955946],[ 0.84168228 -0.60540275],[5.05743712 7.68751488],[-0.90884312 -0.38377969],[7.84658869 5.19451664],[-0.56114745  0.92346952],[4.24651239 2.25594032],[ 0.5060696  -0.27044361],[7.71187654 3.53765358],[-0.31059637 -0.73909037],[6.19194031 6.39631546],[-0.40974617  0.8149945 ],[7.179502   2.81009455],[ 0.46993673 -0.13154873]
[3.83182921 7.39813351],[-0.3133385   0.23126115],[2.55319722 4.58298414],[ 0.06674859 -0.74993149],[3.27118708 2.92635314],[ 0.73774251 -0.3995559 ],[6.34129185 6.32720815],[ 0.81032929 -0.64026982],[4.966885   7.64557303],[-0.90033632 -0.45369598],[7.78810674 5.28584564],[-0.60642768  0.90395544],[4.30001098 2.23112587],[ 0.56570953 -0.22335602],[7.67750905 3.46436273],[-0.37923864 -0.72855562],[6.14967323 6.47666511],[-0.43736464  0.7900128 ],[7.22604595 2.7991263 ],[ 0.46055904 -0.0875642 ]
[3.80125983 7.41916836],[-0.29981747  0.18685212],[2.56359004 4.50680568],[ 0.14160213 -0.77267035],[3.34839737 2.88812988],[ 0.806959  -0.3625571],[6.42073823 6.26151111],[ 0.7789019  -0.67299014],[4.87748091 7.59677404],[-0.88551079 -0.52046281],[7.72513077 5.37491771],[-0.65188651  0.87764253],[4.35953618 2.21130227],[ 0.62542494 -0.17159656],[7.63613054 3.39220327],[-0.44924852 -0.71493291],[6.1046446  6.55445256],[-0.46296114  0.76569794],[7.27161557 2.79273742],[ 0.45042564 -0.03990273]
[3.77165432 7.43509619],[-0.29008896  0.13295413],[2.58164441 4.42866584],[ 0.21859902 -0.79026983],[3.43258537 2.8542296 ],[ 0.87273133 -0.31752209],[6.49700332 6.19261893],[ 0.74577076 -0.70509935],[4.78982134 7.54143931],[-0.86416297 -0.5828869 ],[7.65759409 5.46105059],[-0.69851782  0.84441845],[4.4249782  2.19687634],[ 0.68632528 -0.11291526],[7.58775519 3.32160776],[-0.52053767 -0.69876597],[6.05719321 6.62986156],[-0.48507846  0.74315554],[7.31610682 2.79129339],[0.44000507 0.01244878]
[3.74347727 7.44577074],[-0.27611304  0.07679199],[2.60737634 4.34897763],[ 0.29778235 -0.80072432],[3.52291251 2.82497337],[ 0.93251395 -0.26686651],[6.57019426 6.12087297],[ 0.71367554 -0.7338002 ],[4.70440319 7.47990364],[-0.84301656 -0.6467684 ],[7.58562361 5.54382563],[-0.73821139  0.81288122],[4.49657292 2.18873705],[ 0.74478307 -0.0494169 ],[7.53240949 3.252948  ],[-0.58835202 -0.67608801],[6.00737334 6.70276868],[-0.51224509  0.71379189],[7.35931458 2.795116  ],[0.42368079 0.06442618]
[3.71677513 7.45054152],[-0.26129327  0.01401484],[2.64113955 4.26866263],[ 0.37724001 -0.80456276],[3.6186956  2.80084077],[ 0.98303848 -0.21404318],[6.63988722 6.04608805],[ 0.68073486 -0.76095632],[4.6217864  7.41263366],[-0.80889588 -0.69809117],[7.50948818 5.62299909],[-0.78310007  0.77119763],[4.57364227 2.18696676],[0.79644238 0.01519371],[7.47046782 3.18685089],[-0.64840068 -0.6436223 ],[5.95469782 6.77252084],[-0.5417637  0.6804564],[7.40105435 2.80459979],[0.41348779 0.12863867]
[3.69172638 7.44879194],[-0.24139525 -0.05212018],[2.6826795  4.18818334],[ 0.45310216 -0.80392662],[3.71918624 2.78219031],[ 1.02537599 -0.15861911],[6.70631429 5.96873418],[ 0.64607337 -0.78745874],[4.54248134 7.34014374],[-0.77316119 -0.74747994],[7.4294746  5.69838175],[-0.81749926  0.73538853],[4.65562819 2.19182281],[0.84382437 0.08392609],[7.40266395 3.12420288],[-0.70647423 -0.60812145],[5.89911161 6.83889172],[-0.56683955  0.64974077],[7.44156483 2.82063118],[0.39867008 0.19501484]
[3.66830374 7.43960268],[-0.22636885 -0.13252038],[2.73172883 4.10814746],[ 0.52581325 -0.79715471],[3.82379502 2.76948323],[ 1.06161621 -0.09913879],[6.76903685 5.88861677],[ 0.61096769 -0.8119184 ],[4.46711452 7.2631174 ],[-0.73462552 -0.79324656],[7.34598515 5.76992867],[-0.85038289  0.6967749 ],[4.74207601 2.20371997],[0.88166691 0.15188659],[7.3290255  3.06509156],[-0.76180296 -0.56975284],[5.841396   6.90246189],[-0.58956696  0.6192144 ],[7.48083844 2.84390361],[0.38481341 0.26957468]
[3.64713605 7.42262378],[-0.19583499 -0.20752888],[2.78802042 4.02925699],[ 0.59844382 -0.78047627],[3.93141133 2.76253662],[ 1.0857686  -0.04358675],[6.82828118 5.80620463],[ 0.57603781 -0.83385851],[4.39553693 7.18150778],[-0.69438639 -0.83608296],[7.25946217 5.83766788],[-0.87646535  0.66104997],[4.83185195 2.22235503],[0.91040509 0.21856404],[7.25029927 3.01023948],[-0.81369177 -0.5285496 ],[5.78091596 6.96237849],[-0.61893639  0.57983829],[7.5180233  2.87429395],[0.36001337 0.3404693 ]
[3.62887207 7.39747087],[-0.16798942 -0.29570834],[2.85119109 3.95216319],[ 0.66170072 -0.76289258],[4.04073319 2.76072792],[1.10006005 0.00753262],[6.88404408 5.72172208],[ 0.54094985 -0.85368008],[4.32797793 7.09568795],[-0.65351983 -0.87664108],[7.17028664 5.90161531],[-0.90691204  0.61740944],[4.92410939 2.24761674],[0.93313381 0.286149  ],[7.16688731 2.95994471],[-0.8526784  -0.47577835],[5.71747697 7.01821369],[-0.64908145  0.53720098],[7.55267541 2.91208   ],[0.33235113 0.4156253 ]
[3.61361658 7.36320813],[-0.13569873 -0.38963498],[2.92044454 3.87710206],[ 0.72380017 -0.73620702],[4.15126675 2.76403116],[1.11317736 0.0619514 ],[6.93633588 5.63540469],[ 0.50615407 -0.87105611],[4.26473631 7.00613693],[-0.61222545 -0.91486388],[7.07825328 5.96120173],[-0.93416943  0.57334094],[5.0179056 2.2791997],[0.94040825 0.34388244],[7.07921713 2.91447712],[-0.89708344 -0.43047538],[5.65144172 7.07006943],[-0.67336756  0.49772091],[7.58456883 2.95772304],[0.30608518 0.49868309]
[3.60168533 7.31918776],[-0.10553552 -0.49449992],[2.99580391 3.80509642],[ 0.78141071 -0.70426994],[4.26273594 2.77262058],[1.11746495 0.11155454],[6.98464748 5.5469711 ],[ 0.46200597 -0.89521182],[4.20563096 6.91289006],[-0.56992406 -0.94958272],[6.98350845 6.01621984],[-0.96181161  0.52531827],[5.11231875 2.31666218],[0.94449887 0.40257587],[6.98738159 2.87366366],[-0.93654665 -0.38336958],[5.58287934 7.11773225],[-0.69802754  0.4549205 ],[7.61339886 3.01150938],[0.26856924 0.57574823]
[3.59306791 7.26465552],[-0.06591575 -0.59581997],[3.0762932  3.73611365],[ 0.82966887 -0.67265163],[4.37463323 2.78633312],[1.11636227 0.15875571],[7.0283996  5.45613134],[ 0.41469901 -0.91942565],[4.15075563 6.81631125],[-0.52667594 -0.98054254],[6.88629667 6.06655585],[-0.98192199  0.48144001],[5.20694099 2.35996464],[0.94741847 0.46347654],[6.89209293 2.83788522],[-0.96955096 -0.33323291],[5.51186984 7.16097593],[-0.72034138  0.41125788],[7.63829319 3.07301621],[0.22799501 0.65338305]
[3.58854126 7.19998329],[-0.02089259 -0.69372656],[3.16140068 3.67050382],[ 0.86962959 -0.64114759],[4.48612088 2.80453171],[1.11045429 0.20230046],[7.06784103 5.36343018],[ 0.37514443 -0.93322521],[4.10010685 6.71669388],[-0.48267835 -1.00758428],[6.78720236 6.11249005],[-1.00027553  0.43654914],[5.3014153  2.40906311],[0.94058838 0.51725156],[6.79317399 2.80655281],[-1.00544445 -0.29102228],[5.43872191 7.19978239],[-0.74187256  0.3650628 ],[7.65890367 3.1421479 ],[0.18310417 0.72799302]
[3.58907338 7.12615429],[ 0.03188484 -0.78152969],[3.25037849 3.60827916],[ 0.91035727 -0.60176042],[4.59662274 2.82669018],[1.10122346 0.24251866],[7.10329407 5.26942091],[ 0.3323489  -0.94812594],[4.05404021 6.61470466],[-0.43487241 -1.02797469],[6.68652257 6.1540577 ],[-1.01534715  0.39242941],[5.39485889 2.46326121],[0.92518499 0.56362068],[6.6913819  2.77989901],[-1.02775187 -0.24025945],[5.36326335 7.23362889],[-0.77071328  0.30775003],[7.67466591 3.21833927],[0.13180341 0.79502775]
[3.59473261 7.04373491],[ 0.08542565 -0.86105991],[3.34298729 3.54987901],[ 0.94151204 -0.56559012],[4.70619452 2.85288432],[1.08935184 0.28045104],[7.13444639 5.17402903],[ 0.28910086 -0.96099063],[4.01256008 6.51062202],[-0.39145007 -1.04975553],[6.58427038 6.191009  ],[-1.02620904  0.34980164],[5.48669478 2.52204358],[0.90911273 0.60954672],[6.58750392 2.75824133],[-1.04904836 -0.19312684],[5.28526997 7.261866  ],[-0.78914044  0.25638925],[7.68506276 3.30084055],[0.07613095 0.85405632]
[3.60566269 6.95382521],[ 0.13032586 -0.93737636],[3.43890066 3.49557125],[ 0.97557974 -0.52081378],[4.81447878 2.88275439],[1.07873926 0.31938779],[7.16128774 5.07748415],[ 0.24688496 -0.97042789],[3.9756598 6.4047536],[-0.34635231 -1.06683663],[6.48119421 6.22388014],[-1.0362418   0.30637612],[5.57692244 2.58541721],[0.89110948 0.65348247],[6.48218914 2.74176338],[-1.05681245 -0.13669641],[5.20522072 7.28453796],[-0.81219246  0.19590915],[7.6897026 3.388779 ],[0.01758619 0.90437994]
[3.62113196 6.85711555],[ 0.17808173 -0.99501909],[3.53761694 3.4453896 ],[ 0.99956369 -0.48130712],[4.92154133 2.91637137],[1.06181103 0.35209072],[7.18373189 4.97993797],[ 0.20147618 -0.98063245],[3.94339555 6.29745082],[-0.29948909 -1.07923915],[6.37722554 6.25241585],[-1.04381528  0.26338595],[5.66481654 2.65261161],[0.86831953 0.69174052],[6.37593424 2.73057668],[-1.06966431 -0.08933825],[5.12304176 7.30108426],[-0.83145349  0.13409711],[7.68858853 3.48146808],[-0.03967394  0.9479433 ]
[3.64118462 6.75527451],[ 0.22048379 -1.04143655],[3.63897842 3.39963379],[ 1.02413994 -0.43668255],[5.02690947 2.95321362],[1.04688146 0.38606132],[7.20174218 4.88160207],[ 0.16139459 -0.98316577],[3.91558561 6.18883073],[-0.25860203 -1.09437126],[6.27258321 6.2766429 ],[-1.04929692  0.22061368],[5.75051603 2.72366748],[0.84547938 0.72893878],[6.2686952  2.72417469],[-1.07517602 -0.03948835],[5.03921061 7.31146543],[-0.84419891  0.07371587],[7.6819713  3.57825549],[-0.09302033  0.98553381]
[3.66501448 6.64918705],[ 0.25458482 -1.07909054],[3.74238405 3.35811218],[ 1.04219014 -0.39503976],[5.1309527 2.9936277],[1.03530386 0.42352498],[7.21566312 4.78300943],[ 0.1177097  -0.98763409],[3.89194335 6.07896697],[-0.21360661 -1.10171739],[6.16744221 6.29654239],[-1.0502044   0.18061654],[5.83365278 2.79810009],[0.8161383  0.75827437],[6.16120023 2.72285619],[-1.07631982  0.01085677],[4.9539909 7.3154375],[-0.85849709  0.00648199],[7.66997827 3.67822588],[-0.14703074  1.01186512]
[3.69223129 6.54009374],[ 0.2876501  -1.10241133],[3.84744644 3.32075572],[ 1.05773412 -0.35294923],[5.23353415 3.03748759],[1.01906527 0.45631148],[7.22522116 4.68407783],[ 0.07182806 -0.99215962],[3.87288093 5.96857672],[-0.17060691 -1.10849699],[6.06225952 6.31244131],[-1.05353144  0.13705302],[5.91340867 2.87493938],[0.77939724 0.77861406],[6.05372591 2.72651589],[-1.0744971   0.06032638],[4.86776222 7.31283582],[-0.86682902 -0.06010072],[7.65248773 3.78022537],[-0.20177427  1.02737171]
[3.72259596 6.42917246],[ 0.32058448 -1.11310224],[3.95379695 3.28746393],[ 1.06894183 -0.31280332],[5.33462507 3.08475887],[1.00182089 0.4880864 ],[7.23018691 4.5848241 ],[ 0.0301188  -0.99008357],[3.85836258 5.85788176],[-0.12606972 -1.11122899],[5.95713531 6.3243041 ],[-1.04904654  0.10006779],[5.98994517 2.95419177],[0.75240223 0.80719393],[5.94640964 2.73489637],[-1.07135784  0.10704777],[4.78094327 7.30355617],[-0.87136461 -0.12811488],[7.62963703 3.88339945],[-0.25667696  1.03318111]
[3.75601217 6.31745778],[ 0.34917635 -1.11816459],[4.0615783  3.25863207],[ 1.08581767 -0.26409277],[5.43364063 3.13482333],[0.97776841 0.51221902],[7.23102561 4.48588976],[-0.01359835 -0.98851179],[3.84783364 5.74662209],[-0.08595511 -1.1147736 ],[5.85179981 6.3317199 ],[-1.05374838  0.05176487],[6.06370639 3.03614942],[0.72294234 0.83175661],[5.83938613 2.7477237 ],[-1.067499    0.15027874],[4.69389552 7.2874374 ],[-0.87085138 -0.19624898],[7.60152485 3.98694579],[-0.30673946  1.03518493]
[3.79251245 6.20585998],[ 0.38063806 -1.11302485],[4.17041546 3.23417363],[ 1.0930145  -0.22277412],[5.53050381 3.18750294],[0.96088025 0.54268234],[7.22716271 4.38690615],[-0.06409542 -0.99116855],[3.84148805 5.63532633],[-0.04281769 -1.11253932],[5.74652625 6.3347389 ],[-1.05159599  0.00849452],[6.13448135 3.12044252],[0.68905865 0.85033491],[5.73309327 2.76501909],[-1.05432486  0.19922318],[4.60713901 7.26450474],[-0.86595695 -0.26480375],[7.56862964 4.09050212],[-0.35263582  1.03306658]
[3.83174755 6.09467018],[ 0.40281083 -1.11101053],[4.28012105 3.21410241],[ 1.09972887 -0.17977136],[5.62537211 3.24290514],[0.93667521 0.56532602],[7.21880795 4.28832173],[-0.10873605 -0.98596638],[3.83917004 5.52410717],[-0.00541943 -1.11316917],[5.64132564 6.33318606],[-1.05019765 -0.03763348],[6.20190775 3.20656407],[0.65789748 0.87022299],[5.62852457 2.78751823],[-1.03816844  0.24925428],[4.52079779 7.23439741],[-0.85975653 -0.33695073],[7.53119549 4.19352309],[-0.39547454  1.02670361]
[3.87328672 5.98404774],[ 0.42907056 -1.09970078],[4.38995497 3.19784308],[ 1.09692194 -0.14555525],[5.71789497 3.30060383],[0.91398503 0.58865166],[7.20549275 4.18989599],[-0.1578791 -0.9824927],[3.84048858 5.41289317],[ 0.03008507 -1.11228937],[5.53665167 6.3273306 ],[-1.04260423 -0.07897737],[6.26606417 3.29444997],[0.62500133 0.88697652],[5.5254514  2.81476486],[-1.02483524  0.29357674],[4.43553075 7.19731249],[-0.84795018 -0.4076602 ],[7.48926332 4.29537233],[-0.44285119  1.00971755]
[3.91712543 5.87442032],[ 0.44778155 -1.09211305],[4.50002852 3.18557108],[ 1.10406023 -0.10006553],[5.80794528 3.36038891],[0.88811019 0.60796273],[7.18749746 4.09216407],[-0.20236734 -0.97230165],[3.84525217 5.30182907],[ 0.06535983 -1.10830339],[5.43278674 6.31734131],[-1.03782003 -0.12423407],[6.32670369 3.38372163],[0.58776265 0.89823292],[5.42386354 2.84643257],[-1.00809859  0.33802971],[4.35141253 7.15292362],[-0.83194422 -0.47815138],[7.44272326 4.39540387],[-0.48633598  0.99164932]
[3.9627537  5.76565409],[ 0.46333541 -1.08404291],[4.61030059 3.17742614],[ 1.10053714 -0.06373839],[5.89558827 3.42225224],[0.86149041 0.62588143],[7.16489325 3.99538158],[-0.24695379 -0.96034107],[3.85365565 5.1914037 ],[ 0.10328222 -1.09927949],[5.32969007 6.30302865],[-1.02613413 -0.16408683],[6.38417306 3.47460815],[0.56139867 0.91892732],[5.32374277 2.88216405],[-0.99476578  0.37553233],[4.26913374 7.10156799],[-0.81043212 -0.54611361],[7.39211743 4.49365885],[-0.52565542  0.97277997]
[4.00993003 5.65784716],[ 0.4797153  -1.07216698],[4.71991824 3.17259983],[ 1.09248487 -0.03218202],[5.98048174 3.48577914],[0.83771001 0.64586417],[7.13801619 3.90004765],[-0.29072071 -0.94629317],[3.8654436  5.08159695],[ 0.13464176 -1.09414322],[5.22758338 6.28449579],[-1.01553917 -0.20633472],[6.43860084 3.56707602],[0.52714496 0.93018525],[5.22534444 2.9218677 ],[-0.97639744  0.4148066 ],[4.18923942 7.04353938],[-0.7874052  -0.61462808],[7.33768828 4.58990729],[-0.56257892  0.95185969]
[4.05858589 5.55118358],[ 0.49353421 -1.06056708],[4.82874785 3.17093452],[ 1.08451288e+00 -7.84854911e-04],[6.06302028 3.55130642],[0.8129831  0.66449079],[7.10691087 3.80633051],[-0.33254812 -0.92905165],[3.88047896 4.97254814],[ 0.16654878 -1.08593308],[5.12685279 6.26200285],[-0.99967242 -0.24413036],[6.48942863 3.66044694],[0.4916022  0.93924888],[5.12858337 2.96512656],[-0.95863658  0.44998746],[4.11227423 6.97921566],[-0.75234524 -0.67229609],[7.27983823 4.68412564],[-0.59682986  0.92944511]
[4.1089551  5.44608881],[ 0.51184479 -1.04316195],[4.93702027 3.17267023],[1.08140196 0.03606188],[6.14338959 3.61898384],[0.79186663 0.68642774],[7.07141229 3.71420143],[-0.37708008 -0.91299701],[3.89870491 4.86443361],[ 0.1993253  -1.07457228],[5.02742325 6.23539206],[-0.98650237 -0.28583272],[6.53653013 3.75451174],[0.45247303 0.94403199],[5.03364399 3.01179039],[-0.94107329  0.48176292],[4.03873122 6.90901991],[-0.71775799 -0.7307637 ],[7.21865777 4.77601723],[-0.62616494  0.90836881]
[4.16062423 5.3422806 ],[ 0.52075759 -1.03347988],[5.04500002 3.1781797 ],[1.07587917 0.07194441],[6.2212376  3.68842537],[0.76576994 0.70297729],[7.03169282 3.62397928],[-0.41622954 -0.89030786],[3.92038957 4.75772117],[ 0.2348749  -1.05902156],[4.92938    6.20462484],[-0.97535131 -0.33082664],[6.58008507 3.84938114],[0.41733851 0.95188711],[4.94025054 3.06124588],[-0.92447078  0.5091062 ],[3.96877107 6.83311689],[-0.67898086 -0.78459568],[7.15419265 4.86528592],[-0.66168888  0.87797741]
[4.21345974 5.23979174],[ 0.53323169 -1.01882118],[5.15230932 3.18720093],[1.06905517 0.10732547],[6.29641712 3.75944442],[0.73796351 0.717441  ],[6.98815928 3.53616612],[-0.45363926 -0.86509798],[3.94570401 4.65268463],[ 0.26948716 -1.04330167],[4.83251893 6.16932315],[-0.95812499 -0.37155422],[6.62022829 3.94508311],[0.38489988 0.96133983],[4.84861011 3.11337715],[-0.90805175  0.53324756],[3.90299638 6.75218909],[-0.63668147 -0.83379759],[7.08653969 4.95173616],[-0.69243515  0.84949539]
[4.2673888  5.13867887],[ 0.54641056 -1.00227926],[5.25857731 3.19941738],[1.05536826 0.13604274],[6.36884458 3.8319215 ],[0.71033444 0.73175959],[6.94061354 3.45064863],[-0.49931376 -0.84709054],[3.97405138 4.54889469],[ 0.29612302 -1.03334911],[4.7377702  6.13031244],[-0.93658207 -0.40842504],[6.65683289 4.04138854],[0.34702547 0.96444819],[4.75923326 3.16841349],[-0.87931246  0.5673616 ],[3.84154366 6.66651768],[-0.59061237 -0.8774359 ],[7.01615254 5.03553766],[-0.71771219  0.82367325]
[4.32279581 5.03940379],[ 0.55941133 -0.98542301],[5.36355711 3.21457227],[1.04649982 0.16947179],[6.43859189 3.90589977],[0.6831039  0.74621166],[6.88883641 3.36733573],[-0.53616027 -0.81902208],[4.00514439 4.44631142],[ 0.32716453 -1.01663618],[4.64503924 6.08744495],[-0.9167615  -0.44779498],[6.68986729 4.13818593],[0.31813593 0.97565559],[4.67268148 3.22671968],[-0.85134748  0.59880404],[3.78471211 6.57660358],[-0.54677259 -0.92099987],[6.94313214 5.11652056],[-0.74486927  0.7934157 ]
[4.37927707 4.94163584],[ 0.57083407 -0.96919823],[5.46742319 3.23287516],[1.03198657 0.19776768],[6.50522527 3.98092431],[0.65294846 0.75761018],[6.83323849 3.28673227],[-0.57680856 -0.79395478],[4.03951188 4.34562406],[ 0.35607255 -1.00086532],[4.55449364 6.04080616],[-0.89555364 -0.48647517],[6.72015029 4.23612531],[0.28344455 0.97885244],[4.58899688 3.28814123],[-0.82481245  0.62678269],[3.73263658 6.482847  ],[-0.49525644 -0.95411631],[6.86723606 5.19419965],[-0.77163305  0.76119999]
[4.43668144 4.84531562],[ 0.57846255 -0.95582138],[5.57007257 3.25426304],[1.02064861 0.22973811],[6.56934922 4.05758378],[0.62578874 0.77175436],[6.77381236 3.20891374],[-0.61110215 -0.76176755],[4.07650472 4.24636101],[ 0.38743883 -0.98046465],[4.46599748 5.99018004],[-0.87111456 -0.52285299],[6.74691728 4.33429717],[0.25159915 0.98401847],[4.5078569  3.35213548],[-0.79785224  0.65290276],[3.68577684 6.38597785],[-0.44394376 -0.98470521],[6.78916348 5.26904204],[-0.79029512  0.73482236]
[4.49492041 4.75045071],[ 0.58651812 -0.94116742],[5.67152647 3.27882897],[1.00732285 0.26046635],[6.63039413 4.13529159],[0.59499236 0.78223113],[6.71076128 3.13414778],[-0.64786338 -0.73147042],[4.11674574 4.14930041],[ 0.41650073 -0.96135815],[4.38012866 5.93607906],[-0.84644233 -0.55937384],[6.77031596 4.43273755],[0.21559099 0.98388882],[4.42948014 3.41870222],[-0.76806663  0.67971096],[3.64381754 6.28599526],[-0.39222265 -1.01128095],[6.70906611 5.34098216],[-0.81284657  0.7024452 ]
[4.55405816 4.65717866],[ 0.59616413 -0.92426565],[5.77158519 3.30643578],[0.99137704 0.28912076],[6.68844666 4.21413367],[0.56588462 0.79435619],[6.6440704  3.06247267],[-0.68328869 -0.69936689],[4.15941613 4.05377294],[ 0.43799487 -0.94762475],[4.29693254 5.87850892],[-0.81717961 -0.59171172],[6.79032128 4.53132061],[0.18209738 0.98516747],[4.35388677 3.48765035],[-0.74275326  0.69995045],[3.60735076 6.18382505],[-0.33752163 -1.03194509],[6.62707589 5.40994625],[-0.82569034  0.67783008]
[4.61378843 4.56526162],[ 0.59649177 -0.91581984],[5.8699551  3.33681785],[0.9732298  0.31576781],[6.74327877 4.29387985],[0.52999639 0.7998262 ],[6.57419697 2.99438447],[-0.71578718 -0.66402897],[4.2043843  3.95987846],[ 0.46216803 -0.9292066 ],[4.21651678 5.81754098],[-0.78816585 -0.62464377],[6.8066664  4.62968882],[0.14626604 0.98346828],[4.28083934 3.55853299],[-0.71535287  0.72022284],[3.57643274 6.0798182 ],[-0.28252243 -1.04926173],[6.54350483 5.47606408],[-0.84441618  0.64556622]
[4.67345351 4.47415664],[ 0.59950695 -0.90345924],[5.96628284 3.369633  ],[0.9517375  0.33887981],[6.79467303 4.37434077],[0.49882249 0.81030355],[6.50094568 2.92971092],[-0.74860978 -0.62886563],[4.25180512 3.86794296],[ 0.48693589 -0.90860688],[4.13921108 5.75348001],[-0.757761   -0.65635845],[6.81947458 4.72788503],[0.10999079 0.98039995],[4.21087409 3.63168686],[-0.68531106  0.74118243],[3.55067994 5.97393603],[-0.23239315 -1.06749241],[6.45798014 5.53877682],[-0.86175536  0.61274627]
