[7.55416339 5.20269188],[-1.18693605  0.35305942],[4.99345621 2.17304882],[-0.9680329  -0.13314612],[4.88514826 4.24654774],[-0.26688635  1.05549697],[2.96823519 7.15927109],[ 0.88004968 -0.93633798],[2.25104719 9.32946682],[-0.13621243 -1.28674877],[4.25817673 4.58113685],[0.74903977 0.78717635],[7.28180727 5.21192558],[ 0.28388549 -0.86925862],[6.63916462 6.37663858],[0.25218038 0.58905561],[ 2.78820419 -0.22445188],[1.04807239 0.8322354 ],[3.41602245 2.16900467],[-0.81623823  0.08038159]
[7.43515794 5.23639767],[-1.19429156  0.31970733],[4.89604908 2.16270078],[-0.97591456 -0.07003767],[4.85867226 4.35176445],[-0.26390429  1.04752224],[3.05551282 7.06549034],[ 0.86471149 -0.94001938],[2.24089709 9.19945556],[-0.06731119 -1.3112148 ],[4.3328005  4.65904088],[0.74563872 0.77317794],[7.30730271 5.12373603],[ 0.22614136 -0.8936165 ],[6.66259876 6.43501263],[0.21707038 0.57925184],[ 2.89117385 -0.13864594],[1.01201879 0.88346606],[3.33459182 2.18015264],[-0.81144516  0.14327092]
[7.31566936 5.26696694],[-1.19825485  0.2888615 ],[4.79820721 2.15893696],[-0.9827908  -0.00763776],[4.83215399 4.45584669],[-0.26472786  1.03592165],[3.1411914  6.97129432],[ 0.84721155 -0.94548323],[2.23762866 9.06771394],[ 2.43592523e-04 -1.32308158e+00],[4.40687612 4.73535522],[0.73695782 0.75426822],[7.32707102 5.03340514],[ 0.16778649 -0.91367618],[6.68238773 6.49236364],[0.1778496 0.5672468],[ 2.99070436 -0.04785324],[0.97568505 0.92838287],[3.25379912 2.19769684],[-0.80346273  0.20823399]
[7.19567566 5.29428796],[-1.20134891  0.25781949],[4.69977947 2.16137013],[-0.98552803  0.05589893],[4.80618821 4.5593708 ],[-0.25598218  1.03292323],[3.22539091 6.87684141],[ 0.83639887 -0.94393004],[2.24045858 8.93478729],[ 0.05817442 -1.33145999],[4.48048505 4.81019837],[0.73662852 0.74407082],[7.34066904 4.94099754],[ 0.10584293 -0.93195262],[6.69828036 6.54864352],[0.13509374 0.55380392],[3.08654148 0.04706754],[0.94316885 0.97108893],[3.17391751 2.22176342],[-0.79315066  0.2737026 ]
[7.07542545 5.31854276],[-1.20553844  0.2251491 ],[4.60135364 2.17028133],[-0.98312059  0.12166258],[4.78075903 4.66221364],[-0.25332376  1.02321532],[3.30842299 6.78246885],[ 0.82452815 -0.94318983],[2.24915112 8.80163069],[ 0.11428316 -1.33141768],[4.55381917 4.88379782],[0.7319137  0.72984962],[7.34767271 4.84663893],[ 0.03330125 -0.95504604],[6.70970337 6.6035067 ],[0.09109569 0.54156884],[3.17911575 0.14595556],[0.90952412 1.00686288],[3.09553674 2.25273465],[-0.77537008  0.34432384]
[6.95488726 5.33961319],[-1.20552584  0.19594855],[4.50331122 2.1857539 ],[-0.97758017  0.18729724],[4.75539274 4.76389396],[-0.25354124  1.01096867],[3.39022544 6.68814222],[ 0.81254208 -0.94228999],[2.26306755 8.66856373],[ 0.164288   -1.32816274],[4.62700541 4.95631786],[0.73089785 0.71971434],[7.34794748 4.75079957],[-0.02698925 -0.96032244],[6.71647326 6.65702   ],[0.04438776 0.52915953],[3.26811331 0.24793197],[0.87162903 1.03294221],[3.01941959 2.29111238],[-0.7465469   0.42310228]
[6.83416599 5.35755473],[-1.20939351  0.16227428],[4.40606858 2.2078624 ],[-0.96910723  0.25228898],[4.73016814 4.86452748],[-0.25024511  1.00231347],[3.47093428 6.59402231],[ 0.79960091 -0.94210954],[2.28183899 8.5360704 ],[ 0.20933654 -1.32229593],[4.7002434  5.02799866],[0.73295018 0.71307745],[7.34204969 4.6545005 ],[-0.08822953 -0.96227644],[6.71847371 6.7093205 ],[-0.00454315  0.51705363],[3.35322945 0.3521812 ],[0.83299191 1.0535185 ],[2.94572083 2.3367115 ],[-0.72414827  0.49130843]
[6.71337847 5.37241001],[-1.20542007  0.13605422],[4.30941704 2.23597145],[-0.95965997  0.31331352],[4.70514944 4.96416465],[-0.24866335  0.99192824],[3.5502277  6.49981712],[ 0.78604122 -0.94214718],[2.30483246 8.40423886],[ 0.24982207 -1.31392417],[4.77339807 5.09875062],[0.72805361 0.69995595],[7.32997838 4.55815499],[-0.15221116 -0.96294821],[6.71538486 6.76034066],[-0.05709437  0.50387897],[3.43497642 0.45875157],[0.7998321  1.07498971],[2.87470191 2.38931518],[-0.69362564  0.56237383]
[6.59308056 5.38478698],[-1.20108593  0.1111861 ],[4.21392167 2.27015929],[-0.950676    0.36905688],[4.68041968 5.06288557],[-0.24638551  0.98207968],[3.62829774 6.40575755],[ 0.77582364 -0.93856286],[2.33156306 8.27324659],[ 0.28547724 -1.30428042],[4.84600968 5.16816014],[0.72301628 0.6871613 ],[7.31138229 4.46182917],[-0.22156867 -0.964622  ],[6.70671674 6.80984554],[-0.11855877  0.484341  ],[3.51343728 0.56728614],[0.76517486 1.09082511],[2.80706814 2.44905988],[-0.65965768  0.63077695]
[6.47330971 5.39481749],[-1.19348585  0.09045643],[4.11962926 2.30994982],[-0.93489259  0.42617392],[4.65551486 5.160245  ],[-0.25039578  0.96656864],[3.70537693 6.31209564],[ 0.76504484 -0.93533962],[2.36159098 8.14322554],[ 0.31712447 -1.29340334],[4.91796757 5.23616398],[0.71828495 0.67515465],[7.28591828 4.36564462],[-0.28686515 -0.9576677 ],[6.69206246 6.85768113],[-0.17610395  0.47108212],[3.5882476  0.67705422],[0.73116516 1.10413524],[2.74279091 2.51526117],[-0.62561529  0.69228573]
[6.35422673 5.40276177],[-1.18741778  0.06932691],[4.02716969 2.35545554],[-0.91506258  0.48229353],[4.63035028 5.256225  ],[-0.25246668  0.95358343],[3.78149386 6.21888274],[ 0.75481535 -0.93135511],[2.39502906 8.01470783],[ 0.35099557 -1.27703215],[4.98977056 5.30331346],[0.7164032  0.66657164],[7.25390948 4.27032189],[-0.35323714 -0.94816427],[6.67090487 6.90354151],[-0.24819169  0.44526201],[3.66012652 0.78845346],[0.70678546 1.12345717],[2.6821512  2.58747817],[-0.58512806  0.75281451]
