[2.20112512 8.80314036],[-2.58387233 -1.37855659],[1.27192031 1.98453648],[ 2.54682965 -3.67307312],[4.5338199  8.36166362],[4.64657167 2.00858172],[2.87590363 2.63349394],[ 1.64755992 -1.21479314],[2.678272   8.49695422],[1.15801334 3.09408089],[9.86444043 2.3609445 ],[-3.54924906  3.89619633],[3.43969097 9.79997311],[1.93931467 3.65528723],[6.21249773 9.09730433],[-4.55760763  4.08865507],[9.68478375 0.63931794],[3.02072386 2.51257683],[5.62179056 2.70815779],[-1.38402625 -2.31071015]
[1.53400358 6.62999255],[ 0.65142433 -1.03279089],[3.67186762 1.69254885],[1.00749457 0.84301567],[6.82844665 8.09275635],[ 0.61394016 -0.86714277],[5.18127429 2.74971157],[0.87007411 0.80654561],[4.54283288 9.44613745],[ 1.02724786 -0.56917391],[7.49911105 4.38084228],[-1.0300902   0.73207152],[ 5.32494561 10.168498  ],[ 0.76781313 -0.99004803],[3.97036655 9.16997143],[-0.68085    -0.94967588],[9.54104824 3.24056425],[-0.9124611   1.03233119],[3.92105398 2.02736589],[-0.74753688  0.73722354]
[1.60217862 6.52833461],[ 0.70749706 -1.00359996],[3.77097189 1.77888792],[0.97553068 0.88373366],[6.88757944 8.00395137],[ 0.56561943 -0.91097833],[5.26688993 2.83278901],[0.83808935 0.85019209],[4.6444271  9.38586236],[ 1.00326066 -0.63591902],[7.39655796 4.45384605],[-1.02147026  0.72753053],[ 5.39958193 10.06715602],[ 0.72138672 -1.03879405],[3.90499168 9.07248069],[-0.6281363  -1.00067808],[9.44839729 3.34219276],[-0.93920235  1.00122119],[3.84825107 2.10510456],[-0.70692785  0.81670147]
[1.67600425 6.43001861],[ 0.76739811 -0.96328035],[3.86664907 1.86880032],[0.93831941 0.91387231],[6.94134631 7.91055559],[ 0.51189891 -0.9536907 ],[5.34901737 2.91976079],[0.80357266 0.88766151],[4.74318368 9.31896636],[ 0.97302165 -0.69925575],[7.29469299 4.52622354],[-1.01624164  0.71957595],[5.46937389 9.96117371],[ 0.67384328 -1.08022202],[3.84497725 8.97025088],[-0.5700862  -1.04090384],[9.35328946 3.44081897],[-0.96207915  0.97186576],[3.77996395 2.19053202],[-0.65626327  0.89205464]
[1.75502451 6.3352649 ],[ 0.81367755 -0.9300627 ],[3.95874635 1.96161037],[0.90550968 0.94333651],[6.99013418 7.81357133],[ 0.46477363 -0.98433265],[5.42735765 3.00996098],[0.76393903 0.91638142],[4.83911163 9.24638884],[ 0.94563549 -0.75075236],[7.19322532 4.59766601],[-1.01357895  0.70873237],[5.53446917 9.85144608],[ 0.62972472 -1.11184553],[3.79101095 8.86448262],[-0.5107687 -1.0750112],[9.25647397 3.5369988 ],[-0.97657317  0.94913852],[3.71687271 2.28294627],[-0.60304263  0.95659925]
[1.83858381 6.24404396],[ 0.8572102 -0.8937436],[4.0476431 2.0572062],[0.86936368 0.96471741],[7.03398368 7.71354044],[ 0.41324148 -1.01448761],[5.50183194 3.10295011],[0.72128035 0.93856165],[4.93176467 9.16852705],[ 0.90634536 -0.8064152 ],[7.09194772 4.66792244],[-1.00990554  0.69843151],[5.59510202 9.73874606],[ 0.58277508 -1.14159449],[3.74244726 8.755066  ],[-0.46159433 -1.11317148],[9.15785954 3.63048327],[-0.99656226  0.91948168],[3.65942177 2.38151378],[-0.5441838   1.01458596]
[1.92609287 6.15631095],[ 0.89060118 -0.8625043 ],[4.13300508 2.15480403],[0.84071137 0.98927661],[7.07259818 7.61064861],[ 0.35709289 -1.0444808 ],[5.57220571 3.19816794],[0.6903636  0.96925506],[5.02067351 9.08562069],[ 0.87391391 -0.84855627],[6.99150405 4.737623  ],[-1.00219772  0.69235885],[5.65084679 9.6231062 ],[ 0.53406409 -1.16872757],[3.69913696 8.64249446],[-0.40514358 -1.13773415],[9.05768877 3.72138385],[-1.00786208  0.89735155],[3.60760498 2.48509089],[-0.48930187  1.05830768]
[2.01693683 6.07191861],[ 0.92769941 -0.82325598],[4.21567561 2.25481303],[0.81222703 1.00968391],[7.10597516 7.50535961],[ 0.31067949 -1.06058067],[5.63897609 3.29576133],[0.64642598 0.98352548],[5.10629626 8.99875988],[ 0.83439476 -0.89190445],[6.89159539 4.80646972],[-0.99370062  0.68689692],[5.70212418 9.50530438],[ 0.49179351 -1.18664747],[3.66146471 8.52772658],[-0.34984518 -1.15816296],[8.95633731 3.80997358],[-1.01855783  0.87492779],[3.56164046 2.59294957],[-0.42933193  1.09823049]
[2.11105784 5.99121059],[ 0.95186205 -0.79326578],[4.29550955 2.35667444],[0.78463464 1.02705468],[7.13450822 7.39840989],[ 0.26079008 -1.07714241],[5.70183122 3.39511906],[0.61038708 1.00273637],[5.18793674 8.90779314],[ 0.80017078 -0.92491081],[6.79252064 4.87475956],[-0.98372878  0.68299526],[5.74929228 9.38592069],[ 0.45142607 -1.20103304],[3.62940522 8.41126383],[-0.28921278 -1.16831145],[8.85392399 3.89629165],[-1.03031673  0.85067614],[3.52138329 2.70414619],[-0.37343801  1.12711141]
[2.20757384 5.91362906],[ 0.97479832 -0.76161207],[4.37248982 2.45999844],[0.75469963 1.03853831],[7.15775276 7.28967818],[ 0.20544152 -1.09556144],[5.76120027 3.496353  ],[0.57608338 1.02044646],[5.26619478 8.81377876],[ 0.76500536 -0.95473665],[6.69431364 4.94253796],[-0.98091708  0.67196799],[5.79242249 9.26517139],[ 0.41461119 -1.21048325],[3.6035093  8.29404328],[-0.23197976 -1.17853731],[8.75050343 3.98031637],[-1.03812473  0.8297237 ],[3.48700957 2.81821801],[-0.3148397   1.15263217]
[2.3066901  5.83965364],[ 1.00566711 -0.71926106],[4.44685848 2.56468334],[0.73093456 1.0527939 ],[7.17565155 7.179465  ],[ 0.15278072 -1.10802276],[5.817165   3.59922576],[0.54360639 1.03684009],[5.34096556 8.71699039],[ 0.73005088 -0.98088851],[6.5962567  5.00904818],[-0.97875769  0.65964163],[5.83218674 9.14378825],[ 0.38157912 -1.21627617],[3.58300407 8.17571491],[-0.17986966 -1.18895235],[8.646755   4.06268731],[-1.04131943  0.81320024],[3.4587032  2.93477887],[-0.25177622  1.17724042]
[2.40829725 5.76944898],[ 1.02507893 -0.68588902],[4.5186497  2.67043687],[0.70436234 1.06119753],[7.18863769 7.06847262],[ 0.10720435 -1.11140687],[5.87008122 3.7037649 ],[0.51201117 1.05066837],[5.41208753 8.6175864 ],[ 0.69275039 -1.00633253],[6.49851687 5.07440801],[-0.97807524  0.64542981],[5.86862669 9.02180793],[ 0.3469871 -1.2234599],[3.56782184 8.05668916],[-0.1248865  -1.19195546],[8.54238283 4.14307999],[-1.04670015  0.794035  ],[3.43633234 3.05320743],[-0.1967916   1.18965346]
[2.51166566 5.70248631],[ 1.04392048 -0.65139191],[4.58765836 2.77677808],[0.6770805  1.06648472],[7.19680783 6.95696547],[ 0.05840296 -1.1162695 ],[5.91966951 3.80938299],[0.48164971 1.06300086],[5.47956527 8.5158582 ],[ 0.65570888 -1.02894549],[6.40092921 5.13840012],[-0.97379302  0.63429963],[5.90168924 8.89922354],[ 0.31553913 -1.22703161],[3.55784372 7.93727975],[-0.07404431 -1.19478703],[8.43759682 4.22166265],[-1.04540092  0.78128631],[3.41931899 3.17261918],[-0.14457973  1.19712089]
[2.61644448 5.63857663],[ 1.05256467 -0.62587346],[4.654632   2.88419548],[0.65842888 1.07735612],[7.20050082 6.84543248],[ 0.01370863 -1.11611671],[5.96629961 3.91615648],[0.45213931 1.07311431],[5.54314314 8.41179999],[ 0.61714789 -1.05052933],[6.30396128 5.20146714],[-0.96480513  0.62785632],[5.93152551 8.77620671],[ 0.28039701 -1.2339973 ],[3.5527399  7.81759926],[-0.02923808 -1.19907995],[8.33291612 4.29895717],[-1.04895654  0.76379951],[3.40745635 3.29262786],[-0.09136738  1.20401811]
[2.72252599 5.57770392],[ 1.06939194 -0.59093735],[4.71954113 2.99236593],[0.64105457 1.08688305],[7.19960748 6.73386326],[-0.03009141 -1.11376992],[6.00984666 4.02367974],[0.42224711 1.0803205 ],[5.60303886 8.30586082],[ 0.58252628 -1.0662321 ],[6.20764156 5.26363876],[-0.96036946  0.61681002],[5.95801501 8.65269858],[ 0.24663376 -1.23888455],[3.55199345 7.69763224],[ 0.01522052 -1.19861879],[8.22781247 4.37441249],[-1.05144595  0.74694511],[3.40089542 3.41319625],[-0.04241692  1.20474646]
[2.82996673 5.52007323],[ 1.08079085 -0.56011006],[4.78256883 3.10121288],[0.61988083 1.09007336],[7.19433839 6.62256723],[-0.07478213 -1.1114464 ],[6.05061066 4.13198693],[0.39251324 1.08490866],[5.65974793 8.19868476],[ 0.55020987 -1.07856184],[6.11184414 5.3247724 ],[-0.95288291  0.60860347],[5.98113844 8.52875339],[ 0.21750771 -1.23837173],[3.55562273 7.57784742],[ 0.05798756 -1.19569932],[8.12246886 4.44817696],[-1.05230723  0.73147449],[3.39928319 3.53385077],[0.00842879 1.20638141]
[2.93871062 5.46575843],[ 1.09401938 -0.526119  ],[4.84367441 3.21046598],[0.60088013 1.09330106],[7.1847504  6.51170986],[-0.11427045 -1.10313991],[6.08856886 4.2408032 ],[0.36748826 1.09180459],[5.71311308 8.09023095],[ 0.51911022 -1.08840202],[6.01682165 5.38511634],[-0.94736121  0.59844542],[6.00171183 8.40517308],[ 0.19676811 -1.23078756],[3.56356715 7.45857359],[ 0.10031313 -1.18967495],[8.01714672 4.52050317],[-1.05551189  0.71364101],[3.4025981  3.65445124],[0.05404247 1.20178849]
[3.04865361 5.4147827 ],[ 1.10430124 -0.49379702],[4.90290471 3.31996999],[0.58338975 1.09614781],[7.17099014 6.40147796],[-0.15727038 -1.09772837],[6.1237304  4.34989705],[0.33581445 1.08998462],[5.76339657 7.98086193],[ 0.4863746  -1.09908991],[5.92243334 5.44451852],[-0.94191533  0.58803585],[6.02017493 8.2822189 ],[ 0.17122205 -1.22966526],[3.57561166 7.33994677],[ 0.14288675 -1.17995078],[7.91138211 4.59089613],[-1.05923802  0.69470692],[3.41021748 3.77435795],[0.09901389 1.19699556]
[3.15974808 5.36722156],[ 1.11726909 -0.45745016],[4.96025152 3.42953675],[0.56093768 1.09245641],[7.15300448 6.29190317],[-0.19993563 -1.09116929],[6.15614083 4.45914402],[0.31238404 1.09448179],[5.81088394 7.87092481],[ 0.46078515 -1.10231287],[5.82873469 5.5030147 ],[-0.9329298   0.58103001],[6.0358278  8.15915166],[ 0.14388576 -1.22954725],[3.59166803 7.222191  ],[ 0.17851415 -1.17409201],[7.80556197 4.65970224],[-1.05673809  0.68190839],[3.42265294 3.89405275],[0.14997407 1.19689079]
[3.27152174 5.32272234],[ 1.11878675 -0.43204656],[5.01544062 3.53878449],[0.54420735 1.09358817],[7.13121618 6.18345874],[-0.2386654  -1.08070321],[6.18575434 4.56829221],[0.28034346 1.08887441],[5.85559433 7.76046482],[ 0.43466005 -1.10561175],[5.7358238  5.56069862],[-0.92782086  0.57006492],[6.04933564 8.03665327],[ 0.12555058 -1.22149178],[3.61126289 7.10518312],[ 0.21232661 -1.16647724],[7.69995126 4.72719734],[-1.0569745   0.66650361],[3.44000083 4.01347007],[0.19538095 1.18983799]
[3.38349509 5.28079744],[ 1.12039139 -0.40674927],[5.06927758 3.64836464],[0.53081085 1.0959862 ],[7.10564417 6.07616057],[-0.27414763 -1.06681396],[6.21268084 4.67733107],[0.25376229 1.0871578 ],[5.89742227 7.64943511],[ 0.40448214 -1.11223803],[5.64369125 5.61754293],[-0.91520977  0.56648022],[6.06070494 7.91461577],[ 0.1018098  -1.21931094],[3.63395728 6.98884907],[ 0.24121251 -1.15999086],[7.59441517 4.79324041],[-1.05306548  0.65513332],[3.46141987 4.13174115],[0.23258615 1.17531414]
[3.49553604 5.24129852],[ 1.12000641 -0.38365845],[5.12131191 3.75766197],[0.51066751 1.09066948],[7.07623205 5.96996859],[-0.3144911  -1.05733358],[6.2370771 4.7862498],[0.23229843 1.08890732],[5.93667609 7.53819789],[ 0.3786345  -1.11441324],[5.55287864 5.67410414],[-0.9032066   0.56263388],[6.07017901 7.7932466 ],[ 0.08848915 -1.20759368],[3.6597268  6.87350483],[ 0.27384175 -1.14680208],[7.4892418 4.8581318],[-1.04854254  0.64454645],[3.48659737 4.24865007],[0.27119793 1.16319587]
[3.60740542 5.20395285],[ 1.11824351 -0.36242836],[5.17199879 3.86703063],[0.50108945 1.09428534],[7.04304015 5.86500579],[-0.34805446 -1.04069199],[6.25922765 4.89513532],[0.20729969 1.08516364],[5.97315508 7.42658524],[ 0.35146022 -1.11723721],[5.4631326  5.73014948],[-0.89353456  0.55643412],[6.07787114 7.67254368],[ 0.06353148 -1.20816502],[3.68913451 6.75991877],[ 0.31064558 -1.12826425],[7.38451762 4.92196956],[-1.04700629  0.63116693],[3.5156152  4.36433844],[0.30710652 1.14873453]
[3.71937469 5.16901947],[ 1.1201018  -0.33724085],[5.2215205 3.9764634],[0.48918306 1.09392123],[7.0064867  5.76168863],[-0.38273978 -1.02545371],[6.27876275 5.00347929],[0.18001021 1.07823237],[6.00705849 7.31484617],[ 0.32614559 -1.1179144 ],[5.37400532 5.7852032 ],[-0.88656951  0.5470514 ],[6.08320657 7.55197572],[ 0.04200251 -1.20430478],[3.72146201 6.64755309],[ 0.33840932 -1.11614429],[7.27981449 4.98431998],[-1.04622857  0.61657369],[3.54800162 4.47841672],[0.3409271  1.13329209]
[3.83168757 5.13679563],[ 1.12902961 -0.30395526],[5.26957188 4.08552704],[0.47198929 1.08742414],[6.96666472 5.66008438],[-0.4151749  -1.00819975],[6.29548998 5.11103396],[0.15403099 1.07219735],[6.03827868 7.202912  ],[ 0.29562544 -1.12318158],[5.28568508 5.83941566],[-0.87991007  0.53707823],[6.08666116 7.43206162],[ 0.02616874 -1.19514511],[3.75663482 6.53657683],[ 0.36511207 -1.10285836],[7.175432   5.04544674],[-1.04097896  0.60644239],[3.58387452 4.59108182],[0.37932464 1.12286105]
[3.94466964 5.10778156],[ 1.13201066 -0.27481298],[5.31601177 4.19403128],[0.45745296 1.08310593],[6.92347697 5.56008493],[-0.44761984 -0.99087391],[6.30978282 5.21809389],[0.13036481 1.06730951],[6.06684655 7.09089254],[ 0.27323154 -1.11983495],[5.1983125 5.8929011],[-0.86816092  0.53202531],[6.08848889 7.31297958],[ 0.01009314 -1.18696157],[3.79418946 6.42677576],[ 0.38821619 -1.09054202],[7.07147183 5.1054666 ],[-1.04044985  0.59162375],[3.62352628 4.70262138],[0.4120252  1.10638875]
[4.057575   5.08132893],[ 1.1275029  -0.25299791],[5.36112925 4.30219411],[0.44838716 1.08335646],[6.87710603 5.46187883],[-0.47565664 -0.96925312],[6.32147382 5.3243959 ],[0.10677006 1.06183044],[6.09292879 6.97896288],[ 0.24747779 -1.11956693],[5.11200667 5.94577329],[-0.85933853  0.52393279],[6.08842462 7.19443416],[-0.00906795 -1.18162185],[3.834211   6.31845786],[ 0.41163857 -1.07601276],[6.9676063  5.16401948],[-1.03621374  0.58008341],[3.66626035 4.81237168],[0.44365837 1.08983632]
[4.16987381 5.0568541 ],[ 1.12285348 -0.23217731],[5.40527182 4.4102339 ],[0.43389107 1.07683004],[6.82825328 5.3661071 ],[-0.5039348  -0.94879872],[6.33083128 5.43011603],[0.0820154  1.05404738],[6.11620385 6.86688158],[ 0.22032375 -1.11971627],[5.02679464 5.998037  ],[-0.84747354  0.51875808],[6.08652273 7.07650525],[-0.02799763 -1.17593042],[3.8765978  6.21170289],[ 0.4340869  -1.06074373],[6.86406524 5.22131647],[-1.03399437  0.56640792],[3.71195636 4.92030047],[0.46949387 1.06838638]
