[1.32735473 3.44131414],[ 0.50472686 -0.8941633 ],[-0.15552292  8.13997065],[ 0.55102719 -1.27455331],[6.56002552 0.85924931],[-0.981398    0.88077646],[6.01065678 7.12098462],[-1.0994976  -0.70554804],[-0.09218022  4.11363215],[0.42822143 0.92846754],[1.74344066 0.94873574],[-0.41352646  0.41639166],[6.74217404 2.39424039],[-1.25556788  0.38337421],[2.7150245  6.59082259],[-0.8141335  -0.67987533],[8.4633598  6.42349482],[-0.68679111 -1.12746023],[3.08901954 1.52067738],[1.03957955 0.55247528]
[1.38073823 3.35327887],[ 0.55828399 -0.8701437 ],[-0.09807233  8.01370654],[ 0.59859636 -1.24920464],[6.4617781  0.94793412],[-0.98394602  0.89091389],[5.90195535 7.04960191],[-1.07742046 -0.72448386],[-0.0445734   4.20645608],[0.5219878  0.92557301],[1.70329546 0.99589405],[-0.38942248  0.52598383],[6.61738384 2.43349396],[-1.24134013  0.40057511],[2.63496741 6.51991321],[-0.7832022  -0.73424586],[8.39131053 6.31213828],[-0.75505988 -1.10136385],[3.1919209  1.57840767],[1.01740832 0.60083984]
[1.43922251 3.26770092],[ 0.6102053  -0.84165204],[-0.03643809  7.88967943],[ 0.63369767 -1.23076852],[6.36335823 1.03729163],[-0.98312944  0.89650824],[5.79498459 6.97597044],[-1.06103913 -0.74678491],[0.01139466 4.29785006],[0.59901217 0.9039382 ],[1.66561506 1.05380529],[-0.3624479   0.63258753],[6.49407034 2.47450911],[-1.22679689  0.41778135],[2.55860982 6.44423774],[-0.74331406 -0.77828099],[8.31291543 6.20364085],[-0.80956575 -1.06633079],[3.29226666 1.64057279],[0.98813565 0.64075366]
[1.50284217 3.18519899],[ 0.65857499 -0.81103379],[0.02840592 7.76747582],[ 0.66352114 -1.2121919 ],[6.26510141 1.12701342],[-0.98018096  0.89905336],[5.68962659 6.90019291],[-1.04682436 -0.76909646],[0.07524698 4.38723225],[0.67734197 0.88314603],[1.63084142 1.12213336],[-0.33132109  0.73370002],[6.3719749  2.51696102],[-1.21482453  0.43139825],[2.48610262 6.36410577],[-0.70592956 -0.82304862],[8.22918128 6.09848056],[-0.85806273 -1.03088685],[3.38960022 1.70655573],[0.95538266 0.6753381 ]
[1.57094154 3.10568672],[ 0.70336512 -0.77834709],[0.09624823 7.64734158],[ 0.68873502 -1.19435246],[6.16763993 1.217313  ],[-0.96959932  0.9059569 ],[5.5860422  6.82264712],[-1.02641486 -0.78294124],[0.14660696 4.47424133],[0.74770407 0.85526647],[1.59947906 1.20024759],[-0.2950468   0.82701239],[6.2512774  2.56094313],[-1.19977686  0.44758364],[2.41784529 6.28010877],[-0.65884009 -0.85612696],[8.14084116 5.99681885],[-0.90448459 -0.99910294],[3.4836227 1.7758548],[0.92525448 0.71052955]
[1.64330578 3.02949545],[ 0.74371322 -0.74481801],[0.1662269  7.52880697],[ 0.70953876 -1.17709879],[6.0711737  1.30812484],[-0.9596675   0.91004925],[5.48411491 6.74344054],[-1.01004915 -0.79873531],[0.22440556 4.55797125],[0.80222214 0.8138768 ],[1.57238691 1.28757126],[-0.24655989  0.91689689],[6.13152336 2.60592131],[-1.19433327  0.45257934],[2.35429219 6.1928949 ],[-0.61570682 -0.89118036],[8.04871961 5.89891302],[-0.93935554 -0.9614136 ],[3.57469729 1.84865902],[0.895606   0.74458393]
[1.71965453 2.95685896],[ 0.78434451 -0.7060187 ],[0.23806511 7.41192276],[ 0.72473093 -1.16264161],[5.97567103 1.39923799],[-0.95274873  0.90965301],[5.38401337 6.66295152],[-0.99480786 -0.81351995],[0.30763366 4.63769706],[0.85443906 0.77339894],[1.54990831 1.38281949],[-0.2032057   0.98526702],[6.01281192 2.65183002],[-1.18403032  0.46135435],[2.29497709 6.10222457],[-0.57047611 -0.92161607],[7.95319859 5.80459494],[-0.97420539 -0.92902304],[3.66249316 1.92446696],[0.86104286 0.77194903]
[1.79992878 2.88820447],[ 0.82083117 -0.66661252],[0.31098908 7.29619592],[ 0.73409435 -1.15121874],[5.88057655 1.48997068],[-0.94688956  0.90711392],[5.28557016 6.58121341],[-0.97607728 -0.82291376],[0.39554358 4.71301169],[0.90288008 0.73273971],[1.53227524 1.48462705],[-0.14955237  1.04819272],[5.89513033 2.69856125],[-1.16982838  0.4730471 ],[2.23984558 6.00831061],[-0.53052485 -0.95443382],[7.85423397 5.71329904],[-1.00312468 -0.89582274],[3.74701467 2.00310721],[0.82776855 0.79889513]
[1.88358175 2.82344383],[ 0.85092118 -0.62919826],[0.3853572  7.18219126],[ 0.74857246 -1.13341054],[5.78645569 1.58080017],[-0.93308989  0.91183583],[5.18890387 6.49853309],[-0.95792588 -0.83103074],[0.48779321 4.7839512 ],[0.9431382  0.68782247],[1.51984148 1.59182878],[-0.09627653  1.09637724],[5.77832267 2.74586928],[-1.1639729   0.47518446],[2.18871763 5.91128809],[-0.49234428 -0.98562623],[7.7525572  5.62525901],[-1.02836716 -0.86377078],[3.82833595 2.08448549],[0.79633005 0.82600896]
[1.97014947 2.76253347],[ 0.87892895 -0.58987948],[0.46088287 7.06973856],[ 0.76210332 -1.11530762],[5.69356744 1.67192961],[-0.92480038  0.91056056],[5.09382836 6.41490234],[-0.94327467 -0.8410002 ],[0.58427572 4.85082495],[0.98440257 0.64843134],[1.51265143 1.70313543],[-0.04663082  1.12897451],[5.66246954 2.79370736],[-1.15313323  0.48148588],[2.14199039 5.81188715],[-0.44498633 -1.00462969],[7.64871602 5.54056025],[-1.04804451 -0.83053893],[3.90635473 2.16833352],[0.76171729 0.84830154]
