[5.93307335 5.54548612],[ 0.94903329 -0.55343139],[4.59963453 1.6906174 ],[1.07484387 0.51755597],[7.76853389 1.93099351],[-1.17439498 -0.0873825 ],[6.94044813 5.80824866],[-0.71159889 -1.02233174],[2.5434377  4.20054978],[ 1.16092702 -0.55182213],[5.66847372 2.90542158],[-0.9086112   0.58804034],[7.28701144 6.19289399],[ 0.17021024 -1.19894858],[2.58653877 0.89229515],[0.77084571 1.09863522],[7.78573395 4.86959467],[-1.10996567  0.3579952 ],[6.38641209 2.22509519],[ 0.90806198 -0.11157058]
[6.02670424 5.48829779],[ 0.92385739 -0.58963749],[4.7061001  1.74348093],[1.0556934  0.54060274],[7.65119536 1.92484361],[-1.17553173 -0.03965161],[6.8701145 5.7064465],[-0.69816777 -1.01684719],[2.65967628 4.14637562],[ 1.16198539 -0.53354912],[5.57831681 2.96442838],[-0.89192215  0.59456193],[7.30171567 6.07261833],[ 0.12464416 -1.20559305],[2.66444347 1.0011593 ],[0.78487065 1.07673163],[7.67414681 4.90310704],[-1.11935029  0.31444294],[6.47738448 2.215866  ],[ 0.90813472 -0.07596819]
[6.11794211 5.42774989],[ 0.89989191 -0.62187131],[4.81094409 1.79887248],[1.04127942 0.56711075],[7.53359047 1.92303666],[-1.17463933  0.00469123],[6.80064803 5.6047258 ],[-0.69111329 -1.01747214],[2.77603128 4.09403003],[ 1.16297268 -0.51554416],[5.48976728 3.02398783],[-0.87571523  0.59983724],[7.31223538 5.95208595],[ 0.08482844 -1.20607854],[2.74378809 1.10798265],[0.80111136 1.05916253],[7.56203004 4.9326239 ],[-1.12563147  0.27303672],[6.56810347 2.21001815],[ 0.90795187 -0.0390056 ]
[6.20683691 5.36416922],[ 0.8776386  -0.64963456],[4.91373665 1.8562211 ],[1.01845788 0.58336308],[7.41615516 1.92552913],[-1.17686498  0.04134868],[6.73227631 5.5033344 ],[-0.67811093 -1.01213791],[2.89258236 4.04358171],[ 1.16726918 -0.49407718],[5.40316235 3.084371  ],[-0.85633064  0.6078253 ],[7.31863945 5.83138338],[ 0.04199682 -1.20902968],[2.82479149 1.21316613],[0.81731785 1.04317345],[7.44901824 4.95762797],[-1.13254377  0.22888141],[6.65832303 2.20747119],[ 0.89605402 -0.01230503]
[6.29292577 5.29735618],[ 0.84531102 -0.68508337],[5.01483763 1.91571418],[1.00234933 0.60507437],[7.29891997 1.93185236],[-1.1703721   0.08200128],[6.6648946  5.40217241],[-0.66945692 -1.01101329],[3.00917137 3.99489883],[ 1.16447977 -0.47981146],[5.31846738 3.14550018],[-0.84098712  0.61123565],[7.32076472 5.71044575],[ 2.92867846e-05 -1.21006683e+00],[2.90705091 1.31647245],[0.82565461 1.0210656 ],[7.33551463 4.97833867],[-1.13501484  0.18773356],[6.74790749 2.20820823],[0.89511659 0.02681956]
[6.37596604 5.22729785],[ 0.81359315 -0.71759728],[5.11451303 1.97751652],[0.99051423 0.63017847],[7.18220729 1.94191986],[-1.16464044  0.11787603],[6.59868479 5.30142597],[-0.65610195 -1.00524478],[3.12540437 3.94752548],[ 1.15968325 -0.46829191],[5.2350412  3.20665958],[-0.82664592  0.61271618],[7.31858497 5.58935877],[-0.04081934 -1.20889438],[2.99044743 1.41795689],[0.83934847 1.00592602],[7.22195223 4.99508659],[-1.13476141  0.14861621],[6.83720076 2.21277775],[0.88845969 0.06249897]
[6.45613396 5.15440655],[ 0.79211962 -0.73745929],[5.21246668 2.04123797],[0.96906382 0.64444714],[7.06634901 1.95567416],[-1.1508701   0.15853831],[6.53361053 5.20105345],[-0.64737088 -1.00409634],[3.24148323 3.90161577],[ 1.16039886 -0.45133636],[5.15327407 3.26815958],[-0.80978123  0.61611745],[7.31257043 5.46863382],[-0.07824352 -1.20440342],[3.07515601 1.51793717],[0.85512617 0.99420069],[7.10826953 5.00772708],[-1.13669873  0.106124  ],[6.92583705 2.22101401],[0.88298308 0.10130327]
[6.53377629 5.07927153],[ 0.76200057 -0.76360346],[5.30865876 2.10670362],[0.95207606 0.66194204],[6.95147081 1.97295997],[-1.14383011  0.18941959],[6.46959494 5.10099098],[-0.6337317  -0.99794537],[3.35755566 3.85734525],[ 1.15779165 -0.43739008],[5.07320145 3.32997838],[-0.79095782  0.62090625],[7.30282308 5.34836295],[-0.11564162 -1.19996558],[3.16115696 1.61651981],[0.86316241 0.97597882],[6.99484471 5.01653324],[-1.13109424  0.07064663],[7.01344353 2.23273269],[0.87393065 0.13816946]
[6.6088479  5.00207206],[ 0.73924097 -0.78024291],[5.40260312 2.17329292],[0.92940074 0.67214044],[6.83743836 1.99329387],[-1.13445253  0.21921101],[6.40641464 5.00102562],[-0.63123903 -1.0025733 ],[3.47337802 3.81446139],[ 1.15941175 -0.41933982],[4.99526256 3.39250783],[-0.77080274  0.62663982],[7.28988795 5.22904196],[-0.14368655 -1.18738301],[3.24757079 1.71296406],[0.86731911 0.95537015],[6.88190709 5.0217043 ],[-1.12679535  0.03359299],[7.10021468 2.24832397],[0.86339046 0.175751  ]
[6.68100776 4.92267536],[ 0.70803293 -0.80328101],[5.4945128  2.24106942],[0.90745856 0.68177317],[6.72488122 2.01704442],[-1.11724933  0.2549167 ],[6.34387409 4.90102467],[-0.6184736  -0.99637014],[3.589295   3.77336307],[ 1.15672613 -0.40491189],[4.91899064 3.4552316 ],[-0.75223322  0.63016368],[7.27410152 5.11086139],[-0.17186022 -1.17637889],[3.33457026 1.807582  ],[0.87515638 0.93968287],[6.76979522 5.02357494],[-1.11924011e+00  6.13411222e-05],[7.18607184 2.26792206],[0.85370832 0.21652497]
