[2.1721219  5.23330975],[ 0.62891028 -1.04503217],[4.01309631 3.4409756 ],[0.37371196 1.07091494],[3.36978231 0.37641426],[1.03651955 0.73569732],[0.61840747 4.09949607],[1.05262498 0.71863773],[5.96720809 2.85023085],[0.86074619 0.3172324 ],[6.8281558  5.42352441],[-0.52109576  0.8271281 ],[8.83454423 3.24583969],[-1.12239379  0.7185944 ],[5.40529683 3.85687674],[ 0.38401234 -0.90987455],[6.13043753 5.99832993],[-1.06711594 -0.62153251],[3.89678402 7.06063774],[ 0.8468573 -0.9223326]
[2.23653345 5.1299256 ],[ 0.6602801  -1.02123304],[4.05093211 3.5475301 ],[0.38142185 1.05859547],[3.47207613 0.45252907],[1.00654131 0.78296414],[0.72544085 4.16921074],[1.08819505 0.67689434],[6.05252363 2.8839896 ],[0.84399752 0.35659531],[6.77344686 5.50490024],[-0.57098522  0.80154037],[8.72196087 3.3164883 ],[-1.12995365  0.69365009],[5.44296281 3.76622187],[ 0.36815445 -0.90438463],[6.0246558  5.93541246],[-1.04922879 -0.63728609],[3.9804079 6.9677333],[ 0.82238176 -0.93872304]
[2.30411148 5.02907715],[ 0.69235327 -0.99428932],[4.08922589 3.65255653],[0.38611335 1.04365325],[3.57136398 0.53314199],[0.9781783  0.82749434],[0.83577386 4.23480006],[1.11593493 0.63335434],[6.13616987 2.92177596],[0.82799161 0.39845609],[6.71359631 5.58329558],[-0.62503809  0.76648137],[8.60849976 3.38449334],[-1.13814415  0.66753358],[5.47844714 3.67555343],[ 0.34240851 -0.90789201],[5.92074345 5.87105676],[-1.03064588 -0.65123203],[4.06129432 6.87298467],[ 0.79271415 -0.95861817]
[2.37475307 4.93088981],[ 0.72297948 -0.9665626 ],[4.12806445 3.75617136],[0.39281741 1.0308257 ],[3.66749465 0.61766831],[0.94483819 0.86260279],[0.94838706 4.29579416],[1.1370695  0.58810227],[6.21848543 2.96412707],[0.81427198 0.44480065],[6.64894732 5.65852643],[-0.66795788  0.73720202],[8.49436111 3.45000864],[-1.14400423  0.64341681],[5.5116402  3.58487212],[ 0.32232402 -0.90479395],[5.81902135 5.80570831],[-1.00793498 -0.65963761],[4.13936679 6.77647784],[ 0.77019422 -0.96989534]
[2.44824686 4.8353736 ],[ 0.74900573 -0.94129489],[4.16806074 3.85895324],[0.40723607 1.02470677],[3.76025493 0.70544509],[0.91218703 0.89396698],[1.0632539  4.35266378],[1.15700478 0.54689356],[6.29845551 3.01021351],[0.78413013 0.47599177],[6.57986585 5.73042156],[-0.713116    0.70037835],[8.37933295 3.51277778],[-1.15703209  0.61128707],[5.54312175 3.49480828],[ 0.30608397 -0.89769801],[5.71940201 5.73940914],[-0.98650628 -0.66816262],[4.21511439 6.67881946],[ 0.74308205 -0.98473699]
[2.5246098  4.74274678],[ 0.77404259 -0.91508521],[4.20940045 3.9609616 ],[0.41617559 1.0119583 ],[3.85006572 0.79646103],[0.88338932 0.92495392],[1.17993362 4.40546863],[1.17653864 0.51006208],[6.37534965 3.05939443],[0.75647975 0.5104719 ],[6.50665015 5.79875711],[-0.75223537  0.66444665],[8.26309036 3.57234361],[-1.16540907  0.58240796],[5.57268971 3.40518993],[ 0.28844939 -0.8914822 ],[5.62162821 5.67200155],[-0.96764542 -0.67847713],[4.28848519 6.58006032],[ 0.72069353 -0.99395321]
[2.60312994 4.65250035],[ 0.79675071 -0.88913964],[4.25135404 4.06141297],[0.42265586 0.99690958],[3.93694306 0.89031459],[0.85517972 0.95240669],[1.29828883 4.45456481],[1.19039357 0.47241827],[6.44951167 3.11211634],[0.72537385 0.54269456],[6.42929419 5.86301696],[-0.79448433  0.62031336],[8.14622422 3.6292218 ],[-1.17309492  0.55386804],[5.60122867 3.31690982],[ 0.28360981 -0.87308881],[5.52581139 5.60367715],[-0.95020799 -0.68940742],[4.35924813 6.48006338],[ 0.69747858 -1.00298295]
[2.68393796 4.56495478],[ 0.81917298 -0.86173105],[4.29404464 4.16044443],[0.4287193  0.98131063],[4.02102337 0.98673517],[0.82563688 0.97452167],[1.41804409 4.50013827],[1.20160385 0.43674282],[6.5206799  3.16822981],[0.69993538 0.58168449],[6.34772919 5.92262274],[-0.83702702  0.57069347],[8.02900951 3.68365261],[-1.17176005  0.53441554],[5.62913591 3.23026845],[ 0.27345834 -0.86083849],[5.43187338 5.53442655],[-0.93069091 -0.69760865],[4.42782701 6.379325  ],[ 0.67238189 -1.01333767]
[2.76685883 4.48010354],[ 0.83797327 -0.83630963],[4.33735281 4.25793552],[0.43818181 0.96910358],[4.10208761 1.08511999],[0.79698577 0.99385065],[1.5386612  4.54207779],[1.20714809 0.39898835],[6.58923544 3.22823623],[0.67163767 0.6190154 ],[6.26236238 5.97745912],[-0.86802529  0.52756053],[7.91172476 3.73596157],[-1.17288846  0.51283804],[5.65588968 3.14471708],[ 0.26156254 -0.85026245],[5.33964671 5.46414237],[-0.91416206 -0.70833392],[4.49413585 6.27782771],[ 0.65418267 -1.01621624]
[2.85166862 4.39788013],[ 0.85858403 -0.8075597 ],[4.38153504 4.35411059],[0.44899742 0.95782593],[4.18034631 1.18531574],[0.76630021 1.0076421 ],[1.65971878 4.580264  ],[1.21313916 0.36441065],[6.6548507  3.29191461],[0.64125037 0.65520192],[6.17394428 6.02780099],[-0.89738404  0.48149701],[7.79457071 3.78637306],[-1.17000316  0.49583201],[5.68136694 3.06015167],[ 0.248734   -0.84030013],[5.2492336  5.39296688],[-0.89092381 -0.71186899],[4.55846849 6.17589582],[ 0.63146624 -1.02330589]
