[1.01472531 2.92295678],[3.31733621 4.45997942],[5.1946151  7.49854447],[4.38816143 3.72606525],[8.61310337 3.28205537],[ 3.57117023 -0.91893295],[2.11905001 0.18511143],[4.72514966 0.01155988],[9.73378549 8.75994939],[ 0.77237662 -4.94982381],[0.44013303 2.53463443],[-1.95814408  2.6096809 ],[1.90586656 2.07059405],[4.26661693 1.46817922],[7.38692549 8.77811961],[1.46847092 3.82697473],[9.58401556 6.57337956],[3.43280693 1.0710327 ],[9.86255863 8.37550144],[3.01390997 1.94773018]
[3.43412913 4.84361354],[1.19016771 0.55345624],[7.47514087 8.10948654],[ 0.92535246 -0.46448607],[10.24813701  3.75861981],[-0.00798092  1.01298205],[4.74744225 1.6724184 ],[0.85000476 1.07554347],[8.85179936 6.08028986],[-0.81460313 -0.86043526],[1.2595938  4.86306052],[1.24381292 0.65255621],[4.58695748 3.55318975],[1.02851239 0.78498307],[7.94883977 9.94884006],[ 0.0225     -0.61318658],[10.80845888  6.88001135],[-0.50112039 -0.23200903],[10.7007253   8.47989152],[-0.658431   -0.89566274]
[3.55337407 4.89827768],[1.19512555 0.5405674 ],[7.56669265 8.060369  ],[ 0.90517865 -0.51750966],[10.24323603  3.86208606],[-0.08885619  1.054994  ],[4.83167603 1.78051946],[0.83520633 1.08641231],[8.76987754 5.99582274],[-0.82367421 -0.82914447],[1.38519551 4.92655363],[1.26713859 0.61751936],[4.68950327 3.63199942],[1.02085849 0.78948226],[7.94985284 9.88042476],[ 0.00129777 -0.75014564],[10.75174762  6.85457077],[-0.62982573 -0.27381295],[10.63162379  8.3886839 ],[-0.72072012 -0.9252989 ]
[3.67285882 4.95149056],[1.1925593  0.52180912],[7.65613478 8.00612054],[ 0.88343424 -0.56672809],[10.23038678  3.96915817],[-0.16267644  1.08904811],[4.91411527 1.88924483],[0.81976167 1.09377355],[8.68658909 5.91392237],[-0.83871237 -0.80584224],[1.5128161  4.98659352],[1.28153799 0.58056892],[4.79122302 3.71114562],[1.01640006 0.7961694 ],[7.94865005 9.79873015],[-0.02560877 -0.88129205],[10.68224218  6.82488704],[-0.75696271 -0.31762146],[10.556514    8.29481734],[-0.77863708 -0.94908261]
[3.79222519 5.00300391],[1.19376695 0.5077083 ],[7.74350712 7.94733237],[ 0.86114115 -0.61100613],[10.21054753  4.07918593],[-0.23636722  1.10670088],[4.99536749 1.99890487],[0.80260816 1.09636924],[8.60219349 5.83465527],[-0.84864424 -0.77926964],[1.64164338 5.0429694 ],[1.29439623 0.54728012],[4.89241538 3.79084428],[1.00788899 0.79808283],[7.94503102 9.70503699],[-0.04749866 -0.9900064 ],[10.60089035  6.79132418],[-0.86550956 -0.35072373],[10.47648963  8.19946383],[-0.81775512 -0.95407114]
[3.91190588 5.05339375],[1.19705572 0.49763   ],[7.82827063 7.8839892 ],[ 0.83403293 -0.65511245],[10.18339075  4.19031803],[-0.30582413  1.11452195],[5.07489139 2.10870472],[0.78703263 1.0984519 ],[8.51677975 5.75793623],[-0.86308214 -0.75889648],[1.77149485 5.09600114],[1.30312223 0.51472802],[4.99274697 3.8706812 ],[0.9965864  0.79626962],[7.9390125  9.60127381],[-0.07093214 -1.07973751],[10.50962944  6.75487888],[-0.95417665 -0.37457498],[10.3928231   8.10382508],[-0.85264969 -0.95605113]
[4.0316712 5.1026111],[1.19596056 0.48462973],[7.91019967 7.81635265],[ 0.80462918 -0.69674327],[10.14972821  4.30198225],[-0.36656213  1.11741928],[5.15278116 2.2185421 ],[0.7701145 1.0973389],[8.43000124 5.68324526],[-0.87148779 -0.73420676],[1.90210752 5.14588189],[1.31154054 0.48613697],[5.09187254 3.95019934],[0.9862535  0.79431307],[7.93062133 9.48955149],[-0.09254835 -1.14715293],[10.41049462  6.71645788],[-1.02246572 -0.38971548],[10.30629818  8.00853387],[-0.87461748 -0.94690701]
[4.1511793  5.15041754],[1.19389895 0.47135498],[7.98935084 7.74494643],[ 0.77845731 -0.73056163],[10.1103887   4.41369301],[-0.42162364  1.11338076],[5.22913628 2.32834329],[0.75725703 1.09862364],[8.34235885 5.6109242 ],[-0.87736088 -0.70847464],[2.03382048 5.19342671],[1.32247111 0.46547215],[5.19001474 4.02953135],[0.97635628 0.79191912],[7.92088936 9.37273793],[-0.10590209 -1.19049134],[10.30549905  6.67693969],[-1.07490563 -0.40001995],[10.21757473  7.91405119],[-0.89637994 -0.93965912]
[4.27034486 5.19679565],[1.18799808 0.45476658],[8.06568062 7.67017047],[ 0.7482732 -0.7641461],[10.06534749  4.52429196],[-0.47562812  1.10065357],[5.30435521 2.43832456],[0.744685   1.09834416],[8.25464995 5.54164395],[-0.87832229 -0.67880163],[2.16618355 5.23867929],[1.32806065 0.44365691],[5.28724718 4.10866374],[0.96604462 0.78835107],[7.90977792 9.25223702],[-0.11494482 -1.21650553],[10.19601978  6.63662951],[-1.1112146  -0.40431645],[10.12744092  7.82094942],[-0.90558436 -0.92205648]
[4.38913635 5.24174595],[1.18642576 0.44299059],[8.1389323  7.59217327],[ 0.71521905 -0.79671994],[10.01534095  4.63359555],[-0.52678173  1.08190082],[5.37813246 2.54803427],[0.73164334 1.09639165],[8.16640938 5.474844  ],[-0.88605429 -0.65703168],[2.29910526 5.2819614 ],[1.33153822 0.42372487],[5.38347552 4.18742709],[0.95697423 0.78526667],[7.89789832 9.1297167 ],[-0.12420706 -1.23418416],[10.08376756  6.59635138],[-1.13600804 -0.40466506],[10.03618744  7.7293018 ],[-0.91710403 -0.90887808]
[4.50756327 5.28534592],[1.18138038 0.42828757],[8.20852548 7.51075158],[ 0.67504095 -0.83267749],[9.96038747 4.74084747],[-0.56968873  1.06450796],[5.45084255 2.65771771],[0.72518969 1.09955947],[8.07740419 5.41016542],[-0.89400185 -0.63672408],[2.4321458  5.32317145],[1.32782391 0.39926752],[5.47863785 4.2656873 ],[0.94665912 0.78020574],[7.88508717 9.00578753],[-0.13075984 -1.24239855],[9.96926642 6.55590766],[-1.15237595 -0.40353916],[9.94415248 7.63924309],[-0.9230602  -0.89209421]
[4.62564548 5.32765843],[1.18071255 0.41859117],[8.27444854 7.42626169],[ 0.64128552 -0.85873289],[9.90111889 4.84600841],[-0.61301123  1.04044807],[5.52269098 2.7674201 ],[0.71509509 1.09760705],[7.98780389 5.34766127],[-0.89952707 -0.61511532],[2.56484625 5.36202781],[1.32362774 0.37557043],[5.57298911 4.34363176],[0.94064054 0.7789109 ],[7.8713424  8.88100956],[-0.14106973 -1.24937471],[9.85372717 6.51593424],[-1.15773605 -0.39586392],[9.85140415 7.55065325],[-0.93228363 -0.88039538]
[4.74349615 5.36888013],[1.17937009 0.40916501],[8.33670858 7.33904243],[ 0.60277903 -0.88627418],[9.83797008 4.9489408 ],[-0.65071065  1.01660721],[5.59344347 2.87678712],[0.70478165 1.09448291],[7.89774561 5.28735854],[-0.90357603 -0.5930304 ],[2.69726604 5.39872735],[1.32122638 0.3551397 ],[5.66691907 4.42161181],[0.93779095 0.78050717],[7.85696118 8.75608558],[-0.14830269 -1.25052053],[9.73774604 6.47665958],[-1.16245427 -0.39071097],[9.75806171 7.46347564],[-0.93107263 -0.85993451]
[4.86127873 5.40930436],[1.17532785 0.39842572],[8.39498927 7.24910344],[ 0.56419387 -0.91064366],[9.77115651 5.04936193],[-0.68631452  0.99041651],[5.66347322 2.98609216],[0.69699913 1.09258902],[7.80729204 5.22922529],[-0.904235  -0.5684987],[2.82946018 5.43347759],[1.32093017 0.33850192],[5.76032976 4.49950334],[0.9324956  0.77934934],[7.8420193  8.63131202],[-0.14855225 -1.24288823],[9.62130774 6.43775414],[-1.16648192 -0.38812769],[9.66468922 7.37812186],[-0.93692341 -0.84795755]
[4.97868589 5.44871236],[1.17340616 0.39047832],[8.44956319 7.15701771],[ 0.52426651 -0.93360705],[9.70100474 5.14719225],[-0.71559272  0.96667717],[5.73276729 3.09519673],[0.68936194 1.0897653 ],[7.71668115 5.17341969],[-0.90651911 -0.54629837],[2.96117566 5.4661729 ],[1.31603546 0.3181666 ],[5.85274688 4.57679292],[0.91918622 0.76965233],[7.82660656 8.50690098],[-0.15625054 -1.24158479],[9.50474206 6.3992437 ],[-1.1640583  -0.38159885],[9.57070227 7.29386087],[-0.94055688 -0.83524289]
[5.09554345 5.48698757],[1.16552618 0.37685378],[8.49982652 7.0624778 ],[ 0.48282297 -0.95491089],[9.62789384 5.24244073],[-0.74396469  0.94043645],[5.80104936 3.20373751],[0.6796544 1.0843383],[7.62581569 5.11977286],[-0.91204679 -0.52814287],[3.09269776 5.49720901],[1.31451528 0.30307332],[5.94448008 4.65373757],[0.91653325 0.77027959],[7.81067189 8.38291086],[-0.16431294 -1.23970958],[9.38835    6.36122941],[-1.16313492 -0.37836047],[9.47643718 7.21089214],[-0.94423972 -0.82387531]
[5.21203914 5.52435419],[1.16533794 0.37168812],[8.54593174 6.9659283 ],[ 0.43712906 -0.97768959],[9.55225535 5.33522162],[-0.76804258  0.91547134],[5.86857132 3.31190485],[0.66936769 1.07754927],[7.53429733 5.06777809],[-0.91842529 -0.51211045],[3.22383133 5.52658044],[1.30666788 0.2829054 ],[6.03565759 4.73044495],[0.90703059 0.76381556],[7.79399238 8.25924731],[-0.16805647 -1.23230306],[9.27207054 6.32345578],[-1.1591262  -0.37398462],[9.38169034 7.12887937],[-0.94808167 -0.81398158]
[5.32801439 5.56074196],[1.15657902 0.3583732 ],[8.58765753 6.86744355],[ 0.39729386 -0.9917936 ],[9.474148   5.42531537],[-0.79489473  0.88523749],[5.93531438 3.41961959],[0.66613776 1.07716618],[7.44247317 5.0176651 ],[-0.91746105 -0.48967322],[3.35421222 5.55396638],[1.30158121 0.26560645],[6.12616346 4.80677013],[0.90267276 0.76222089],[7.77690369 8.13630149],[-0.16982929 -1.2228742 ],[9.15623322 6.28609959],[-1.15435296 -0.36999919],[9.28684108 7.04808056],[-0.94801744 -0.80127138]
