[5.49445175 8.01866155],[-1.04212969 -0.68101842],[1.84918778 5.31987414],[0.30985017 1.00133152],[7.56143121 6.11223792],[-0.84238281  0.75158234],[1.98194981 6.23699488],[-0.58082315 -0.61245705],[2.53045333 2.85959482],[-0.27848594  1.14155853],[8.42372033 3.39749043],[-1.24746842 -0.30788056],[0.6704886  3.51894933],[0.5933292  1.10532904],[4.48403248 6.40483306],[-1.04917386  0.12632363],[3.7073364  6.50788503],[ 0.91706759 -0.69610858],[3.38237818 3.75410029],[-0.51033888 -0.67267622]
[5.39086434 7.94857266],[-1.0270748  -0.71768627],[1.8825919 5.4192492],[0.35734766 0.98538626],[7.47407499 6.18523549],[-0.90586388  0.70550441],[1.92564228 6.17364798],[-0.54559316 -0.65478357],[2.50520009 2.9746763 ],[-0.22940774  1.15686585],[8.29755807 3.36983547],[-1.2725442  -0.24366414],[0.73204057 3.62824484],[0.64042398 1.08393376],[4.37923656 6.41600463],[-1.04645064  0.0974382 ],[3.79759514 6.43745657],[ 0.89101121 -0.70951124],[3.33110557 3.68743501],[-0.51366799 -0.65888918]
[5.28933818 7.87553142],[-1.00386798 -0.74297771],[1.92093807 5.5172175 ],[0.40935505 0.9737341 ],[7.38090881 6.25366687],[-0.95801914  0.66103912],[1.87299525 6.1061768 ],[-0.50693398 -0.69422097],[2.4848767 3.0911898],[-0.17980189  1.17030492],[8.16928449 3.34853181],[-1.29431987 -0.18561644],[0.79816737 3.7354288 ],[0.68128043 1.05967089],[4.27478478 6.42436217],[-1.04189986  0.07047681],[3.88532266 6.36578243],[ 0.86521201 -0.72224036],[3.27942604 3.62216798],[-0.51855207 -0.64478597]
[5.19025602 7.80025576],[-0.97954821 -0.76367562],[1.96407418 5.61359234],[0.45181371 0.95248545],[7.28218085 6.31684654],[-1.01212879  0.60548791],[1.82428693 6.03482311],[-0.46647735 -0.7320453 ],[2.46900853 3.20848176],[-0.13612305  1.17675778],[8.03921642 3.33291821],[-1.30798178 -0.12916353],[0.86821338 3.84020909],[0.71693996 1.03400775],[4.17067841 6.42991643],[-1.04099599  0.03973842],[3.9707248 6.2931176],[ 0.8434141  -0.73036401],[3.22772411 3.55886681],[-0.514744   -0.62022916]
[5.09367453 7.72314645],[-0.9539447  -0.77977593],[2.01123938 5.70767735],[0.49347205 0.93132956],[7.17895812 6.37499328],[-1.05152861  0.55710801],[1.77942339 5.95949812],[-0.43127949 -0.77467913],[2.45744907 3.32630834],[-0.09529545  1.17956562],[7.90810837 3.3228541 ],[-1.31262274 -0.07184157],[0.94162786 3.94242507],[0.74960388 1.00925948],[4.06637285 6.43203321],[-1.04193067  0.00565011],[4.05409703 6.21982589],[ 0.82396476 -0.73543117],[3.17650925 3.4982117 ],[-0.51237177 -0.59541492]
[4.99919619 7.64412036],[-0.9356095  -0.80027433],[2.06261781 5.79971421],[0.53396565 0.90946374],[7.0719009  6.42808057],[-1.08977995  0.50346642],[1.73839322 5.8802779 ],[-0.38972754 -0.80983961],[2.44984686 3.44428416],[-0.0572434   1.17946623],[7.7766381  3.31829554],[-1.31498071 -0.01878305],[1.01811104 4.04215723],[0.77992377 0.9858751 ],[3.9626227  6.43137134],[-1.03150137 -0.01715413],[4.13524318 6.14577804],[ 0.80074543 -0.74364984],[3.12499294 3.43959467],[-0.51672373 -0.57539119]
[4.9067722  7.56339809],[-0.91342646 -0.81424116],[2.11797078 5.88952079],[0.57196118 0.8857448 ],[6.96111242 6.47558248],[-1.12448075  0.44717205],[1.70172328 5.797813  ],[-0.34128935 -0.83681259],[2.44614603 3.56232612],[-0.02086299  1.17743445],[7.64512616 3.31891294],[-1.31083723  0.03481002],[1.09758137 4.13967766],[0.80835237 0.9640043 ],[3.85946779 6.42798954],[-1.02995373 -0.04904039],[4.21423343 6.07110567],[ 0.77864507 -0.75012495],[3.07321637 3.38325423],[-0.51928898 -0.55158986]
[4.81641328 7.4812553 ],[-0.8934213  -0.82784622],[2.17678884 5.97666812],[0.60337338 0.85645753],[6.84728862 6.51763491],[-1.15297212  0.3921392 ],[1.66986585 5.71268726],[-0.29262849 -0.86219004],[2.44571954 3.67985921],[0.01606757 1.17692908],[7.51412157 3.32477553],[-1.30931194  0.08122909],[1.17908982 4.23438422],[0.82344872 0.93240638],[3.75659179 6.42148778],[-1.02742575 -0.08101777],[4.29072787 5.99553016],[ 0.75186423 -0.76067888],[3.02120068 3.32941417],[-0.52188962 -0.52575136]
[4.72762193 7.39743491],[-0.87834011 -0.84409398],[2.23889518 6.06108815],[0.63707343 0.83047189],[6.73112907 6.55450198],[-1.1706198   0.34433107],[1.64328122 5.62549635],[-0.23741973 -0.87973728],[2.44875025 3.79709619],[0.04520825 1.16869874],[7.38320629 3.3348979 ],[-1.30761655  0.12156222],[1.26234386 4.32633749],[0.84197248 0.90754253],[3.65413247 6.41190446],[-1.02253575 -0.11159958],[4.36436935 5.91875704],[ 0.72133903 -0.77430546],[2.9687076 3.2780486],[-0.52830065 -0.50154907]
[4.64064894 7.31241129],[-0.86187291 -0.8567475 ],[2.30428162 6.14286498],[0.66909007 0.80372626],[6.61333597 6.58659553],[-1.18485501  0.29767476],[1.62193884 5.53634457],[-0.19284157 -0.90608244],[2.45465431 3.91353047],[0.07390284 1.16117499],[7.25274517 3.34908321],[-1.30464693  0.15806567],[1.3473011  4.41580406],[0.85576104 0.88089539],[3.55225699 6.3993093 ],[-1.0123218 -0.1376659],[4.43541555 5.84111448],[ 0.69875991 -0.77927772],[2.91552994 3.22917216],[-0.53478659 -0.47516007]
[4.55547399 7.22637781],[-0.84149023 -0.86343069],[2.37273594 6.22188296],[0.69759838 0.77446722],[6.49426131 6.61408433],[-1.19956139  0.24877716],[1.60493435 5.44461913],[-0.14749267 -0.92801039],[2.4632246  4.02905587],[0.09619195 1.14838648],[7.12239833 3.366423  ],[-1.29812039  0.19198504],[1.43373838 4.50284598],[0.8724649  0.85989356],[3.4516424  6.38436621],[-1.00308252 -0.16433024],[4.50404614 5.76285096],[ 0.67103761 -0.78868504],[2.86154275 3.18289006],[-0.54292042 -0.44808351]
[4.47212189 7.13955659],[-0.825717   -0.87282898],[2.44399162 6.29797881],[0.72678028 0.7469392 ],[6.37396558 6.63681701],[-1.20419159  0.20800181],[1.59267969 5.35108835],[-0.09578516 -0.94021242],[2.47410468 4.1434666 ],[0.1228803 1.141413 ],[6.99336248 3.38768861],[-1.28716221  0.22821452],[1.52130845 4.58737605],[0.88070828 0.83290269],[3.3515823  6.36632957],[-0.99582983 -0.19419242],[4.57014971 5.68393053],[ 0.64720945 -0.79346999],[2.80698677 3.13968298],[-0.54754496 -0.4150077 ]
[4.39052545 7.0520617 ],[-0.8101256  -0.88067234],[2.51783259 6.37104133],[0.75030991 0.71481354],[6.25295381 6.65518376],[-1.21433065  0.16073045],[1.58539888 5.25629657],[-0.04920732 -0.9542614 ],[2.48751593 4.25706058],[0.14534799 1.13062562],[6.86482563 3.41175614],[-1.27932467  0.25656146],[1.61013859 4.66975923],[0.89495424 0.81422271],[3.25251112 6.34554259],[-0.98492988 -0.22094971],[4.6337342  5.60443313],[ 0.62623599 -0.79465112],[2.7517122  3.09965765],[-0.55791941 -0.38509394]
[4.31019654 6.96357616],[-0.79716848 -0.88944212],[2.59408673 6.44100411],[0.77641969 0.68632691],[6.13110627 6.66891376],[-1.22264347  0.11358908],[1.58307171 5.16058064],[ 0.00196013 -0.96024649],[2.50314184 4.36958609],[0.16650727 1.11937755],[6.73708971 3.43849538],[-1.27417467  0.27870977],[1.6998505  4.74983703],[0.90206376 0.79046746],[3.1545481  6.32207495],[-0.97411051 -0.24827975],[4.69474984 5.52438199],[ 0.59457105 -0.80572834],[2.69550568 3.06286029],[-0.56581052 -0.35004607]
[4.23091861 6.8740537 ],[-0.78621464 -0.8985427 ],[2.67242009 6.50763716],[0.79240161 0.64869088],[6.00894819 6.67840337],[-1.21869381  0.07818004],[1.58561772 5.06419998],[ 0.05121379 -0.96439608],[2.52101195 4.48114104],[0.19100062 1.1118833 ],[6.61017821 3.46758178],[-1.26343994  0.30324964],[1.79038442 4.82774844],[0.90543259 0.76486767],[3.05786084 6.29604286],[-0.96043779 -0.27312779],[4.75263543 5.44331444],[ 0.56246947 -0.8161331 ],[2.6385917  3.02979177],[-0.57744199 -0.3158841 ]
[4.15329348 6.7842486 ],[-0.76937209 -0.90041301],[2.75263715 6.57083726],[0.81125988 0.61483586],[5.88723046 6.68446022],[-1.21356434  0.04519223],[1.59343301 4.96790988],[ 0.10364348 -0.96232183],[2.54091078 4.59154902],[0.20893783 1.09850087],[6.48465533 3.49936461],[-1.25052555  0.32856027],[1.88140731 4.90333298],[0.91331769 0.74541254],[2.96261384 6.26758475],[-0.94304808 -0.29451889],[4.80743126 5.361382  ],[ 0.53194334 -0.82384564],[2.58057664 3.00033825],[-0.58323373 -0.27309277]
[4.07704193 6.69401158],[-0.75738381 -0.90581428],[2.8345953  6.63054952],[0.83075627 0.58245085],[5.7659737  6.68722134],[-1.21407196  0.00743864],[1.60612167 4.87163717],[ 0.15083532 -0.96165343],[2.56282288 4.70086277],[0.22781667 1.0864501 ],[6.35999357 3.53311198],[-1.24196452  0.34664501],[1.97301209 4.97684568],[0.91717418 0.72348407],[2.86897829 6.23685435],[-0.92621856 -0.31662517],[4.85910983 5.27867267],[ 0.50096401 -0.83085654],[2.52157611 2.97490451],[-0.59585705 -0.23423121]
[4.00194121 6.60325312],[-0.74533555 -0.90984679],[2.9182368 6.6867984],[0.84451167 0.54515828],[5.64454768 6.68602436],[-1.21322277 -0.03024424],[1.62352548 4.77562968],[ 0.19846929 -0.95658376],[2.58658278 4.80895603],[0.24279632 1.07102541],[6.23658993 3.56897942],[-1.22745855  0.36914421],[2.0650559  5.04828707],[0.92287707 0.70479093],[2.77682928 6.20369852],[-0.91322672 -0.3430841 ],[4.90772426 5.19535187],[ 0.47066679 -0.8360492 ],[2.46149665 2.95368397],[-0.60662847 -0.19065152]
[3.92817639 6.51227825],[-0.73247483 -0.91196536],[3.00348882 6.73959825],[0.85828693 0.50873707],[5.52352386 6.68136481],[-1.203963   -0.05938127],[1.64560412 4.68022778],[ 0.24196711 -0.95179225],[2.61178689 4.91551675],[0.26231749 1.06120948],[6.11435749 3.6067362 ],[-1.21668478  0.3861955 ],[2.15780864 5.11807242],[0.93069375 0.68973082],[2.68662679 6.16853575],[-0.89272785 -0.36206659],[4.95307755 5.11134339],[ 0.43559907 -0.84467754],[2.39998306 2.9365956 ],[-0.62023116 -0.14735087]
[3.85584996 6.42129142],[-0.71758961 -0.91113312],[3.08972026 6.78837772],[0.86515761 0.46573801],[5.40316765 6.67357987],[-1.19995969 -0.09315777],[1.67203027 4.58551493],[ 0.28749237 -0.94084457],[2.63872697 5.02088066],[0.27686091 1.04660446],[5.99322437 3.64613338],[-1.20661864  0.40077885],[2.25114841 5.18623103],[0.93594423 0.67350988],[2.59815823 6.13113867],[-0.87449503 -0.38380618],[4.9952017  5.02681812],[ 0.40457825 -0.84796914],[2.33713934 2.92398912],[-0.63398602 -0.10178014]
[3.78501632 6.33043376],[-0.7010579  -0.90787504],[3.17652502 6.83273677],[0.87400453 0.42459098],[5.28339914 6.66261245],[-1.19434906 -0.12520022],[1.70295764 4.49202417],[ 0.33053488 -0.92877671],[2.66712842 5.12482285],[0.29119484 1.03232409],[5.87295361 3.68673616],[-1.19691441  0.41285943],[2.34467838 5.2524882 ],[0.93645016 0.65359453],[2.51135663 6.09137697],[-0.86173733 -0.4117484 ],[5.03377082 4.94158936],[ 0.36919606 -0.85396027],[2.27356429 2.91671462],[-0.64188611 -0.04774872]
[3.71549596 6.23959964],[-0.689458  -0.9087495],[3.26452992 6.8733218 ],[0.88858076 0.38979012],[5.16421997 6.64846151],[-1.18944316 -0.15803495],[1.7380305  4.39977423],[ 0.37185577 -0.9145629 ],[2.69697029 5.22736169],[0.30681265 1.01969039],[5.7536266  3.72844076],[-1.19101752  0.41945588],[2.43807161 5.31660654],[0.93053067 0.62795748],[2.42609148 6.04903179],[-0.84520009 -0.43691494],[5.06890992 4.85594332],[ 0.33326206 -0.85900112],[2.20888448 2.91463194],[-0.65386039  0.00411267]
[3.64718853 6.1487723 ],[-0.6771279  -0.90812317],[3.3536546 6.9101292],[0.89347028 0.34598804],[5.04598565 6.63150412],[-1.17634391 -0.18198838],[1.77724578 4.30914119],[ 0.41290059 -0.89708309],[2.72834224 5.32860909],[0.32036886 1.00502484],[5.63560878 3.77146803],[-1.17129969  0.43925678],[2.53110454 5.37841108],[0.93025048 0.60838219],[2.34264228 6.00428902],[-0.82669998 -0.46092823],[5.10045439 4.76987463],[ 0.29587555 -0.86379498],[2.1431832  2.91798275],[-0.66348294  0.05969111]
[3.58016239 6.05808799],[-0.6615974  -0.90365596],[3.44359021 6.9428923 ],[0.9041479  0.30843165],[4.92884459 6.61198572],[-1.16506195 -0.2068805 ],[1.82063887 4.22049188],[ 0.45414712 -0.87612036],[2.76125271 5.42856878],[0.33673077 0.99307947],[5.51891844 3.81581881],[-1.16238521  0.44759814],[2.62386301 5.4380362 ],[0.92721067 0.58647946],[2.26090652 5.95696079],[-0.80830395 -0.48604417],[5.12828429 4.68344597],[ 0.25980459 -0.8654488 ],[2.07696879 2.92739228],[-0.66314498  0.12624802]
[3.51455623 5.96773876],[-0.65123735 -0.90389938],[3.53424692 6.97158526],[0.90959207 0.26615997],[4.81301347 6.59021643],[-1.15390139 -0.23065713],[1.86765015 4.13361429],[ 0.48777536 -0.85911184],[2.79563769 5.52716779],[0.35086353 0.97884137],[5.4032177  3.86103486],[-1.15228223  0.4558018 ],[2.71657631 5.49575781],[0.92824211 0.56926689],[2.18078018 5.90683397],[-0.79313692 -0.5155297 ],[5.15219628 4.59663957],[ 0.22044873 -0.86829602],[2.0105538  2.94324917],[-0.66600562  0.18991808]
[3.45024474 5.8776524 ],[-0.63508461 -0.89786985],[3.62563182 6.99626569],[0.91926463 0.22888069],[4.69786352 6.56562   ],[-1.14634507 -0.25858792],[1.91857224 4.04914745],[ 0.52854103 -0.83187975],[2.83105304 5.62398304],[0.35994317 0.96008117],[5.28828826 3.90675415],[-1.14485361  0.45973092],[2.80914634 5.55154122],[0.92448582 0.54775273],[2.10240355 5.85393928],[-0.77542917 -0.54351853],[5.17230583 4.50977983],[ 0.18222392 -0.86812341],[1.94376529 2.96534515],[-0.67057857  0.25086516]
