[5.06792042 8.14575038],[-1.12270141 -4.06789974],[2.45271893 4.719974  ],[0.5169978  4.41759902],[2.18021442 6.49028597],[ 3.7759439  -1.05813262],[3.75623916 0.30897493],[3.06562132 0.19433446],[8.06733921 5.4001233 ],[-0.11104407  4.39766027],[8.61734526 3.33119452],[-4.39517649 -2.03457717],[8.74732991 9.62090347],[-0.34417122 -4.75046409],[0.2309229  0.75553173],[0.51289128 4.16508387],[0.29915851 9.5471252 ],[-1.91795299 -2.76464632],[5.9687798  6.13141238],[-3.34946613  4.68677082]
[4.28010403 5.00011471],[-0.208667   -0.94902146],[3.93633802 7.2818415 ],[0.88695264 0.42176491],[5.22225483 5.47931258],[ 0.89275115 -0.35727576],[5.68758273 2.76313407],[0.03001082 1.26495496],[6.07072009 7.48879352],[-1.17038007 -0.00266541],[5.27347843 3.66840963],[-0.98045564  0.68188387],[6.89510335 6.54677949],[-0.98666847 -0.75810095],[2.06662944 3.94937352],[0.91160943 0.89508009],[1.20577057 6.511258  ],[ 1.01818343 -0.78080286],[3.56787754 7.6296517 ],[-0.9104721  -0.14957284]
[4.25923169 4.90563171],[-0.20782363 -0.93956921],[4.02561554 7.32185347],[0.90148549 0.38153242],[5.31088064 5.44366613],[ 0.8778705 -0.357515 ],[5.68900851 2.88945533],[-0.00168435  1.26075828],[5.95395952 7.48639678],[-1.16702895 -0.04746683],[5.17636558 3.73747377],[-0.95982328  0.70112151],[6.79609319 6.47192675],[-0.99508327 -0.74078392],[2.15770206 4.03802435],[0.91116931 0.87945972],[1.30826471 6.43456629],[ 1.03371641 -0.75082764],[3.47721648 7.6120329 ],[-0.90237458 -0.20284442]
[4.23835672 4.8120464 ],[-0.20793661 -0.93024062],[4.11643915 7.35799228],[0.91263063 0.33906392],[5.39793015 5.40791419],[ 0.86149492 -0.35916568],[5.68740201 3.01533462],[-0.02914544  1.25768487],[5.83743051 7.47937399],[-1.16014805 -0.08948201],[5.08151691 3.80858965],[-0.93756688  0.7205343 ],[6.69618541 6.39866249],[-0.99739121 -0.71901263],[2.24870867 4.12514451],[0.9103356  0.86449109],[1.41225888 6.3608785 ],[ 1.04556544 -0.72338704],[3.38775691 7.589347  ],[-0.88577801 -0.25003762]
[4.21772192 4.71966895],[-0.2050582  -0.91756861],[4.20826327 7.38979897],[0.92470756 0.29820763],[5.48327373 5.37192651],[ 0.84521948 -0.36071076],[5.68296934 3.14067979],[-0.05986352  1.2484657 ],[5.72184144 7.46844292],[-1.15151174 -0.12895822],[4.98863813 3.8813128 ],[-0.91897073  0.73473597],[6.59602611 6.32750303],[-1.00341748 -0.70203282],[2.33961048 4.21079333],[0.9082326  0.84917721],[1.51701773 6.28953946],[ 1.05130615 -0.70166545],[3.29983604 7.56172096],[-0.87349006 -0.30378053]
[4.19738095 4.62857182],[-0.20247151 -0.9049284 ],[4.30093982 7.41720208],[0.93306188 0.25435213],[5.56721988 5.33603257],[ 0.83255676 -0.35820956],[5.67567819 3.26521544],[-0.08463825  1.2430969 ],[5.60704184 7.45349437],[-1.14453317 -0.17007   ],[4.89783713 3.95560487],[-0.89518225  0.7528071 ],[6.49539907 6.25811366],[-1.00755096 -0.6844472 ],[2.43032405 4.29497384],[0.90744794 0.83598562],[1.62277898 6.22083609],[ 1.06175446 -0.67447521],[3.21330802 7.52874156],[-0.85552729 -0.35460202]
[4.17688338 4.53836745],[-0.20672778 -0.89822636],[4.39465154 7.44049182],[0.94125011 0.21167415],[5.64971424 5.30022718],[ 0.81674678 -0.35845547],[5.66602285 3.3891801 ],[-0.10884228  1.23544161],[5.49330018 7.43480169],[-1.13047533 -0.20370919],[4.80941035 4.03164517],[-0.87389505  0.76727123],[6.3946936  6.19076565],[-1.00629459 -0.66234611],[2.52135828 4.37827624],[0.91060167 0.82757984],[1.72927372 6.15456809],[ 1.06798051 -0.65106615],[3.12872985 7.49072166],[-0.83510455 -0.40522136]
[4.15658394 4.44948492],[-0.19970181 -0.87995267],[4.48889677 7.45926836],[0.94637545 0.16681488],[5.73036955 5.26414288],[ 0.79744297 -0.36215414],[5.65378855 3.5121299 ],[-0.13726239  1.22204726],[5.38079542 7.41262035],[-1.1199009  -0.24027671],[4.72291247 4.1088712 ],[-0.85399563  0.77913614],[6.29359256 6.12505674],[-1.01427689 -0.6507398 ],[2.61222264 4.46028778],[0.90685184 0.81291731],[1.83644224 6.09070907],[ 1.07752812 -0.62385648],[3.04659644 7.44794118],[-0.80730931 -0.45039352]
[4.13661615 4.36205986],[-0.19924033 -0.86813452],[4.58391373 7.47389254],[0.9551848  0.12731747],[5.80930173 5.22790683],[ 0.77986866 -0.3638768 ],[5.63886034 3.6338517 ],[-0.16033362  1.21298654],[5.26930512 7.38672129],[-1.10952997 -0.27729724],[4.6387132  4.18754081],[-0.83264979  0.79142864],[6.19204515 6.06078322],[-1.01605103 -0.63428179],[2.70339719 4.54155375],[0.91215706 0.80805249],[1.94445744 6.02950805],[ 1.0818791  -0.60109869],[2.96709411 7.40039851],[-0.7811756 -0.4991401]
[4.11709483 4.27621708],[-0.19397174 -0.85153234],[4.67931632 7.48416483],[0.95137855 0.07663366],[5.8864508  5.19148636],[ 0.76357405 -0.36405945],[5.62150277 3.75445974],[-0.18561521  1.20027336],[5.15918866 7.3574657 ],[-1.0928044  -0.30760007],[4.55681462 4.2675546 ],[-0.80334906  0.81067009],[6.09024868 5.99802638],[-1.01877438 -0.61994142],[2.79419459 4.62145181],[0.90444729 0.79061901],[2.0526145  5.97028043],[ 1.08176799 -0.58303639],[2.89006859 7.3477458 ],[-0.76105386 -0.55594697]
[4.09824337 4.19217182],[-0.18511062 -0.83160697],[4.77441579 7.48945789],[0.95310239 0.03207067],[5.96178175 5.15487518],[ 0.74095406 -0.37026394],[5.60189519 3.87400773],[-0.20388724  1.19290722],[5.05074688 7.32523133],[-1.08022768 -0.34124043],[4.47746342 4.34906089],[-0.78210489  0.82087468],[5.98835245 5.93682421],[-1.02088911 -0.60601179],[2.88450364 4.69990456],[0.90274303 0.77953137],[2.16090881 5.91300226],[ 1.08342923 -0.56326409],[2.8154082 7.2896615],[-0.73162227 -0.60538702]
