[10.02407971  7.43373899],[-0.97952051  0.50108644],[1.48318968 7.3000494 ],[ 0.79891294 -1.01488393],[9.39950174 6.74578532],[-0.02402377 -0.90926661],[3.76111696 5.24594068],[1.11982295 0.51591094],[7.51199749 2.19823234],[0.58456375 0.92926267],[3.57883895 7.27090399],[1.06468863 0.44327762],[2.93225362 5.60940437],[ 0.01391933 -0.89413686],[5.55885052 3.49666621],[-0.92484509  0.5962332 ],[6.95413917 4.8513786 ],[-0.89496627 -0.57483261],[8.00718363 9.12834552],[-0.73989087  0.2565908 ]
[9.92241167 7.48148695],[-1.05151386  0.45295931],[1.56578178 7.20022414],[ 0.85089309 -0.98204309],[9.39253231 6.65301711],[-0.11564321 -0.94482306],[3.87280541 5.29697365],[1.11148484 0.5021713 ],[7.56787444 2.29476956],[0.53339124 1.00058233],[3.68620186 7.31260047],[1.08144565 0.3901471 ],[2.93743408 5.51957171],[ 0.09032074 -0.90136207],[5.46782399 3.55865262],[-0.90013134  0.63815592],[6.86383141 4.7954888 ],[-0.90806724 -0.54002755],[7.92947353 9.1506469 ],[-0.81625395  0.18566528]
[9.81387011 7.52380151],[-1.11466361  0.39512137],[1.65310573 7.10366253],[ 0.89729821 -0.94622073],[9.37644807 6.55720523],[-0.20658778 -0.97059921],[3.98396159 5.34693439],[1.11245118 0.49812401],[7.61841682 2.39783208],[0.47562617 1.05738936],[3.79536906 7.34929834],[1.1011131  0.34385559],[2.95021617 5.42913543],[ 0.1636799  -0.90819424],[5.379227   3.62453025],[-0.87470987  0.67567285],[6.77235713 4.74318142],[-0.92212352 -0.50703935],[7.84412279 9.16525827],[-0.8874271   0.10777662]
[9.70003823 7.56057785],[-1.15827164  0.34205861],[1.74477698 7.01073869],[ 0.93402779 -0.91334612],[9.35153959 6.45948425],[-0.29218627 -0.9834187 ],[4.09486221 5.39620296],[1.10298849 0.48462426],[7.6630463  2.50603043],[0.41647737 1.10454076],[3.90601918 7.38108706],[1.11243187 0.29310912],[2.97034554 5.33827092],[ 0.23898684 -0.90813893],[5.29376719 3.69452938],[-0.83573519  0.72241153],[6.67967114 4.69431509],[-0.93256469 -0.47143919],[7.75239815 9.17220609],[-0.94746859  0.02873309]
[9.58266814 7.5923286 ],[-1.18815945  0.29257746],[1.84008724 6.92134764],[ 0.97187508 -0.87397012],[9.31799529 6.36072635],[-0.37544366 -0.98767277],[4.20443701 5.44369029],[1.09089057 0.46738136],[7.70156103 2.61832594],[0.35607884 1.14205754],[4.0181858  7.40839644],[1.12817119 0.25142594],[2.99836124 5.24802432],[ 0.32487272 -0.89241401],[5.21196517 3.76876499],[-0.79898586  0.76294422],[6.5858107  4.64882669],[-0.94406527 -0.43800312],[7.6548014  9.17072964],[-0.99902948 -0.05487544]
[9.4623678 7.6187709],[-1.21358108  0.23933337],[1.93889655 6.83583673],[ 1.00118423 -0.83876754],[9.27628195 6.26193319],[-0.45730442 -0.9861455 ],[4.31342546 5.49007358],[1.08945553 0.46115258],[7.73405387 2.733962  ],[0.29728001 1.17263807],[4.1312877  7.43111223],[1.13626321 0.20597104],[3.03458311 5.15922904],[ 0.39826888 -0.88350518],[5.13391505 3.84693318],[-0.76203539  0.79975945],[6.49081958 4.6066414 ],[-0.95437018 -0.40460033],[7.55287342 9.16112917],[-1.0367095  -0.13590029]
[9.34014244 7.6402184 ],[-1.23052794  0.18928952],[2.04042143 6.75380433],[ 1.02993228 -0.80074178],[9.22710902 6.16416312],[-0.52668091 -0.96972141],[4.42199213 5.5356011 ],[1.08201249 0.44962084],[7.76098613 2.85251293],[0.24001291 1.19562756],[4.2451869  7.44947723],[1.14050393 0.16074637],[3.07787895 5.0714424 ],[ 0.46807022 -0.87040965],[5.05956467 3.9285984 ],[-0.7249354   0.83298523],[6.39501676 4.56796186],[-0.95987962 -0.36735335],[7.44756567 9.14330561],[-1.06401328 -0.21662551]
[9.21651991 7.65676151],[-1.24137097  0.14152735],[2.14454504 6.67544738],[ 1.05222474 -0.76632697],[9.17103739 6.06812447],[-0.5946684  -0.95092419],[4.53002439 5.58020582],[1.07883101 0.44285597],[7.78205385 2.97284133],[0.18031718 1.2087725 ],[4.35949607 7.46348215],[1.14550469 0.11986891],[3.12805127 4.98526427],[ 0.53546569 -0.85161597],[4.98918059 4.01366127],[-0.68302889  0.8673938 ],[6.29858304 4.53289052],[-0.96752616 -0.3330878 ],[7.3403958  9.11789643],[-1.07727225 -0.29048879]
[9.09179606 7.66835645],[-1.25337855  0.08949097],[2.25069387 6.60043555],[ 1.07060459 -0.73374127],[9.10829285 5.97410587],[-0.65844238 -0.92776786],[4.63772896 5.62417363],[1.07563004 0.43700435],[7.79717421 3.09418523],[0.12187182 1.2168919 ],[4.47419021 7.47348733],[1.14690669 0.07934303],[3.18500503 4.90141791],[ 0.60507347 -0.82247315],[4.92297446 4.10197422],[-0.64317687  0.89623083],[6.20154294 4.50135122],[-0.97331937 -0.29796075],[7.23228742 9.08520157],[-1.08141934 -0.36052814]
[8.96612773 7.67484794],[-1.25950809  0.04048027],[2.35874411 6.52883763],[ 1.08885853 -0.69944426],[9.03940907 5.88260623],[-0.7189851  -0.90229023],[4.745269   5.66776774],[1.07494994 0.43494905],[7.80703836 3.21657966],[0.07297766 1.22734236],[4.58846799 7.47900922],[1.13869786 0.03144915],[3.24891015 4.82087477],[ 0.67135294 -0.7886611 ],[4.86021575 4.19248772],[-0.61052604  0.91513089],[6.10423768 4.47360642],[-0.97483205 -0.25916154],[7.12415402 9.04571135],[-1.07873881 -0.42703916]
