[7.27566725 2.0753178 ],[0.26415514 0.40732108],[1.83149011 4.06486101],[0.50036431 1.02270016],[1.49819838 5.36295917],[0.27630959 0.85586487],[3.95352636 5.60586945],[ 0.60141933 -0.99221187],[2.96515279 3.50073708],[-0.79861419  0.50174724],[6.31613435 4.35859401],[-1.16110084  0.33845843],[5.97535783 2.81599889],[0.4810345  0.94229137],[3.07624948 1.7073517 ],[-0.66773739 -0.18440067],[5.33095037 8.91023178],[ 0.436926   -1.23808718],[4.18023786 5.37499842],[-0.94611805  0.30748055]
[7.29901762 2.1203883 ],[0.20564531 0.49841774],[1.88387777 4.16610057],[0.54429946 0.99935016],[1.52930281 5.44785525],[0.34521786 0.84108729],[4.01316253 5.50700655],[ 0.59134602 -0.98500164],[2.88650008 3.55232136],[-0.7746037  0.5295539],[6.2004316  4.39202876],[-1.15478845  0.3284612 ],[6.02068285 2.91129034],[0.42885142 0.96661392],[3.00933218 1.69197182],[-0.67217061 -0.1241999 ],[5.3718346  8.78541809],[ 0.37926834 -1.25915256],[4.08531075 5.40414577],[-0.95281124  0.2748921 ]
[7.31615053 2.17467133],[0.13664003 0.58800877],[1.94059337 4.2650244 ],[0.58882675 0.97819998],[1.56723204 5.53106558],[0.41533274 0.82466793],[4.07148459 5.40857317],[ 0.57482231 -0.98385742],[2.81036173 3.60673572],[-0.75140876  0.55526656],[6.08501995 4.42413134],[-1.15184005  0.31518718],[6.06117777 3.00930317],[0.37832537 0.99052945],[2.94181927 1.6826267 ],[-0.67635796 -0.06044203],[5.40698489 8.65868037],[ 0.32361922 -1.27532053],[3.99027973 5.43055347],[-0.94834675  0.25274727]
[7.32674158 2.23858468],[0.07166721 0.68708298],[2.00119526 4.36135296],[0.62268607 0.94834296],[1.61223795 5.61255479],[0.48209681 0.80215387],[4.12805188 5.31019228],[ 0.55754039 -0.98259181],[2.73640074 3.66350049],[-0.7226919   0.58493397],[5.97007671 4.45509657],[-1.14553857  0.30574181],[6.09663399 3.10962032],[0.32885406 1.01339302],[2.87389217 1.67982665],[-0.68111801  0.00589559],[5.43656328 8.53043446],[ 0.26860836 -1.28862155],[3.89556025 5.45460819],[-0.9465702   0.22777642]
[7.33008263 2.31173265],[-0.00382554  0.77636614],[2.06523236 4.45485928],[0.65660431 0.92076872],[1.66403016 5.69180184],[0.5528773  0.78171745],[4.18302974 5.21210885],[ 0.54255482 -0.97846429],[2.66569676 3.72355557],[-0.69338591  0.61392617],[5.85556076 4.48493977],[-1.14382842  0.29199183],[6.12688015 3.211853  ],[0.27643357 1.03119527],[2.80577787 1.68409166],[-0.68362665  0.07726438],[5.46083957 8.4011323 ],[ 0.21544344 -1.29863668],[3.80083753 5.4759498 ],[-0.94764342  0.19918842]
[7.32582588 2.39355332],[-0.08098175  0.85884638],[2.13249672 4.54555253],[0.68770305 0.89256425],[1.72263709 5.76866901],[0.61988318 0.75620171],[4.236523   5.11447253],[ 0.52592486 -0.9755343 ],[2.59760041 3.78610657],[-0.66551872  0.63984262],[5.74128595 4.51346628],[-1.14149681  0.27869392],[6.15216534 3.31601079],[0.22564699 1.04774939],[2.73718074 1.6953503 ],[-0.68560044  0.15076567],[5.48029345 8.27135964],[ 0.17385834 -1.29689031],[3.7061854  5.49457072],[-0.94578377  0.17280055]
[7.31383152 2.48308939],[-0.15997771  0.9284904 ],[2.20293256 4.63359614],[0.72071632 0.86839263],[1.78771829 5.84273278],[0.68093064 0.72439019],[4.28840444 5.01721426],[ 0.50965809 -0.97164354],[2.5323619  3.85123705],[-0.6382339   0.66350171],[5.62752832 4.54096476],[-1.13642239  0.26861814],[6.17201181 3.42135748],[0.17369173 1.06101506],[2.66874785 1.71437408],[-0.68300273  0.22975381],[5.49523807 8.14138977],[ 0.12658304 -1.30082574],[3.61156526 5.51036201],[-0.94666672  0.14276962]
[7.2938522  2.57877746],[-0.23899742  0.98288041],[2.27653437 4.71918889],[0.74757758 0.84016902],[1.85855848 5.91329427],[0.73712027 0.68835089],[4.33880048 4.92051177],[ 0.49772115 -0.96298721],[2.47023041 3.91902395],[-0.60477953  0.69154752],[5.51401106 4.5671828 ],[-1.13416508  0.25549188],[6.18725532 3.5284331 ],[0.13015286 1.07863505],[2.60060269 1.74130776],[-0.67855777  0.30998135],[5.50559779 8.01120879],[ 0.08350257 -1.29997942],[3.51744606 5.52371173],[-0.93673388  0.12336687]
[7.26600601 2.67906243],[-0.31519837  1.02230095],[2.35271875 4.80197346],[0.77706197 0.81690598],[1.93536021 5.98066391],[0.7970673  0.65765343],[4.38793298 4.82461059],[ 0.48363662 -0.95625434],[2.41163778 3.98971149],[-0.5668957   0.72203716],[5.40105679 4.59244026],[-1.12554354  0.24926934],[6.19736292 3.63632024],[0.07206479 1.07892296],[2.53355417 1.77683019],[-0.66396658  0.39837916],[5.5120603  7.88147776],[ 0.04465704 -1.29596831],[3.42391487 5.53472286],[-0.9348195   0.09579123]
[7.23080634 2.7826131 ],[-0.38914633  1.04518253],[2.43151484 4.88221056],[0.80038766 0.78981047],[2.01737985 6.04430318],[0.8441376  0.61647501],[4.43565449 4.72940629],[ 0.47306569 -0.94554886],[2.35685049 4.06335424],[-0.53006143  0.74924219],[5.28875046 4.61690344],[-1.11969084  0.24092371],[6.20167877 3.74418227],[0.01642207 1.08010803],[2.46779894 1.82084225],[-0.64894529  0.48313324],[5.51471111 7.75219567],[ 0.00824368 -1.29004062],[3.33103146 5.54341467],[-0.92370288  0.07724971]
