[9.80682351 8.68420365],[2.37420755 4.89637922],[8.8384686  0.53456428],[0.53236149 0.28022668],[9.72639777 1.541832  ],[ 4.20219175 -0.65036384],[6.30527199 5.76884415],[-0.61174967  0.1984429 ],[3.59454988 9.85288023],[-3.86534636 -3.80478218],[3.74133228 6.91538585],[ 2.37930528 -4.78807838],[2.91409054 5.77845794],[-2.75705808  0.28149095],[0.77415227 6.0650199 ],[ 4.84264921 -0.3625419 ],[6.12219371 0.27577999],[-0.65215288 -4.7431457 ],[1.67788985 7.44680014],[2.88764621 2.14326259]
[8.3886498  9.41655019],[-1.09922846 -0.82863014],[8.06914024 3.28880348],[-0.7866013   1.01222126],[10.13919094  3.35286712],[-1.00873876  0.91877776],[4.03950604 5.88016786],[-0.82792148 -0.1935624 ],[3.28116201 6.59354315],[ 0.60981407 -1.07211951],[5.5961312  4.27638331],[ 0.71742156 -0.65776759],[1.65118147 5.52275637],[ 0.8057705  -0.46744699],[4.34188023 5.58113008],[ 1.14255506 -0.2221585 ],[5.00591717 0.32627339],[-0.29686645  1.32734138],[4.85230014 7.36412143],[ 0.97270167 -0.69580065]
[8.28051998 9.3326013 ],[-1.06861063 -0.85473412],[7.98969163 3.38893989],[-0.80043229  0.99224232],[10.03663794  3.44271207],[-1.03607813  0.88384763],[3.95780062 5.85999031],[-0.80894546 -0.21299504],[3.3432955  6.48728817],[ 0.63265386 -1.05279676],[5.66823626 4.21179545],[ 0.72058769 -0.63804245],[1.73669128 5.47521352],[ 0.90346244 -0.47990762],[4.45531636 5.5584649 ],[ 1.12814573 -0.229371  ],[4.9781115  0.45933739],[-0.26021698  1.33298531],[4.94843195 7.29341609],[ 0.94721049 -0.72078765]
[8.1751144  9.24591764],[-1.0426585  -0.88137707],[7.90906348 3.48722317],[-0.8099758   0.97536602],[9.93182596 3.52940113],[-1.0610965   0.84857755],[3.87776928 5.83754789],[-0.78893094 -0.23335887],[3.40761523 6.38296299],[ 0.65320511 -1.03394133],[5.74083549 4.14937728],[ 0.72829867 -0.61335745],[1.83140911 5.4272077 ],[ 0.98638107 -0.48019585],[4.56769119 5.53543753],[ 1.12037486 -0.23014659],[4.95395456 0.59290946],[-0.22543195  1.3359642 ],[5.04184209 7.2201109 ],[ 0.92042227 -0.74564643]
[8.07203229 9.15648093],[-1.01644361 -0.90416448],[7.82761691 3.58389283],[-0.82209633  0.95478788],[9.82498171 3.61292017],[-1.07821619  0.81910833],[3.79967445 5.81291434],[-0.77348864 -0.26025274],[3.47427678 6.28088032],[ 0.67921685 -1.00836827],[5.81385264 4.08909666],[ 0.72969042 -0.59456572],[1.93353755 5.3795823 ],[ 1.05468865 -0.46968412],[4.67930013 5.51236071],[ 1.11407721 -0.22896423],[4.9329024  0.72643229],[-0.19691944  1.33341523],[5.13252474 7.14434199],[ 0.89411379 -0.76860022]
[7.97133528 9.06470438],[-0.99495991 -0.9282539 ],[7.74533593 3.67884079],[-0.8231884  0.944335 ],[9.71648779 3.69347351],[-1.09255701  0.79083387],[3.72337746 5.78571772],[-0.75190099 -0.28344281],[3.54308904 6.18096458],[ 0.69672276 -0.98999618],[5.88707324 4.03077812],[ 0.73623396 -0.57022553],[2.04162883 5.333283  ],[ 1.10399126 -0.45617314],[4.78983144 5.48895199],[ 1.09976384 -0.2360861 ],[4.91454722 0.85961027],[-0.17032829  1.33021356],[5.22066358 7.06643855],[ 0.8683405  -0.78955966]
[7.87283578 8.97072633],[-0.9728284  -0.94855252],[7.66278398 3.77253296],[-0.82842877  0.92880675],[9.60662914 3.771203  ],[-1.10254428  0.76574618],[3.64943921 5.75629269],[-0.72730655 -0.30582474],[3.61372386 6.08303155],[ 0.71676458 -0.96773364],[5.96078844 3.97476181],[ 0.73786607 -0.5502446 ],[2.15351093 5.28804933],[ 1.13151382 -0.44843403],[4.89918151 5.46506227],[ 1.08768949 -0.24144451],[4.89902412 0.99266015],[-0.14085032  1.33000647],[5.30624719 6.9865294 ],[ 0.84633185 -0.8053984 ]
[7.77658317 8.8749014 ],[-0.95178119 -0.96699514],[7.57947674 3.86440963],[-0.83444043  0.91191392],[9.49590749 3.84653191],[-1.11464213  0.73791847],[3.57758509 5.72412291],[-0.70763822 -0.3359116 ],[3.68572651 5.98675279],[ 0.72480525 -0.95602745],[6.03445761 3.9205545 ],[ 0.73342658 -0.53598605],[2.268032   5.24408504],[ 1.15686286 -0.43112228],[5.00759731 5.44090382],[ 1.07919232 -0.24309857],[4.88616077 1.12540772],[-0.11878968  1.32282817],[5.38948606 6.90495832],[ 0.81994368 -0.82433456]
[7.68255797 8.77749139],[-0.93087128 -0.98288033],[7.49609819 3.95509235],[-0.83425054  0.90052495],[9.3838241  3.91886529],[-1.1269577   0.70856676],[3.50782957 5.68892198],[-0.68671329 -0.36782699],[3.75891878 5.89209736],[ 0.73925644 -0.93672497],[6.10790135 3.86800384],[ 0.73632927 -0.51407576],[2.38459465 5.20182758],[ 1.17330427 -0.41395751],[5.11522233 5.41665582],[ 1.07240765 -0.24262199],[4.87558246 1.25758511],[-0.09314112  1.32025487],[5.47030784 6.82177359],[ 0.79583575 -0.83983963]
[7.59039614 8.67839333],[-0.91082534 -0.9971084 ],[7.41228185 4.04415264],[-0.84023836  0.8824537 ],[9.27077905 3.9884817 ],[-1.12959092  0.68822591],[3.44055357 5.6507596 ],[-0.65638958 -0.39345993],[3.83334988 5.79921084],[ 0.75011565 -0.92010081],[6.18148651 3.8175231 ],[ 0.73608751 -0.49477025],[2.50308315 5.1619342 ],[ 1.19340269 -0.38585733],[5.22187907 5.39217472],[ 1.06049257 -0.24727057],[4.86736293 1.38929525],[-0.07352925  1.31204378],[5.54868887 6.73706244],[ 0.77308533 -0.85292685]
[7.50033756 8.57808554],[-0.89075745 -1.0090686 ],[7.32783091 4.13134697],[-0.84612658  0.86402005],[9.15758325 4.05619926],[-1.13513405  0.66528616],[3.37648658 5.61006178],[-0.6288291  -0.42487835],[3.90894143 5.70810249],[ 0.76285379 -0.90080807],[6.25508985 3.76904006],[ 0.73641607 -0.47437225],[2.62279724 5.12432576],[ 1.20056672 -0.36611523],[5.32706631 5.36690682],[ 1.04501439 -0.25647324],[4.86109151 1.52024487],[-0.05052025  1.30832967],[5.62452851 6.65082682],[ 0.74429725 -0.87102636]
[7.41229162 8.4766924 ],[-0.86996168 -1.01826252],[7.24289306 4.21677572],[-0.85150655  0.84561143],[9.04376384 4.12152271],[-1.14028265  0.6421187 ],[3.31488006 5.56574395],[-0.5989275  -0.45763783],[3.98583562 5.61898425],[ 0.77292932 -0.88355195],[6.32862613 3.72252363],[ 0.73365888 -0.45654175],[2.74307041 5.08865276],[ 1.20941841 -0.34227745],[5.43119458 5.34119627],[ 1.03565684 -0.25959601],[4.85692919 1.65062355],[-0.03230393  1.3000514 ],[5.69795374 6.56329388],[ 0.72458272 -0.8791504 ]
[7.3264736  8.37461698],[-0.84445166 -1.02106521],[7.1574577 4.3003798],[-0.85612433  0.8274794 ],[8.92964979 4.18474379],[-1.14374763  0.62046227],[3.25673815 5.51844706],[-0.56182759 -0.48675656],[4.06364599 5.53153605],[ 0.78486977 -0.86373357],[6.40215013 3.67808104],[ 0.73799754 -0.4310016 ],[2.86423974 5.05553389],[ 1.21303599 -0.32074142],[5.53422179 5.31500904],[ 1.02369399 -0.26542851],[4.85465165 1.7802806 ],[-0.0126912   1.29368383],[5.76893305 6.47451695],[ 0.69916031 -0.89209787]
[7.24308469 8.27220213],[-0.8261314  -1.02974909],[7.07176954 4.3823561 ],[-0.85777245  0.8118463 ],[8.81515693 4.24574326],[-1.14796397  0.5976172 ],[3.20217408 5.46791952],[-0.527529   -0.52244732],[4.14270135 5.44614785],[ 0.79675614 -0.84343545],[6.4758464  3.63597331],[ 0.73612595 -0.41087563],[2.98545309 5.02428947],[ 1.21220837 -0.30319625],[5.63613865 5.28831315],[ 1.01774465 -0.26533145],[4.8542245  1.90920236],[0.00433371 1.28510317],[5.83783271 6.38493909],[ 0.67653051 -0.90164097]
[7.16172124 8.1691843 ],[-0.80211476 -1.03139559],[6.98583948 4.4626687 ],[-0.86056148  0.7946081 ],[8.70047776 4.30467565],[-1.14569986  0.58107065],[3.15183702 5.41442387],[-0.48249029 -0.55134003],[4.22280974 5.36268112],[ 0.80434113 -0.82688279],[6.54963557 3.59619383],[ 0.73874468 -0.38544026],[3.1063009 4.9944968],[ 1.20533766 -0.29226895],[5.73757392 5.26179666],[ 1.00786731 -0.26806846],[4.85512011 2.03696188],[0.01700727 1.27372381],[5.90424302 6.2942206 ],[ 0.649232   -0.91500534]
[7.08238198 8.06568143],[-0.78327274 -1.03705852],[6.89980598 4.54141055],[-0.86155746  0.77872426],[8.58596046 4.36190715],[-1.14614214  0.56207772],[3.10574115 5.3575739 ],[-0.43992006 -0.58674403],[4.30344448 5.28066547],[ 0.81040523 -0.81130488],[6.62367892 3.55900154],[ 0.74241734 -0.35793348],[3.22690982 4.96622901],[ 1.20259622 -0.27730322],[5.83772957 5.23469717],[ 0.99791541 -0.27133093],[4.85755337 2.16388371],[0.03417479 1.26710671],[5.9680835  6.20237446],[ 0.62967867 -0.91979656]
[7.0048041  7.96154953],[-0.76671457 -1.04379153],[6.81353216 4.6183997 ],[-0.86307863  0.76182764],[8.47112991 4.41693774],[-1.15008194  0.53878801],[3.06409192 5.29717179],[-0.39489423 -0.62369305],[4.38489982 5.20044573],[ 0.81880587 -0.79291955],[6.69812596 3.52466263],[ 0.74273129 -0.33254661],[3.34721176 4.93940909],[ 1.20415298 -0.25825066],[5.93683856 5.20722418],[ 0.98428085 -0.2782451 ],[4.86157825 2.29000213],[0.04706997 1.25624231],[6.03003752 6.11012936],[ 0.60916296 -0.9252859 ]
[6.9289747  7.85689025],[-0.74969058 -1.04899174],[6.72733205 4.69390428],[-0.86245731  0.74667214],[8.35596518 4.46965601],[-1.15291389  0.51577304],[3.0269847  5.23292803],[-0.3458046  -0.66027771],[4.46704458 5.12193606],[ 0.82360427 -0.77770306],[6.77235071 3.49264533],[ 0.74303693 -0.30636572],[3.46746673 4.91433064],[ 1.19928779 -0.24510117],[6.03468286 5.17913608],[ 0.97183045 -0.28429726],[4.86677277 2.41496933],[0.05890472 1.24527132],[6.08945928 6.0168924 ],[ 0.58094074 -0.93761838]
[6.85474226 7.75165848],[-0.73739367 -1.05784112],[6.64101332 4.76768778],[-0.86189159  0.73097122],[8.24033438 4.51983527],[-1.15777638  0.4896014 ],[2.99481065 5.16487827],[-0.29618215 -0.69963213],[4.54979985 5.04509915],[ 0.82694173 -0.76354956],[6.84638903 3.46307872],[ 0.73781716 -0.28477846],[3.58692093 4.89018696],[ 1.1892737  -0.23854373],[6.13134395 5.15049612],[ 0.95982942 -0.29002948],[4.87337007 2.53907012],[0.07480056 1.2382657 ],[6.14609119 5.92250594],[ 0.55264282 -0.94898146]
[6.78165344 7.64553305],[-0.72171271 -1.06187719],[6.55491352 4.84004595],[-0.86238454  0.7138238 ],[8.12452408 4.56766652],[-1.15586009  0.46967566],[2.96812835 5.09327452],[-0.23749792 -0.73283357],[4.63259738 4.96939962],[ 0.82826951 -0.75114904],[6.92017059 3.43598447],[ 0.73563452 -0.25917754],[3.70582289 4.86710599],[ 1.18748114 -0.22434202],[6.22683937 5.12131801],[ 0.94778524 -0.29587213],[4.8816806  2.66253952],[0.09016708 1.22982498],[6.2001695  5.82730199],[ 0.53110254 -0.95289055]
[6.71060406 7.53949078],[-0.69937192 -1.05900341],[6.46890776 4.91080651],[-0.85829281  0.70080785],[8.00923874 4.61387586],[-1.15246039  0.45201479],[2.94744705 5.01835887],[-0.17637791 -0.76593663],[4.71561914 4.89504463],[ 0.83346611 -0.73461176],[6.99359098 3.41135113],[ 0.7355885  -0.23044514],[3.82436259 4.84526662],[ 1.18216337 -0.21367644],[6.32093158 5.09133701],[ 0.93347397 -0.30438384],[4.89157906 2.78519963],[0.10801348 1.22340848],[6.25236969 5.73197921],[ 0.50910199 -0.9573128 ]
[6.64179634 7.43373819],[-0.67998673 -1.05916813],[6.38317988 4.98011545],[-0.85487262  0.68670368],[7.89438227 4.65841637],[-1.14476016  0.43894205],[2.93311101 4.94028671],[-0.11029093 -0.79551744],[4.79948463 4.82268761],[ 0.84415061 -0.71214754],[7.06696532 3.38962384],[ 0.73258839 -0.20324285],[3.94232517 4.82441839],[ 1.17734086 -0.20304494],[6.41365028 5.06054192],[ 0.92167677 -0.31065946],[4.90284448 2.9067892 ],[0.11795084 1.20928156],[6.30191328 5.63580292],[ 0.48459302 -0.96328551]
