[4.7768843  5.93248492],[-0.65694894  0.65310095],[6.77842628 4.41183076],[0.85939685 0.01555854],[6.54291199 5.06457753],[-0.82831603 -0.7542346 ],[7.94151934 6.07991581],[0.26175747 0.24910841],[3.46440076 4.02506787],[0.20086848 1.13773485],[6.63709828 7.58194369],[-0.47793671  0.38821172],[2.32386352 5.46923545],[ 0.88124728 -0.84534066],[4.9257137  2.01952289],[-0.88932932  0.42344628],[6.85934175 5.12470885],[0.65906935 0.60697825],[4.10712304 5.96696409],[1.07338662 0.32210127]
[4.71162774 5.99737693],[-0.65046991  0.64241566],[6.86408493 4.41467472],[0.85275725 0.04059153],[6.45955473 4.99003883],[-0.83749667 -0.73532555],[7.96584523 6.10497819],[0.22174295 0.24972412],[3.48679908 4.13852938],[0.244977   1.12936807],[6.58611484 7.61869399],[-0.5420154   0.34589762],[2.41367404 5.38644406],[ 0.91304278 -0.81162734],[4.83754686 2.06597713],[-0.87414227  0.50388828],[6.92427097 5.18623044],[0.63955668 0.62364212],[4.21465535 5.99770578],[1.07533148 0.29120842]
[4.64675799 6.06092325],[-0.6486867   0.62671133],[6.94866846 4.41971139],[0.83835618 0.05975463],[6.37561655 4.91770679],[-0.84203165 -0.71214749],[7.98539793 6.12953144],[0.16552424 0.23823731],[3.51334739 4.25089758],[0.28443436 1.11659202],[6.52889181 7.65118369],[-0.60418366  0.30137218],[2.50651721 5.30709942],[ 0.94355437 -0.77485877],[4.75128478 2.12038262],[-0.85496644  0.578628  ],[6.98713795 5.24936193],[0.61644857 0.63779789],[4.3226281  6.02572038],[1.08281669 0.26839823]
[4.58195629 6.12277135],[-0.64239765  0.61516364],[7.03185109 4.42677844],[0.82623775 0.08284965],[6.29100013 4.84745136],[-0.8503821  -0.69314023],[7.99960678 6.15344058],[0.11826628 0.24030382],[3.54373073 4.36191275],[0.32286051 1.1034518 ],[6.46534889 7.67885778],[-0.66361206  0.25419643],[2.6022249  5.23143571],[ 0.97162262 -0.73682499],[4.66693128 2.1817344 ],[-0.83066005  0.64809947],[7.04743997 5.31371065],[0.58829591 0.64804472],[4.4312291  6.05150385],[1.08538419 0.24387506]
[4.5181239  6.18378981],[-0.63349846  0.60592661],[7.11368172 4.4361189 ],[0.81051424 0.10432272],[6.20549286 4.77901942],[-0.85790304 -0.67372229],[8.00861066 6.17732473],[0.06441066 0.24079466],[3.57788878 4.471568  ],[0.35942198 1.08895903],[6.39623504 7.70188765],[-0.71850662  0.20548053],[2.70012037 5.15910748],[ 0.98845062 -0.70715204],[4.58561572 2.25014045],[-0.79457059  0.71948363],[7.10511376 5.37933094],[0.56211277 0.66145884],[4.5398817  6.07474067],[1.08562285 0.2191647 ]
[4.45526059 6.24394827],[-0.62269477  0.59828464],[7.19411587 4.447887  ],[0.79715311 0.13034682],[6.11943248 4.71271465],[-0.86262339 -0.65171768],[8.01225061 6.20154621],[0.00413615 0.24025501],[3.61579863 4.57989359],[0.3980465  1.07686964],[6.32180665 7.71987813],[-0.7689473   0.15430695],[2.80015737 5.09033769],[ 1.00966553 -0.67045194],[4.50807529 2.32537241],[-0.75798459  0.78180226],[7.16002684 5.44621423],[0.53612502 0.67634077],[4.64819566 6.09522081],[1.08111485 0.19113727]
[4.39333289 6.3031819 ],[-0.61379164  0.58841883],[7.27285631 4.46201002],[0.77582362 0.15052683],[6.03314066 4.648851  ],[-0.86123998 -0.62356641],[8.00951449 6.22565102],[-0.05827925  0.24331806],[3.6572138 4.6866792],[0.43108132 1.05986576],[6.24255423 7.73260803],[-0.81586394  0.09926566],[2.90193112 5.02496216],[ 1.02605372 -0.63649224],[4.4342672  2.40644567],[-0.7203688   0.83599152],[7.21261032 5.51491172],[0.51180156 0.69401098],[4.75623064 6.11315242],[1.07842979 0.1666476 ]
[4.33251223 6.36162931],[-0.60138596  0.58172738],[7.34949307 4.47826948],[0.75965721 0.17782861],[5.94697132 4.58780465],[-0.86090279 -0.59607335],[8.00016    6.24997625],[-0.12819973  0.24469661],[3.70153259 4.79143332],[0.45549775 1.03575397],[6.15885248 7.73968404],[-0.85454     0.04464889],[3.00533934 4.96307605],[ 1.04087465 -0.6021417 ],[4.36444239 2.49273517],[-0.67469845  0.88985076],[7.26222016 5.5848988 ],[0.48106679 0.70660211],[4.86391429 6.12864168],[1.07259997 0.1407146 ]
[4.27332788 6.41978687],[-0.5834574   0.58022864],[7.42446017 4.49734818],[0.73919509 0.20365029],[5.86068667 4.52937676],[-0.8636119 -0.5713069],[7.98357689 6.27448824],[-0.20449527  0.24533947],[3.74866224 4.8942233 ],[0.49106422 1.02407886],[6.07140319 7.74103966],[-0.89075284 -0.0151125 ],[3.11036022 4.90485196],[ 1.05947605 -0.56203714],[4.29939203 2.58421765],[-0.62519412  0.93965481],[7.30874042 5.65620001],[0.45164626 0.72185815],[4.97099999 6.14158117],[1.0683165  0.11760708]
[4.21534905 6.47718896],[-0.57611614  0.56777093],[7.49766659 4.51944307],[0.72108798 0.23489246],[5.77420265 4.47351236],[-0.86620876 -0.54609402],[7.95893556 6.29889458],[-0.29106063  0.2407282 ],[3.79906786 4.99557258],[0.51800553 1.0041337 ],[5.9810693  7.73680239],[-0.91553657 -0.070304  ],[3.216676   4.85015858],[ 1.06866308 -0.52978992],[4.23918154 2.68020856],[-0.57830024  0.97981438],[7.35251633 5.72927672],[0.42230378 0.73824697],[5.07744462 6.15206524],[1.06139841 0.09318381]
