[6.63932807 5.04211339],[ 0.20039994 -1.11292161],[2.6451854  2.10503108],[1.08447108 0.71986759],[2.79287574 3.3262564 ],[-0.48627109  0.5442692 ],[5.70314923 6.74360494],[ 0.05042787 -1.27532714],[3.16866487 6.15086463],[0.17121993 0.56670624],[9.82130057 2.52407831],[-0.35078929  0.84455791],[8.17623521 2.80517953],[-0.87523562 -0.71824238],[9.07871037 4.26094058],[0.12528918 0.52883481],[7.3916346 4.0003404],[-0.94251421  0.67735669],[0.4763739  1.73690133],[0.83254382 1.0062409 ]
[6.65767308 4.93082208],[ 0.16566168 -1.11353512],[2.75385943 2.17706923],[1.08838281 0.72064184],[2.74641106 3.38240052],[-0.44254679  0.57872103],[5.70812378 6.61670215],[ 0.04915437 -1.26286468],[3.18939272 6.20643333],[0.24280234 0.54311552],[9.78070824 2.61064336],[-0.46015769  0.88392215],[8.08671026 2.73565854],[-0.91264403 -0.67004874],[9.08760577 4.31558862],[0.05012613 0.56249964],[7.29675807 4.06671423],[-0.95631146  0.64862476],[0.56253306 1.8361805 ],[0.89189563 0.98163025]
[6.67226111 4.81927942],[ 0.12628161 -1.11686244],[2.86239749 2.24873686],[1.08048571 0.71092503],[2.70497072 3.442513  ],[-0.3886872   0.62058361],[5.71311982 6.49112555],[ 0.05013299 -1.2495003 ],[3.21757942 6.25960394],[0.32254995 0.5208454 ],[9.72950448 2.70033793],[-0.56417155  0.90556166],[7.9936284  2.67101844],[-0.94741219 -0.62167189],[9.0881718  4.37307542],[-0.03898989  0.58783015],[7.20028138 4.12992886],[-0.97053763  0.61817033],[0.65419923 1.93286393],[0.94168913 0.95342843]
[6.68325029 4.70782438],[ 0.09498772 -1.11076091],[2.97009795 2.31940672],[1.07226461 0.70130133],[2.66915398 3.50687951],[-0.3299391   0.66379678],[5.71770916 6.36638133],[ 0.04066486 -1.24622372],[3.25411716 6.31056869],[0.40643715 0.49563974],[9.66857659 2.79164031],[-0.65374187  0.91684543],[7.89736575 2.61138641],[-0.97767605 -0.57127801],[9.07973013 4.43322873],[-0.12608357  0.61933904],[7.10232557 4.18998191],[-0.98696889  0.58428617],[0.75068715 2.02688993],[0.98701373 0.92720412]
[6.69108963 4.59697497],[ 0.0643397  -1.10364406],[3.07725714 2.38943123],[1.06873502 0.69720812],[2.63899944 3.57515404],[-0.27169847  0.70241017],[5.72153743 6.24221508],[ 0.03683635 -1.23614561],[3.29912154 6.35875692],[0.49096636 0.46453297],[9.5990278  2.88318978],[-0.73486066  0.91265686],[7.79815504 2.55674056],[-1.00529331 -0.52091364],[9.06250519 4.4965439 ],[-0.22062642  0.64469951],[7.00327752 4.24714442],[-0.98991764  0.56308565],[0.85110218 2.1180161 ],[1.02087532 0.89604596]
[6.69623016 4.48717797],[ 0.03453447 -1.09607903],[3.18387342 2.45890562],[1.06246764 0.69123456],[2.6151458  3.64752377],[-0.2058017   0.74363502],[5.72501323 6.11907927],[ 0.0337086  -1.22555446],[3.35226427 6.40323057],[0.57139179 0.42373777],[9.5222891 2.974147 ],[-0.80195553  0.90112175],[7.69634718 2.50716629],[-1.03088618 -0.47124047],[9.0351234  4.56166471],[-0.32600134  0.65815099],[6.90405527 4.30232395],[-0.99454556  0.54042509],[0.95450972 2.20594764],[1.04834236 0.86468047]
[6.69831118 4.37810235],[ 0.00395365 -1.08859119],[3.28989313 2.52784774],[1.05770806 0.68757197],[2.59786844 3.72372069],[-0.14202431  0.77709834],[5.72803699 5.99685316],[ 0.02293392 -1.22234392],[3.41363832 6.4435923 ],[0.65462617 0.38163889],[9.43906242 3.06325773],[-0.8614485  0.8795309],[7.59212531 2.46255249],[-1.05244604 -0.42053181],[8.99755675 4.62827462],[-0.42630319  0.67177777],[6.80458396 4.35544593],[-0.99623638  0.52069386],[1.06070276 2.29108525],[1.07426559 0.83780446]
[6.69710115 4.26960172],[-0.02585889 -1.07904103],[3.39538388 2.59641723],[1.05207645 0.6839388 ],[2.58724671 3.80325239],[-0.07031633  0.81256663],[5.73006279 5.87512622],[ 0.01679078 -1.21302307],[3.48333787 6.4796298 ],[0.73686714 0.33666612],[9.35030723 3.1498918 ],[-0.91248617  0.85220699],[7.48607552 2.42320728],[-1.06839697 -0.36675785],[8.94985675 4.69573304],[-0.52853466  0.67469206],[6.70468493 4.40632012],[-1.00242085  0.49608153],[1.16904673 2.37337348],[1.09324307 0.8094638 ]
[6.69321576 4.16236335],[-0.05211069 -1.06598981],[3.50030813 2.66466519],[1.04505348 0.67977205],[2.58389345 3.88608825],[-3.53472832e-04  8.39613816e-01],[5.73164065 5.75449346],[ 0.01322811 -1.20137059],[3.56086296 6.51078355],[0.8105557  0.28375463],[9.25694382 3.23371168],[-0.95417657  0.82316863],[7.37872941 2.38943035],[-1.08019339 -0.31086074],[8.89189122 4.76285825],[-0.62748384  0.66871314],[6.60413983 4.45466692],[-1.00662605  0.47266902],[1.27930943 2.45310785],[1.11103569 0.78515634]
[6.68652974 4.05628219],[-0.07866135 -1.05278252],[3.60422375 2.73220849],[1.0346418  0.67252272],[2.58772002 3.9715046 ],[0.077893   0.86851476],[5.73255841 5.63471674],[ 0.0017551  -1.19711396],[3.6453839  6.53640399],[0.87626904 0.2259112 ],[9.15966194 3.31443563],[-0.98922148  0.79231458],[7.27015225 2.36107342],[-1.09106981 -0.25649472],[8.82470817 4.82933178],[-0.71726547  0.6569467 ],[6.50351019 4.50100566],[-1.00662287  0.4534611 ],[1.39120904 2.53051865],[1.12495822 0.76183422]
