[0.82113415 5.0129618 ],[ 1.57009383 -0.75097662],[9.15398839 5.04200827],[0.06496552 3.62115319],[6.585984   1.60629904],[-4.66983396  2.75480697],[3.88198071 8.11174173],[3.86432015 4.12859546],[0.25259968 6.12817468],[-0.8745922  -4.58694872],[2.96238863 4.02686538],[-4.02087614 -3.88262156],[3.23784477 5.53939166],[4.43408702 1.28483348],[5.01961089 0.78891249],[ 4.00091191 -3.90400225],[8.88131088 6.63111236],[-4.44427075 -0.53974332],[9.15655087 7.57093188],[3.52616585 0.82705651]
[3.61028682 4.44831102],[ 1.20095318 -0.02009035],[7.55121386 6.96717752],[-1.17191065  0.12563081],[4.60054569 3.75360861],[-0.40987636  1.04070342],[6.15017344 8.40730419],[ 0.76153111 -0.88504202],[1.71693996 3.92274079],[ 1.25004903 -0.31445304],[2.12159841 2.40973998],[ 0.65071627 -0.35413754],[5.95398606 5.84965378],[ 0.98388072 -0.15486247],[7.01690735 1.02221971],[0.3920437  1.18188938],[5.97960593 5.84847433],[-1.02463159 -0.47427154],[10.09976123  6.74304229],[-0.78077938 -0.99478954]
[3.73019662 4.44710423],[ 1.19672827 -0.0046032 ],[7.43388491 6.97710521],[-1.17487909  0.07254195],[4.56123083 3.8578941 ],[-0.37635608  1.04490091],[6.22409824 8.31619962],[ 0.7165983  -0.93605339],[1.84248331 3.89360019],[ 1.25833696 -0.27100009],[2.19243146 2.37697301],[ 0.76340242 -0.30159294],[6.05158846 5.83277931],[ 0.97097542 -0.17979606],[7.05302774 1.1418112 ],[0.33176872 1.20971016],[5.87765712 5.80026844],[-1.01114218 -0.48669903],[10.0187781  6.644747 ],[-0.83811875 -0.97114626]
[3.84970766 4.44747441],[1.19423372 0.01293273],[7.31610637 6.98147894],[-1.18022963  0.01494075],[4.52510543 3.96239772],[-0.34484333  1.04633636],[6.29336303 8.22021553],[ 0.66818929 -0.98294065],[1.96890999 3.86887233],[ 1.26752542 -0.22604829],[2.27378105 2.34938217],[ 0.86295207 -0.248281  ],[6.14797658 5.81350717],[ 0.95837867 -0.203955  ],[7.08327582 1.26386322],[0.27322286 1.22985645],[5.7776462  5.75142001],[-0.99049521 -0.49156677],[9.93234853 6.54887055],[-0.88875337 -0.94559365]
[3.96871018 4.44935754],[1.18455999 0.02334601],[7.19802476 6.98020215],[-1.17934785 -0.03861706],[4.49241198 4.06726462],[-0.30968157  1.05017571],[6.35775546 8.1198546 ],[ 0.61989046 -1.02302115],[2.09603627 3.84845417],[ 1.2719116  -0.18545726],[2.3643594 2.3271809],[ 0.94870329 -0.19281173],[6.24296816 5.7916991 ],[ 0.94430048 -0.22928521],[7.10790148 1.38772465],[0.21895499 1.24556801],[5.67928397 5.70167175],[-0.97489833 -0.50161203],[9.84110186 6.45553251],[-0.9319148  -0.91789147]
[4.08657388 4.45202906],[1.17726719 0.03453332],[7.08032118 6.97380471],[-1.17382476 -0.08830191],[4.46307914 4.17230007],[-0.27827446  1.04920621],[6.41736822 8.01582177],[ 0.57085375 -1.05826308],[2.22331793 3.83177411],[ 1.27460297 -0.14734512],[2.4630625  2.31092295],[ 1.02398726 -0.13086525],[6.33642216 5.76724326],[ 0.92695737 -0.25761238],[7.12724931 1.51288775],[0.1692716  1.25777836],[5.58322553 5.65168524],[-0.95091673 -0.50260416],[9.74615515 6.3653043 ],[-0.96552078 -0.88614495]
[4.20399336 4.45611704],[1.17230704 0.0484808 ],[6.96310826 6.96234583],[-1.16918404 -0.13977734],[4.43669063 4.27702356],[-0.24973686  1.04504869],[6.47223778 7.90867176],[ 0.52666667 -1.08407016],[2.35069615 3.8187169 ],[ 1.27078311 -0.11626825],[2.56859808 2.3010002 ],[ 1.08333587 -0.06843422],[6.42879682 5.74065895],[ 0.91763444 -0.27675331],[7.14181121 1.63906187],[0.1211684  1.26369893],[5.48897848 5.60102044],[-0.93602431 -0.51278815],[9.64810541 6.27823933],[-0.99576253 -0.85638674]
[4.32079702 4.46148497],[1.16445123 0.05954022],[6.84674345 6.94609672],[-1.15807265 -0.18512925],[4.41340134 4.38154382],[-0.21756438  1.04374106],[6.52261197 7.79904394],[ 0.4810582  -1.10776294],[2.47790818 3.80891765],[ 1.27343368 -0.07965621],[2.67956479 2.29755831],[ 1.13391471e+00 -1.90964546e-04],[6.52004414 5.71202624],[ 0.90601321 -0.29701112],[7.1520125  1.76592044],[0.08086389 1.27010216],[5.39602909 5.54910685],[-0.92271884 -0.52538441],[9.54695095 6.19380176],[-1.02627278 -0.83226432]
[4.4366039  4.46771202],[1.15307231 0.06613625],[6.73150156 6.92532817],[-1.14593324 -0.22945081],[4.39316329 4.48572987],[-0.1877302   1.03936686],[6.56842941 7.68720761],[ 0.43530022 -1.128494  ],[2.60505853 3.80245547],[ 1.26975031 -0.04965608],[2.79471612 2.30072257],[1.16357575 0.05936282],[6.61003241 5.68132439],[ 0.89484102 -0.3157462 ],[7.15801156 1.89292719],[0.03849283 1.26854985],[5.30458829 5.49607534],[-0.9055184  -0.53470662],[9.44343409 6.11220963],[-1.04205494 -0.79833076]
[4.55150422 4.47479484],[1.14564332 0.07608307],[6.61739273 6.90002175],[-1.13495613 -0.275245  ],[4.37591546 4.5894527 ],[-0.15855003  1.03365445],[6.6099084  7.57365537],[ 0.39258988 -1.14393108],[2.7320723 3.799193 ],[ 1.26888028 -0.01704933],[2.91199294 2.3093731 ],[1.18449445 0.11732726],[6.69869578 5.6485993 ],[ 0.87828964 -0.33878762],[7.15993664 2.01970549],[0.0022277  1.26821301],[5.21495917 5.44218579],[-0.88861571 -0.54467005],[9.33829085 6.03374892],[-1.06149611 -0.77232066]
[4.66548367 4.48267732],[1.13151248 0.07878061],[6.50464048 6.87040278],[-1.12371454 -0.32080868],[4.36175966 4.69273553],[-0.12686014  1.02949872],[6.64700389 7.4585575 ],[ 0.35108542 -1.15605269],[2.85862231 3.79879338],[1.26171521 0.00825297],[3.03147203 2.32430911],[1.20351948 0.18094441],[6.7851313  5.61300724],[ 0.8513895  -0.37212011],[7.15818669 2.14615301],[-0.03577309  1.26146978],[5.12708265 5.38733648],[-0.86710459 -0.5505062 ],[9.23132793 5.95779048],[-1.07445446 -0.74422141]
[4.77819897 4.49089607],[1.12351888 0.08627637],[6.39299552 6.836156  ],[-1.10695938 -0.36171546],[4.35066061 4.79544286],[-0.09366024  1.02596666],[6.68018643 7.342536  ],[ 0.31097119 -1.16585907],[2.98473179 3.80114325],[1.25926363 0.03762899],[3.1522923 2.3453459],[1.20853095 0.23582885],[6.86942797 5.57464322],[ 0.83324921 -0.39622906],[7.15295396 2.27204102],[-0.06958905  1.25491227],[5.04149112 5.33203273],[-0.8427342  -0.55356592],[9.12303899 5.88442449],[-1.09021189 -0.72276304]
[4.89014014 4.49988654],[1.11641572 0.09464969],[6.28348181 6.79833002],[-1.08437877 -0.39557944],[4.34298755 4.89783061],[-0.05862812  1.0226262 ],[6.70871643 7.22501056],[ 0.26164448 -1.18220357],[3.11027763 3.80609443],[1.25120996 0.06058505],[3.27305584 2.3713994 ],[1.20784941 0.28647997],[6.95156826 5.53356514],[ 0.81150627 -0.42323017],[7.1445069  2.39725964],[-0.098551    1.24954123],[4.95807892 5.27615523],[-0.82541676 -0.56397502],[9.0134403  5.81327095],[-1.10061929 -0.69976137]
[5.00157851 4.50994548],[1.1121759  0.10658818],[6.17609108 6.75703584],[-1.06374262 -0.43046686],[4.33867272 4.9996641 ],[-0.02505764  1.01645371],[6.73295278 7.10657629],[ 0.2238168 -1.1856913],[3.23476261 3.81297691],[1.24093282 0.07920328],[3.39351247 2.40233654],[1.19864502 0.32950394],[7.03189007 5.4901988 ],[ 0.79424177 -0.44451774],[7.13316    2.52175621],[-0.1274033   1.24081883],[4.87644989 5.21925221],[-0.80603378 -0.57301748],[8.90312394 5.7445881 ],[-1.10893062 -0.67764737]
[5.11218407 4.52080799],[1.10016642 0.11069254],[6.07080791 6.71233002],[-1.04287185 -0.46447075],[4.33817901 5.10124598],[0.01616517 1.01570567],[6.75338009 6.98777759],[ 0.18468927 -1.1902058 ],[3.35875981 3.82223413],[1.23946929 0.10650134],[3.51247567 2.43690983],[1.18559689 0.36655565],[7.11050998 5.44480017],[ 0.77946776 -0.4618853 ],[7.11879458 2.64512261],[-0.15839887  1.22776089],[4.7970099  5.16166923],[-0.783479   -0.57939529],[8.79203525 5.67801355],[-1.11168947 -0.65302599]
[5.22179983 4.53226324],[1.09297091 0.11921653],[5.96780616 6.66445132],[-1.01965436 -0.49537844],[4.34156483 5.20239008],[0.04978515 1.00526593],[6.76967524 6.86836871],[ 0.14306096 -1.19594982],[3.48209587 3.83370273],[1.22852921 0.1237927 ],[3.63038157 2.47539791],[1.17024291 0.40049015],[7.18753779 5.39763045],[ 0.75991075 -0.48248522],[7.10161315 2.76736522],[-0.18619316  1.21565186],[4.71947908 5.10306754],[-0.76667193 -0.59227516],[8.68076836 5.6138955 ],[-1.11366014 -0.62970504]
[5.33077376 4.54467396],[1.08379565 0.12624569],[5.8668013  6.61317168],[-0.9989391 -0.5286474],[4.34828625 5.30242203],[0.08769088 0.99813437],[6.78244801 6.74903852],[ 0.11449129 -1.18898976],[3.60439987 3.84688413],[1.21690718 0.13891787],[3.74702444 2.51747649],[1.15950471 0.43781808],[7.26234146 5.34819176],[ 0.73461885 -0.50766264],[7.08186019 2.88849234],[-0.2107316   1.20454678],[4.64390556 5.04341429],[-0.74229464 -0.59838219],[8.56915586 5.55185111],[-1.1187493  -0.61184334]
[5.4389273  4.55788233],[1.07584523 0.13460232],[5.76809521 6.55881161],[-0.97450285 -0.55772354],[4.35859267 5.40145166],[0.11978782 0.98370292],[6.79216487 6.63013095],[ 0.07772944 -1.19114276],[3.7253233 3.8612509],[1.2031831  0.14962655],[3.86220515 2.56282985],[1.14244923 0.46725929],[7.33442322 5.29609282],[ 0.70758455 -0.53354032],[7.05947543 3.00824988],[-0.2330478   1.19413527],[4.57060015 4.98294524],[-0.72480469 -0.61211494],[8.45715856 5.49159266],[-1.12157052 -0.59412847]
[5.5459759 4.571603 ],[1.06352121 0.13809017],[5.67188143 6.50162134],[-0.94922371 -0.58535852],[4.37224105 5.49911478],[0.15146366 0.96777654],[6.79861972 6.5114405 ],[ 0.05056868 -1.18375779],[3.84558396 3.87737107],[1.19783332 0.16860365],[3.97589933 2.61126325],[1.13120804 0.50097284],[7.40345501 5.24111808],[ 0.67645913 -0.56234002],[7.03497342 3.12696111],[-0.25485438  1.18184158],[4.49928334 4.92129587],[-0.69965927 -0.61910449],[8.34515971 5.43328128],[-1.1168819  -0.57064359]
[5.65182325 4.58567361],[1.05247343 0.14220102],[5.57820076 6.44170042],[-0.92418278 -0.61271725],[4.38912109 5.59519934],[0.18246632 0.95019062],[6.80199263 6.3931021 ],[ 0.01835084 -1.18160358],[3.96471485 3.89474008],[1.18705726 0.18082733],[4.08809049 2.66262048],[1.11346257 0.52668412],[7.47000221 5.1839667 ],[ 0.6508036  -0.58411348],[7.00820956 3.24427689],[-0.28053788  1.16428742],[4.43054735 4.85897306],[-0.67671432 -0.6291312 ],[8.23315953 5.37677859],[-1.12203347 -0.55874504]
[5.75695896 4.60055492],[1.04719106 0.15254083],[5.48731411 6.37936562],[-0.89716801 -0.63746909],[4.40880235 5.68920889],[0.21274661 0.9314498 ],[6.8023225  6.27516342],[-0.009173   -1.17483768],[4.08290489 3.91342145],[1.1794937  0.19556127],[4.19854549 2.71649304],[1.09660864 0.5513923 ],[7.53373414 5.1244672 ],[ 0.62368139 -0.6057557 ],[6.97900943 3.3599418 ],[-0.30034592  1.15179685],[4.36425763 4.79575138],[-0.65218058 -0.6385372 ],[8.12077341 5.32146585],[-1.12356382 -0.54572276]
[5.86117824 4.61609234],[1.03508547 0.15612245],[5.39881643 6.31425544],[-0.87242534 -0.66430164],[4.43168021 5.78145135],[0.2466787  0.91507187],[6.80008941 6.15804034],[-0.03522203 -1.16760077],[4.20048776 3.9337528 ],[1.1683061  0.20694439],[4.30736113 2.77280062],[1.07911738 0.5738194 ],[7.59462857 5.06276347],[ 0.59483976 -0.62739896],[6.94821941 3.47462733],[-0.3137729   1.14324667],[4.29997227 4.7310884 ],[-0.63134967 -0.65268266],[8.00876225 5.26791907],[-1.11762602 -0.52630214]
[5.96394064 4.63169736],[1.02177492 0.15747092],[5.3124466  6.24611903],[-0.85140255 -0.69480642],[4.45826622 5.87227063],[0.28275368 0.89871931],[6.79531024 6.04166606],[-0.06077573 -1.16046704],[4.31682985 3.95502317],[1.15884304 0.21869115],[4.4143259  2.83115615],[1.05984639 0.59253032],[7.6522557  4.99860355],[ 0.55807641 -0.65509929],[6.91584667 3.58812028],[-0.33135409  1.12879767],[4.23795901 4.6651476 ],[-0.60979747 -0.66714744],[7.89726531 5.2161991 ],[-1.11418186 -0.51017689]
