[4.48116983 5.58989857],[-0.15330015  0.9873479 ],[7.53660702 4.87583156],[-1.18645827  0.43990128],[6.28577005 7.41254844],[-0.86820902 -0.92599688],[5.91171027 0.84227631],[-0.88497454  0.99090277],[2.34658003 7.81745408],[ 0.21116334 -1.25156509],[1.79092495 5.51343474],[ 0.74741809 -0.94415476],[3.66743263 6.60438295],[0.96897926 0.41968784],[2.25700135 3.22021601],[0.51441561 1.13578194],[5.29080449 7.96549218],[ 0.6587286  -0.98915855],[6.9872494  1.10596281],[0.34912947 1.08547459]
[4.46592041 5.68790494],[-0.14807881  0.976316  ],[7.41769067 4.91851382],[-1.1908796   0.41465698],[6.19954754 7.31988019],[-0.8562018  -0.92714923],[5.82503667 0.94284485],[-0.8487619   1.01974098],[2.37001429 7.69287002],[ 0.25553316 -1.24119723],[1.8671778  5.42030361],[ 0.77680986 -0.91861797],[3.76478773 6.64401813],[0.97901573 0.37411845],[2.3096234  3.33264504],[0.53967803 1.1148912 ],[5.35467301 7.86524117],[ 0.61905432 -1.0147874 ],[7.01862201 1.21755914],[0.27716318 1.14289321]
[4.45110383 5.78471347],[-0.14608389  0.96210262],[7.29855831 4.95887651],[-1.19263059  0.39171045],[6.11445275 7.22707196],[-0.84328693 -0.92644814],[5.74182221 1.04599621],[-0.81538603  1.0430137 ],[2.39735879 7.56908201],[ 0.29183246 -1.23312884],[1.94660037 5.33014505],[ 0.81124186 -0.88443466],[3.86312983 6.67914957],[0.98507083 0.32588275],[2.36488391 3.44319802],[0.56640258 1.09734587],[5.41436292 7.76240297],[ 0.57519429 -1.04088885],[7.04263401 1.33407993],[0.20243657 1.18472159]
[4.43654458 5.88017038],[-0.14409466  0.94811087],[7.17950361 4.99720034],[-1.18930173  0.37405228],[6.03046252 7.13419031],[-0.83278459 -0.92729398],[5.66207253 1.15148517],[-0.78090648  1.06514774],[2.42853844 7.44654445],[ 0.33247648 -1.21648883],[2.02906473 5.24316069],[ 0.84040538 -0.85241045],[3.9621835  6.70960999],[0.99462581 0.28227094],[2.42304214 3.55228319],[0.59576759 1.08351328],[5.46977938 7.6572345 ],[ 0.52916542 -1.06592216],[7.05975407 1.45468516],[0.13870458 1.22357052]
[4.42254578 5.97457686],[-0.13803594  0.9377946 ],[7.0605747  5.03356899],[-1.19017774  0.35229599],[5.94763509 7.04137662],[-0.82110385 -0.92620331],[5.58552613 1.25885564],[-0.74727914  1.08475818],[2.46345762 7.3255088 ],[ 0.3647559  -1.20475368],[2.11445503 5.15952957],[ 0.86902671 -0.81814767],[4.06209746 6.73569537],[1.00412227 0.2403157 ],[2.48378028 3.65968912],[0.61881435 1.06475758],[5.52066275 7.54979915],[ 0.48887599 -1.08206167],[7.07012908 1.57813343],[0.07020789 1.24469189]
[4.40888139 6.06767551],[-0.13461997  0.9248089 ],[6.94201341 5.06822353],[-1.18209033  0.34008075],[5.86598972 6.94871924],[-0.81163809 -0.92665487],[5.51233336 1.36809489],[-0.71539117  1.10101723],[2.50156666 7.20579755],[ 0.39666861 -1.18963156],[2.2028902  5.07964028],[ 0.89690877 -0.78200129],[4.16268071 6.75740214],[1.0075598  0.19404522],[2.54672098 3.76520897],[0.64021655 1.04602906],[5.56756789 7.44089834],[ 0.44827203 -1.09665861],[7.07401779 1.70346146],[0.00907497 1.26132128]
[4.39539639 6.15931681],[-0.1330873   0.91006343],[6.82402377 5.10146635],[-1.17584916  0.32683188],[5.78544144 6.85619929],[-0.80222789 -0.9265348 ],[5.44224403 1.47881442],[-0.68854249  1.11111473],[2.54262055 7.08751132],[ 0.42186754 -1.17799382],[2.29384107 5.00321521],[ 0.91963074 -0.74865643],[4.26362283 6.77456584],[1.01212329 0.15043087],[2.6118033  3.86892556],[0.66067463 1.02782521],[5.61076598 7.33095929],[ 0.41347011 -1.10423478],[7.07204171 1.83012135],[-0.04917994  1.26950126]
[4.38256969 6.24996106],[-0.12482464  0.90133282],[6.7068354  5.13361862],[-1.16882969  0.31550056],[5.70576469 6.76365527],[-0.79054481 -0.92348801],[5.37477199 1.5904554 ],[-0.66083558  1.12163159],[2.58641626 6.97076432],[ 0.45318167 -1.15755771],[2.386773   4.92993212],[ 0.94048138 -0.71518032],[4.36508796 6.7875423 ],[1.01697757 0.10937502],[2.6787354  3.97070497],[0.68022273 1.01028555],[5.65017454 7.22001706],[ 0.37557231 -1.11352241],[7.06420474 1.95710236],[-0.10647331  1.26980762]
[4.37046878 6.33959501],[-0.11638934  0.89201631],[6.59043638 5.16477291],[-1.16302874  0.30379674],[5.62727022 6.67145273],[-0.77962624 -0.92075215],[5.3101765  1.70321306],[-0.62991728  1.13448058],[2.63313734 6.85593197],[ 0.47776772 -1.14210486],[2.4818906  4.86020196],[ 0.96000264 -0.68099694],[4.46723065 6.79675307],[1.02259822 0.07211591],[2.74756057 4.07073244],[0.69638661 0.99065099],[5.6860806  7.10847337],[ 0.34072641 -1.11902335],[7.05125698 2.08429466],[-0.15533031  1.26963764]
[4.35902265 6.42807423],[-0.11236153  0.87768634],[6.47406795 5.19416569],[-1.1630145   0.28514466],[5.55003334 6.57970853],[-0.76657591 -0.91552899],[5.24855253 1.81708184],[-0.60212256  1.14328102],[2.68196579 6.74243782],[ 0.49918795 -1.12701132],[2.5789087  4.79392838],[ 0.98049884 -0.64401889],[4.56943308 6.80185549],[1.02015725 0.02897175],[2.81769396 4.16857107],[0.71030518 0.97042556],[5.71803078 6.9959959 ],[ 0.30332086 -1.12538229],[7.03350332 2.21117147],[-0.19917969  1.26713254]
