[1.83887882 5.722916  ],[ 4.10340358 -3.97996271],[8.71759488 8.09842243],[-4.85273135  3.64892489],[3.0184349  9.00276915],[3.48599921 3.80019337],[9.87380212 5.15045648],[ 0.53932626 -1.32529811],[6.06650021 6.38581206],[-4.32817076  1.57111044],[6.01415497 9.52122302],[-0.49137232 -0.58707584],[3.25347454 5.7000647 ],[0.93610691 0.89406406],[6.29918993 1.80230843],[1.91248925 4.75461027],[6.64294011 4.00678545],[-2.18269816 -2.69608812],[9.64270567 1.0226151 ],[-0.51304401 -0.06132824]
[4.44502016 4.56196664],[ 1.17118763 -0.03064004],[6.15515389 8.37208592],[-0.97568442 -0.64250729],[5.45934644 9.24459297],[ 0.93425133 -0.80842627],[8.86187087 3.5052341 ],[-1.18898577 -0.217289  ],[3.81067374 6.86388977],[-0.71860158 -0.1011887 ],[5.34737913 7.22565665],[-0.07261594 -1.17064311],[5.43686479 6.70348966],[1.07413476 0.15931271],[6.82238232 4.63215884],[-0.06483149  1.14549657],[4.7849064  2.93747643],[-0.84328999  0.24215686],[7.70098643 2.56141182],[-0.83143652  1.01715216]
[4.56197377 4.56057308],[ 1.16481476e+00 -2.82868562e-04],[6.05905984 8.30568402],[-0.94504853 -0.68391467],[5.55088998 9.16154044],[ 0.89537546 -0.85295654],[8.74211535 3.48671178],[-1.20510302 -0.1536076 ],[3.73982093 6.85210669],[-0.7018891  -0.13837457],[5.34098802 7.10892579],[-0.05497494 -1.16352147],[5.54382166 6.71792294],[1.06585682 0.1303707 ],[6.81504858 4.74637732],[-0.08306573  1.13741804],[4.7010893  2.96543352],[-0.8322557   0.31704257],[7.61865452 2.66337013],[-0.81577539  1.02137517]
[4.67827609 4.56220687],[1.15959421 0.03133201],[5.96588414 8.23510667],[-0.91636316 -0.72509533],[5.63857031 9.07432036],[ 0.85752092 -0.89135606],[8.6211141  3.47456244],[-1.21669885 -0.09245059],[3.6708228  6.83663614],[-0.67841455 -0.17176219],[5.33639056 6.99300186],[-0.03698267 -1.15494195],[5.64974512 6.72926857],[1.05416177 0.09813847],[6.80582028 4.85967987],[-0.09814781  1.13158903],[4.61865203 3.00095237],[-0.81627367  0.39267828],[7.53799153 2.76583445],[-0.79812086  1.0272008 ]
[4.79382083 4.56676903],[1.15341807 0.06204587],[5.87571485 8.16066549],[-0.88870921 -0.76499195],[5.7224163  8.98344023],[ 0.82225403 -0.92271891],[8.49908531 3.46827445],[-1.22121362 -0.03167193],[3.60388117 6.81738302],[-0.65804873 -0.21144795],[5.33334036 6.87774122],[-0.02593734 -1.15178286],[5.75472718 6.73763829],[1.04477098 0.06867277],[6.7950766 4.9722988],[-0.11750819  1.1199759 ],[4.53778116 3.0437367 ],[-0.79879449  0.46430879],[7.45872357 2.8685008 ],[-0.78813375  1.02522236]
[4.90844663 4.57410891],[1.13788463 0.08325858],[5.78841258 8.0824501 ],[-0.85633783 -0.79783001],[5.80229043 8.88917701],[ 0.77532215 -0.96181377],[8.37648197 3.46761432],[-1.22919895  0.01865501],[3.53898821 6.79399791],[-0.64075194 -0.25782062],[5.33156093 6.76306783],[-0.00834067 -1.14033854],[5.85859215 6.74290251],[1.03042842 0.03448159],[6.78224893 5.08360619],[-0.14009465  1.10514466],[4.45881049 3.09352118],[-0.77947701  0.53130938],[7.38021337 2.97074229],[-0.77867555  1.02300827]
[5.02192668 4.58393496],[1.12954393 0.11114954],[5.70450535 8.0012368 ],[-0.82354558 -0.8276929 ],[5.87798928 8.79170386],[ 0.73680388 -0.98898345],[8.25360773 3.47216382],[-1.22988842  0.06958164],[3.47597611 6.76591912],[-0.61745819 -0.3023225 ],[5.33123245 6.64927234],[ 0.00457384 -1.13259726],[5.96104178 6.7447509 ],[1.01797542 0.00193232],[6.76739196 5.1936559 ],[-0.15841104  1.09433363],[4.38227067 3.15015163],[-0.75083165  0.60053613],[7.30294647 3.07305028],[-0.76783988  1.02196102]
[5.13400462 4.59594751],[1.11462636 0.13153562],[5.62380202 7.91708752],[-0.78755081 -0.85185202],[5.94965043 8.69148275],[ 0.69781688 -1.01359774],[8.13098341 3.4818258 ],[-1.22248191  0.12299391],[3.41582293 6.73372516],[-0.5861877  -0.34272529],[5.33217004 6.53627938],[ 0.0147222  -1.12643227],[6.06251553 6.74363978],[ 1.01446372 -0.020828  ],[6.75053343 5.30243858],[-0.17756826  1.08234097],[4.30897035 3.21370825],[-0.71581303  0.66863033],[7.22720987 3.17568252],[-0.74833861  1.0291466 ]
[5.24466636 4.61003472],[1.09997431 0.15144426],[5.54673341 7.83067656],[-0.75691539 -0.87898935],[6.0177329  8.58923606],[ 0.66181184 -1.03302716],[8.00900739 3.4965012 ],[-1.21561178  0.17104005],[3.35882102 6.69731342],[-0.55542613 -0.38774131],[5.33413486 6.42399055],[ 0.02550519 -1.11819936],[6.16327196 6.73997284],[ 1.00450015 -0.04851349],[6.73174434 5.409976  ],[-0.19726453  1.06931438],[4.2391017  3.28360757],[-0.68103939  0.72850314],[7.15289534 3.27848623],[-0.73897498  1.02596169]
[5.35401286 4.6262429 ],[1.08679222 0.17251367],[5.47283869 7.74178545],[-0.72082619 -0.89825858],[6.08203472 8.48497789],[ 0.6263415  -1.04976416],[7.88800954 3.51605669],[-1.20542292  0.21820227],[3.30492413 6.65620815],[-0.52246637 -0.43497361],[5.33722305 6.3126117 ],[ 0.03279633 -1.11255108],[6.26332955 6.73391412],[ 0.99422005 -0.07484093],[6.7105681  5.51580679],[-0.22197211  1.05164653],[4.17267652 3.3590589 ],[-0.64463991  0.78200996],[7.07970978 3.38116603],[-0.72575269  1.02662086]
[5.46182391 4.64431341],[1.07151836 0.19085032],[5.40214294 7.65067301],[-0.69359864 -0.92399301],[6.14250544 8.37885558],[ 0.58219452 -1.07314738],[7.76804514 3.54012085],[-1.19272694  0.26356694],[3.25453038 6.61036495],[-0.48805011 -0.48518848],[5.34088295 6.2017425 ],[ 0.0404175  -1.10470131],[6.36202861 6.72492455],[ 0.98126829 -0.1033444 ],[6.68736218 5.6202905 ],[-0.24139277  1.03868598],[4.11031908 3.43989346],[-0.60042962  0.83544319],[7.00805574 3.48410398],[-0.70914244  1.03022681]
