[3.82937942 7.1825616 ],[-0.39534599  0.90437102],[4.61346848 7.02513934],[-0.39734997 -0.97828734],[6.67406648 8.18988298],[0.25214712 0.72867187],[9.40746933 9.48819768],[-1.26397133 -0.20809375],[0.18737152 0.7634876 ],[0.70549072 1.32971417],[7.22065915 6.04433981],[-0.06973998 -0.85553637],[ 3.6495889  10.16410364],[-0.83401808 -0.65387981],[ 6.81004484 10.13493873],[ 0.55651245 -0.85407225],[3.49045878 6.46153997],[ 0.40876942 -0.95711838],[0.36398641 3.3581802 ],[1.2579059  0.29777939]
[3.79098171 7.27291359],[-0.3737486   0.90140525],[4.57431448 6.9280096 ],[-0.3875299  -0.96619425],[6.69724016 8.26262082],[0.2097581  0.72468263],[9.27967689 9.46514003],[-1.29123351 -0.2543351 ],[0.25911227 0.89583459],[0.72674818 1.31527889],[7.21046715 5.95889711],[-0.1319263  -0.85064315],[ 3.56802115 10.09511383],[-0.79848959 -0.72690988],[ 6.86277745 10.04576971],[ 0.49539923 -0.92981351],[3.53256825 6.36675356],[ 0.43264973 -0.93919313],[0.49065198 3.39125828],[1.27016156 0.3593928 ]
[3.75441894 7.36261705],[-0.35749908  0.89264555],[4.53608314 6.8319997 ],[-0.37905445 -0.95605962],[6.71605648 8.33490609],[0.16801791 0.72263211],[9.14981078 9.43762082],[-1.30433071 -0.29551627],[0.33262176 1.02655763],[0.74316381 1.2994229 ],[7.19399867 5.87406248],[-0.19587957 -0.84388281],[ 3.4903171  10.01916698],[-0.753772  -0.7898598],[6.90894855 9.94925125],[ 0.42747035 -0.9989318 ],[3.57723627 6.27398142],[ 0.45928826 -0.91755454],[0.61777191 3.42989702],[1.27038937 0.41178292]
[3.71964354 7.45158307],[-0.33750615  0.88716895],[4.4984722  6.73676534],[-0.37446797 -0.9498974 ],[6.73079109 8.40712427],[0.12635962 0.72150426],[9.018891   9.40592616],[-1.31027303 -0.3352526 ],[0.40781913 1.15587828],[0.7581765  1.28486148],[7.17111755 5.79007864],[-0.25960667 -0.8331631 ],[3.41723406 9.93716088],[-0.70855713 -0.85044265],[6.94833588 9.84647023],[ 0.36033424 -1.05468502],[3.62454898 6.18339724],[ 0.48371109 -0.89722869],[0.74475323 3.47367691],[1.26647093 0.46097974]
[3.68656996 7.5396865 ],[-0.32006889  0.87870812],[4.46123719 6.64208049],[-0.37087726 -0.9444541 ],[6.74092023 8.478846  ],[0.07898085 0.71579538],[8.88796069 9.37071362],[-1.30935665 -0.37038511],[0.48406104 1.28344351],[0.76539719 1.26576208],[7.14142599 5.70692112],[-0.33209481 -0.82715369],[3.34868509 9.84924352],[-0.66119775 -0.90605788],[6.98120597 9.73885439],[ 0.29847836 -1.0947212 ],[3.67379451 6.09441312],[ 0.50107089 -0.88229147],[0.87104423 3.52205401],[1.25743555 0.5043713 ]
[3.65560715 7.62726038],[-0.30026886  0.87162462],[4.42450989 6.54809167],[-0.36492472 -0.93658013],[6.74613403 8.54987019],[0.0227658  0.70241807],[8.75738892 9.33219279],[-1.30313719 -0.40126462],[0.56085112 1.40909737],[0.77300439 1.25033778],[7.10485318 5.62493021],[-0.40081365 -0.81356327],[3.28487032 9.75593908],[-0.61551032 -0.95962315],[7.00769636 9.62747108],[ 0.2294124  -1.13341815],[3.72489219 6.00711676],[ 0.52044435 -0.86381309],[0.99621748 3.57446924],[1.24618059 0.54367831]
[3.62670471 7.71416197],[-0.28089338  0.86321201],[4.38850001 6.45500018],[-0.35864648 -0.92859726],[6.74566366 8.61957791],[-0.0330073   0.69103583],[8.62758084 9.29071386],[-1.29298883 -0.42802076],[0.63883773 1.5337172 ],[0.78326962 1.23894378],[7.06114676 5.54422011],[-0.47239772 -0.79922391],[3.22592326 9.6578006 ],[-0.56282128 -1.0017531 ],[7.02715382 9.51252753],[ 0.1615979  -1.16244508],[3.77787998 5.9216883 ],[ 0.53623307 -0.84758781],[1.11981094 3.63022465],[1.22704672 0.57212971]
[3.59947232 7.79993741],[-0.26109972  0.85478652],[4.35295367 6.36255633],[-0.35103147 -0.91910075],[6.73948414 8.68807177],[-0.09058509  0.67893678],[8.49855492 9.24635857],[-1.28802495 -0.45973304],[0.71740842 1.65686284],[0.79038135 1.22649091],[7.01069058 5.46549674],[-0.53912665 -0.77731378],[3.17240009 9.55581534],[-0.51050087 -1.03986878],[7.04002257 9.39518881],[ 0.09817002 -1.18119814],[3.83249827 5.83801007],[ 0.55777599 -0.82418769],[1.24175497 3.68893525],[1.21010524 0.59974924]
[3.57388954 7.8845095 ],[-0.24655238  0.8406347 ],[4.31804864 6.27093195],[-0.34683559 -0.91307715],[6.72691274 8.75477056],[-0.16193022  0.65416219],[8.3703604  9.19916193],[-1.27515628 -0.48319476],[0.79714646 1.77926003],[0.80208037 1.21934184],[6.9535816  5.38909626],[-0.60164869 -0.74914642],[3.12381962 9.44999732],[-0.46134607 -1.07565314],[7.04668577 9.27630638],[ 0.03230331 -1.19833273],[3.88961864 5.75705896],[ 0.58504422 -0.79430328],[1.36205612 3.75030575],[1.1953006  0.62661938]
[3.55048918 7.96834407],[-0.22269587  0.83456575],[4.28368792 6.18004185],[-0.34143419 -0.90574381],[6.70755108 8.81938239],[-0.22670555  0.63658963],[8.24348377 9.14973103],[-1.25923119 -0.50192213],[0.87753457 1.90048507],[0.80525783 1.20508167],[6.89035536 5.315709  ],[-0.66263856 -0.7183218 ],[3.08035102 9.34107773],[-0.40761938 -1.10149438],[7.04689222 9.15606732],[-0.02672881 -1.20466968],[3.94942956 5.6790996 ],[ 0.60762303 -0.76822482],[1.48085855 3.81421888],[1.18250034 0.65301778]
