[4.38183974 4.68697274],[ 0.84016666 -0.74526742],[2.87428098 7.08779422],[ 0.69546453 -1.11395412],[0.5916436  2.12735401],[0.55743618 0.89395347],[4.4009914  4.27927695],[-0.69068024  0.72261774],[6.84728277 5.3490576 ],[-0.7630321   0.74836483],[3.76838402 5.25757186],[ 0.90278931 -0.77592184],[9.05572416 6.24961651],[-0.16556861 -0.93465345],[9.86850586 1.71667983],[-0.6378302   1.16075922],[6.7196527  0.77541826],[-0.62458677  0.61476942],[3.0640283  6.38109642],[-0.27115848  0.51668031]
[4.46571753 4.61304617],[ 0.83817403 -0.73243742],[2.94402957 6.97694706],[ 0.69897321 -1.10335127],[0.65248934 2.21869015],[0.65650234 0.92907946],[4.33295758 4.3517693 ],[-0.67128661  0.72592562],[6.76954272 5.42225065],[-0.79432249  0.71248217],[3.85834778 5.18034859],[ 0.89822792 -0.7667799 ],[9.03412358 6.15350132],[-0.26368491 -0.98286056],[9.80127737 1.83152619],[-0.70588623  1.1347887 ],[6.65467591 0.8418802 ],[-0.66997475  0.71492892],[3.03866143 6.43196681],[-0.23322089  0.50331583]
[4.5491812  4.54020456],[ 0.83042971 -0.72503498],[3.01416179 6.86723312],[ 0.7011342  -1.09331167],[0.72258957 2.31270601],[0.74374541 0.94930412],[4.26710718 4.42482521],[-0.65054159  0.73033678],[6.68882343 5.49186593],[-0.82050926  0.67895595],[3.94807294 5.10427241],[ 0.89588016 -0.75510573],[9.00302012 6.0534423 ],[-0.35978647 -1.01798226],[9.72791061 1.94381425],[-0.76023549  1.11030426],[6.58634637 0.91816786],[-0.69518701  0.80728728],[3.01733994 6.48161306],[-0.19528886  0.48709668]
[4.63214004 4.46838772],[ 0.82580668 -0.71419435],[3.08440274 6.75846249],[ 0.70433015 -1.08137691],[0.8006486  2.40795231],[0.81516944 0.95364881],[4.20296012 4.49793969],[-0.632916    0.73141893],[6.60556807 5.55808082],[-0.84371566  0.64583803],[4.03747719 5.0292928 ],[ 0.8895135  -0.74716508],[8.96237999 5.95044201],[-0.44789848 -1.03576878],[9.64936124 2.05339296],[-0.80984191  1.08078109],[6.51608155 1.00282639],[-0.70853653  0.88268528],[2.99979827 6.52947011],[-0.15530156  0.46975619]
[4.71430148 4.3973322 ],[ 0.81991265 -0.70439075],[3.15514984 6.65107902],[ 0.70816386 -1.06861989],[0.88508826 2.50297451],[0.8701838  0.94396174],[4.14071149 4.57128401],[-0.61111503  0.73635721],[6.52005977 5.62093396],[-0.86969629  0.60754208],[4.12647933 4.95535342],[ 0.88764226 -0.73446466],[8.91361953 5.84664008],[-0.52711786 -1.03955061],[9.56619518 2.15997523],[-0.85252676  1.05065748],[6.44455473 1.09376411],[-0.71819892  0.93586453],[2.98687201 6.57601822],[-0.10263526  0.46110659]
[4.79616984 4.32757342],[ 0.81783068 -0.69035222],[3.2265982 6.5452967],[ 0.71801132 -1.04987531],[0.97474547 2.59692521],[0.91878857 0.93163786],[4.0806463  4.64510312],[-0.59048344  0.73966547],[6.43203736 5.67991049],[-0.89202066  0.57030916],[4.21516418 4.88256862],[ 0.88696855 -0.72026023],[8.85725753 5.7429413 ],[-0.59930489 -1.03337369],[9.47884662 2.26332575],[-0.89345619  1.0164736 ],[6.37276282 1.18960693],[-0.71668601  0.97877955],[2.97921931 6.62147402],[-0.05053075  0.44711383]
[4.87760577 4.25901361],[ 0.81276206 -0.67893558],[3.29872258 6.44108528],[ 0.72526928 -1.03357375],[1.0685426  2.68914201],[0.95509196 0.91146008],[4.02252862 4.71911582],[-0.56971866  0.74267744],[6.34183208 5.73508826],[-0.91227151  0.53274518],[4.30338347 4.81082094],[ 0.88041703 -0.71170932],[8.79405571 5.64029336],[-0.6632114  -1.01815806],[9.38813349 2.36374232],[-0.92151401  0.99042407],[6.30141276 1.28916389],[-0.71192046  1.00838695],[2.97665189 6.66514502],[0.00050659 0.42677468]
[4.95855666 4.19163502],[ 0.80564746 -0.6692145 ],[3.37129934 6.33824215],[ 0.72471931 -1.02467241],[1.16527453 2.778873  ],[0.98030772 0.88471768],[3.96684998 4.79375814],[-0.54675159  0.74719407],[6.2499628 5.7867679],[-0.92432664  0.50139423],[4.39139762 4.74039322],[ 0.88021718 -0.69642551],[8.72491219 5.5395775 ],[-0.71991866 -0.99677704],[9.29460077 2.46134659],[-0.94697463  0.96329115],[6.23078083 1.39129132],[-0.70073846  1.0323904 ],[2.97939978 6.70670143],[0.05567473 0.40458676]
[5.03895095 4.12539862],[ 0.80265805 -0.65503659],[3.44389795 6.23640684],[ 0.72970398 -1.00959342],[1.2647271  2.86635245],[1.00554483 0.86247033],[3.91356399 4.86891338],[-0.52097648  0.75377804],[6.15622176 5.83453975],[-0.94747126  0.45656904],[4.47915387 4.67127358],[ 0.87751977 -0.68331254],[8.65067554 5.44147628],[-0.76590083 -0.96687356],[9.19852351 2.55609078],[-0.97201023  0.93373967],[6.16149392 1.49557514],[-0.68529339  1.05181674],[2.9881212  6.74616022],[0.11764424 0.38236028]
[5.11925476 4.06081372],[ 0.80152538 -0.63847485],[3.51675902 6.13585257],[ 0.72744176 -1.00145523],[1.36617718 2.95128945],[1.02554713 0.8390706 ],[3.86250105 4.94433662],[-0.49776691  0.75711104],[6.06069162 5.87822633],[-0.96355945  0.4164038 ],[4.5666803  4.60352292],[ 0.87296973 -0.67171072],[8.57179993 5.34619122],[-0.80894761 -0.93672231],[9.10032283 2.64814497],[-0.99073586  0.90828719],[6.0936784  1.60140302],[-0.67069939  1.06424887],[3.00299824 6.78298504],[0.18314277 0.35615046]
[5.19910183 3.99756141],[ 0.79653442 -0.62541501],[3.58950226 6.03625071],[ 0.7273837  -0.99059665],[1.46944485 3.03390328],[1.03807358 0.81208173],[3.8139086  5.02019893],[-0.47322695  0.76088142],[5.96389019 5.91813523],[-0.97337048  0.38065674],[4.65350442 4.53669177],[ 0.86429796 -0.66416344],[8.48878689 5.253937  ],[-0.85312697 -0.91074564],[9.00050261 2.73782012],[-1.0065348   0.88410379],[6.02711898 1.70806425],[-0.65671452  1.07218887],[3.02495803 6.81731389],[0.25670689 0.32977101]
[5.2783874  3.93556945],[ 0.79009889 -0.61347424],[3.66256279 5.93806464],[ 0.73449316 -0.97251533],[1.57405707 3.11407932],[1.05468342 0.79262746],[3.76751602 5.09614458],[-0.45351388  0.75907537],[5.86598502 5.95425855],[-0.98287819  0.34339437],[4.73984171 4.47100443],[ 0.86166904 -0.65033391],[8.40189044 5.16465853],[-0.88404929 -0.87469441],[8.89896811 2.82487019],[-1.02440956  0.85641471],[5.96208675 1.81549519],[-0.64042694  1.07950344],[3.05417739 6.84848094],[0.32863876 0.29319973]
