[2.34658686 3.57842275],[ 1.21467302 -0.29458374],[2.54291902 3.41416042],[ 1.2472411  -0.16699108],[6.78572187 4.27587695],[ 0.69302038 -0.53489489],[3.99843885 4.13837705],[0.6492543  1.03481989],[8.09736292 2.40049525],[-1.18452382  0.07987086],[10.1474803   8.15349755],[-0.53741846 -1.19444853],[6.19023085 8.36560852],[ 0.95241024 -0.20757837],[7.44383426 4.94484474],[-0.79151463  0.85829281],[6.99506909 8.18410523],[-0.89938925 -0.86909799],[4.96996178 6.72258063],[0.05341108 0.88517445]
[2.46902309 3.55202592],[ 1.23194273 -0.23512318],[2.66816912 3.40037677],[ 1.25746328 -0.1086171 ],[6.85448649 4.22288776],[ 0.67954025 -0.52766167],[4.06430162 4.24101451],[0.66706223 1.01716392],[7.97895797 2.41226243],[-1.18633068  0.15111179],[10.09052328  8.03497075],[-0.59956864 -1.17462262],[6.28513674 8.34092198],[ 0.94413811 -0.28683886],[7.36403407 5.02947219],[-0.80130517  0.83729642],[6.9067479 8.0966058],[-0.86761818 -0.88110533],[4.97638041 6.81018724],[0.07521626 0.86709481]
[2.59315903 3.53168022],[ 1.24764304 -0.17450713],[2.79407064 3.39210728],[ 1.26382043 -0.05343006],[6.92244247 4.17116422],[ 0.6794423  -0.50686092],[4.13168917 4.34167749],[0.67742815 0.9931131 ],[7.86053768 2.43083806],[-1.18237516  0.21862669],[10.02787804  7.91875606],[-0.65063731 -1.14780509],[6.3793593  8.30874707],[ 0.9355943  -0.36024649],[7.28368715 5.11238776],[-0.80635246  0.82017607],[6.82150612 8.00790131],[-0.83546914 -0.89091193],[4.9853786 6.8963117],[0.10500519 0.85534027]
[2.71847368 3.51710505],[ 1.25685708 -0.118629  ],[2.92076574 3.38959486],[1.26852152 0.00182119],[6.99001431 4.12117146],[ 0.67219483 -0.49277587],[4.20008402 4.4399786 ],[0.69126011 0.97389432],[7.74275531 2.45598302],[-1.17410742  0.2819969 ],[9.96027993 7.80514535],[-0.69926437 -1.12312937],[6.47235951 8.26919612],[ 0.92175    -0.43221064],[7.20286661 5.19358458],[-0.81044701  0.80327016],[6.73877818 7.91760145],[-0.816195   -0.91185811],[4.99743737 6.98122503],[0.13471613 0.84118211]
[2.84460231 3.50807713],[ 1.26266038 -0.06493615],[3.04745295 3.39214187],[1.26447937 0.04799675],[7.05715638 4.07290364],[ 0.67010077 -0.47302093],[4.27003143 4.53656394],[0.70841072 0.95862598],[7.62585399 2.4871067 ],[-1.16555417  0.3374025 ],[9.88794858 7.69392078],[-0.74518651 -1.09993305],[6.56355163 8.22237918],[ 0.90334906 -0.50157466],[7.12178381 5.27320537],[-0.81328645  0.78698133],[6.65826393 7.82558037],[-0.79389204 -0.92802857],[5.01249276 7.06464432],[0.16637989 0.82678442]
[2.97101335 3.50412838],[ 1.2672083  -0.01237822],[3.17370679 3.39920349],[1.26322531 0.09581742],[7.12424958 4.02680903],[ 0.67201668 -0.44848235],[4.34183833 4.63178268],[0.72490132 0.94303779],[7.51005993 2.52362116],[-1.14878857  0.39325935],[9.81140614 7.58518116],[-0.78528415 -1.07524787],[6.65265196 8.16875839],[ 0.87896276 -0.56919975],[7.04051909 5.35127072],[-0.81406756  0.77219751],[6.57997231 7.73202088],[-0.77084047 -0.94175105],[5.0302353  7.14604449],[0.18850654 0.80103265]
[3.09769146 3.50528605],[1.26490362 0.03391396],[3.29968997 3.41089883],[1.25749801 0.13897858],[7.19138842 3.98306925],[ 0.67015409 -0.42679999],[4.41490302 4.72508692],[0.7344484  0.92127754],[7.3959324  2.56539255],[-1.13470618  0.4400633 ],[9.73090985 7.47875943],[-0.82131595 -1.05064999],[6.73917239 8.10862194],[ 0.85163017 -0.63199275],[6.95872112 5.42737533],[-0.82344394  0.74825273],[6.50405621 7.63723751],[-0.74801989 -0.95415512],[5.050804   7.22538721],[0.22247544 0.78503308]
[3.22402832 3.51091445],[1.26318859 0.07991491],[3.42524172 3.42703508],[1.25222823 0.18226078],[7.25831445 3.94151525],[ 0.66919087 -0.40331692],[4.48905123 4.816386  ],[0.74970011 0.90600275],[7.28358659 2.61189783],[-1.11056491  0.49097387],[9.6474279  7.37518459],[-0.8507145  -1.02398322],[6.82308971 8.04273209],[ 0.82475047 -0.68644267],[6.87621975 5.50128871],[-0.82449385  0.73204613],[6.43048332 7.54135119],[-0.72157243 -0.96146385],[5.07484466 7.30306319],[0.25922302 0.76892719]
[3.34995532 3.52086662],[1.25993154 0.12371821],[3.55011625 3.44731062],[1.2443352  0.22213795],[7.32537626 3.90260093],[ 0.66870649 -0.37813801],[4.56463111 4.90608833],[0.76094021 0.88723229],[7.17359647 2.66320875],[-1.08823667  0.53541721],[9.56118043 7.27424374],[-0.87297446 -0.99434668],[6.90345434 7.97090526],[ 0.78383199 -0.74759696],[6.79359674 5.57354345],[-0.82963274  0.71129164],[6.35951541 7.44475341],[-0.69650758 -0.96899826],[5.10225245 7.37867881],[0.29153242 0.7455975 ]
[3.47559524 3.53524923],[1.25445769 0.16538384],[3.67404482 3.47135981],[1.23325589 0.25752495],[7.39230135 3.86617479],[ 0.66847954 -0.3515109 ],[4.64123835 4.99385112],[0.77095644 0.86790203],[7.06590309 2.71879178],[-1.06607419  0.57506428],[9.47298158 7.17633192],[-0.89131125 -0.96488622],[6.97993369 7.89352623],[ 0.74663722 -0.79792932],[6.71038188 5.64361355],[-0.83335257  0.6913468 ],[6.29122507 7.34762269],[-0.67120621 -0.97533695],[5.13263279 7.45157545],[0.31978044 0.71569734]
