[8.09254258 2.83287916],[-3.86635024 -2.0191921 ],[5.35474431 9.47966055],[ 2.02950415 -0.55316385],[1.14552749 4.8050083 ],[-2.31146671  4.13753581],[0.63818114 0.22698582],[-4.7003927  -2.89525533],[8.60803947 4.5470967 ],[ 0.28973642 -4.88298035],[2.33881304 1.4264564 ],[-1.15674624  1.42959409],[2.70068618 4.831035  ],[-0.50944821  2.19093024],[7.66075488 5.03130229],[ 1.26774422 -2.19237638],[1.70636042 3.99340408],[-0.36445132  2.0348917 ],[7.32466492 8.15636102],[4.86092292 4.42087372]
[5.34493999 2.67573462],[-1.07728936  0.4938332 ],[6.59927279 7.3558917 ],[-0.14696882 -1.24782883],[1.46706018 6.89104355],[1.04024952 0.44459175],[-0.25564875  0.85102789],[0.64951725 1.22208786],[7.16135001 2.60179431],[-1.21838055 -0.12944155],[2.09997671 3.87727675],[0.49341007 1.08266209],[3.04825248 6.9316327 ],[0.6679247  0.60726983],[7.30381578 2.9569782 ],[-0.99382167 -0.5102707 ],[2.53476611 6.14253964],[0.90404439 0.59242526],[8.26712618 8.37594399],[-0.54771903 -1.07793279]
[5.23845476 2.72712552],[-1.05584786  0.53010615],[6.58211609 7.23151708],[-0.19521409 -1.23888493],[1.57331487 6.9325459 ],[1.0821978  0.38422621],[-0.18797394  0.97263644],[0.70336866 1.20999626],[7.03910581 2.59194569],[-1.225828   -0.06804791],[2.15091604 3.98436707],[0.52446211 1.05866673],[3.11717037 6.99019172],[0.70979351 0.56322092],[7.20244392 2.9093629 ],[-1.0315755  -0.44077467],[2.62645332 6.19948704],[0.9306832  0.54795485],[8.20883413 8.26649262],[-0.61511268 -1.10698424]
[5.13389692 2.78177119],[-1.03429523  0.56338527],[6.56084552 7.10864222],[-0.233144  -1.2220066],[1.6830315  6.96764212],[1.11077813 0.31750958],[-0.11531236  1.0928016 ],[0.74767677 1.19184662],[6.91639293 2.58819651],[-1.22697221 -0.00652919],[2.20513085 4.08932499],[0.55611197 1.03708728],[3.1904022  7.04444051],[0.75365345 0.52061482],[7.09721555 2.86837929],[-1.07311801 -0.38017416],[2.7205483 6.2518451],[0.95308754 0.5015393 ],[8.14473071 8.1553306 ],[-0.66523024 -1.11420015]
[5.03149978 2.83961852],[-1.01170236  0.5950792 ],[6.5354883  6.98708083],[-0.27319626 -1.20865864],[1.79540033 6.9961848 ],[1.13834259 0.25660165],[-0.0386661   1.21092719],[0.78102903 1.1673975 ],[6.79362299 2.59036845],[-1.22574604  0.05160099],[2.26227008 4.19198315],[0.58893058 1.01861449],[3.26774142 7.09414149],[0.79527071 0.47566551],[6.98818548 2.83347167],[-1.10485591 -0.31644879],[2.81714534 6.29996063],[0.97758876 0.46005638],[8.07631343 8.04421544],[-0.7064056  -1.11138704]
[4.93160791 2.90077196],[-0.98746225  0.62627805],[6.506222   6.86688717],[-0.31242239 -1.1957164 ],[1.91003744 7.0185267 ],[1.15567872 0.19276836],[0.04126565 1.32681227],[0.81593364 1.14937091],[6.6711588  2.59826892],[-1.22249627  0.1063938 ],[2.32259743 4.29276025],[0.61521616 0.99485073],[3.3492232  7.13935597],[0.83390209 0.42839754],[6.87634905 2.805002  ],[-1.13333917 -0.25572347],[2.91595578 6.34383884],[0.99733061 0.41676062],[8.00360948 7.93324102],[-0.74616122 -1.10670003]
[4.83389614 2.9646808 ],[-0.9681692   0.65002076],[6.473283  6.7481787],[-0.3482198  -1.18061999],[2.02663224 7.03510221],[1.16980633 0.13355839],[0.12428014 1.44070106],[0.84289903 1.12775028],[6.54910663 2.61145774],[-1.21813621  0.15670136],[2.38554864 4.39124289],[0.64354247 0.97485621],[3.43427151 7.17959053],[0.8703943  0.37997264],[6.76168014 2.78223101],[-1.15728015 -0.19835292],[3.01695122 6.38376408],[1.01925728 0.37912014],[7.92753107 7.82329264],[-0.77273013 -1.0899872 ]
[4.73824185 3.03096541],[-0.94531054  0.67491123],[6.43639883 6.63059891],[-0.38604877 -1.16772273],[2.14419805 7.04562462],[1.1830423  0.07975342],[0.20961007 1.55227663],[0.86373164 1.10450957],[6.4275121  2.62940544],[-1.21378193  0.20119147],[2.45126941 4.48772799],[0.66785286 0.95217533],[3.5227037  7.21480246],[0.89769039 0.32402635],[6.64523837 2.76546836],[-1.17028712 -0.13669066],[3.11984834 6.41981174],[1.03808203 0.34194894],[7.84916714 7.71526669],[-0.7966402  -1.07301915]
[4.64482089 3.09958183],[-0.92317141  0.69703278],[6.3962528  6.51476372],[-0.41655937 -1.14903317],[2.26259437 7.05062715],[1.18499906 0.02146068],[0.29705935 1.66176525],[0.88356036 1.08425396],[6.30680637 2.65199924],[-1.20048836  0.24983906],[2.51931048 4.58191868],[0.69358301 0.93250854],[3.6139419  7.24458442],[0.9247776  0.26975571],[6.52768236 2.75475469],[-1.17942393 -0.07720903],[3.22415072 6.4518402 ],[1.04459545 0.29563978],[7.76811552 7.60854843],[-0.82242478 -1.05969243]
[4.55412154 3.1708324 ],[-0.89402673  0.7245444 ],[6.35308189 6.4007441 ],[-0.44458773 -1.12937009],[2.38119511 7.05009853],[ 1.18553005 -0.0324825 ],[0.38623021 1.76915436],[0.89670231 1.06103187],[6.18743869 2.67927323],[-1.18642191  0.29549297],[2.58966834 4.67395643],[0.7146178  0.90955586],[3.70785628 7.26903321],[0.95327572 0.21960818],[6.40918554 2.74965104],[-1.1905355  -0.02627643],[3.32926065 6.47949273],[1.05861636 0.25926276],[7.6847251  7.50330555],[-0.84458249 -1.04474971]
[4.46564881 3.24405751],[-0.87401349  0.74106403],[6.30699322 6.28850516],[-0.47526524 -1.11363075],[2.49951945 7.04410625],[ 1.18009985 -0.08735769],[0.47677135 1.8744542 ],[0.91417388 1.04555564],[6.06949054 2.71094103],[-1.17264948  0.33708074],[2.66211224 4.7637514 ],[0.73253072 0.88490848],[3.80417911 7.28819957],[0.971425   0.16249704],[6.29005555 2.74976767],[-1.19135682  0.02842403],[3.43539748 6.50331263],[1.06742711 0.22095584],[7.59961744 7.39994201],[-0.85794896 -1.0233367 ]
