[5.44207217 2.4713874 ],[-0.95933128  0.69465877],[2.2825287  7.14699164],[ 1.01887003 -0.79783827],[3.15301753 9.54317301],[ 1.13637038 -0.61744465],[2.35331495 5.02500733],[-0.36568027  0.74282755],[9.86457016 2.81751038],[-1.27504466  0.0520805 ],[4.96847834 9.0974731 ],[-0.84581576 -0.86603252],[6.32219569 4.26270459],[-0.93594366  0.7532948 ],[2.90478069 9.31345799],[ 1.18959705 -0.46479819],[5.24805419 4.50001505],[-0.52761857 -0.79095763],[7.76208263 1.33858064],[-1.14134602  0.72585615]
[5.3474732  2.54311068],[-0.93199391  0.73937839],[2.38436825 7.06786064],[ 1.01892584 -0.78377775],[3.26482804 9.47826697],[ 1.1034291  -0.67591197],[2.31944971 5.10097885],[-0.30677067  0.78067999],[9.73537327 2.82595743],[-1.30894129  0.11275742],[4.88598302 9.00857001],[-0.80103724 -0.90809902],[6.22899763 4.33790977],[-0.92981293  0.74899092],[3.02224525 9.26345636],[ 1.16220976 -0.53146875],[5.19484888 4.4219515 ],[-0.5364307  -0.77011465],[7.64933177 1.41338735],[-1.11429686  0.76858648]
[5.25576826 2.61916347],[-0.90366848  0.77916977],[2.48618956 6.99011751],[ 1.01966426 -0.76890543],[3.37356026 9.40808671],[ 1.07183967 -0.72598815],[2.29189882 5.1808961 ],[-0.24457929  0.81645559],[9.60336909 2.83995443],[-1.3297922   0.16533611],[4.80782233 8.9155579 ],[-0.76237956 -0.95141993],[6.13646269 4.41272451],[-0.92014208  0.74805918],[3.13701446 9.20721685],[ 1.13070683 -0.59463777],[5.14085409 4.34610939],[-0.54483869 -0.74798794],[7.53928825 1.49218655],[-1.08804531  0.80508854]
[5.16730509 2.69934246],[-0.86627579  0.82294279],[2.58807505 6.91386256],[ 1.0183922  -0.75581038],[3.47908629 9.33316287],[ 1.03771234 -0.77252831],[2.27053101 5.26408692],[-0.18103472  0.8482119 ],[9.47019988 2.85930936],[-1.33459544  0.21836625],[4.7333705  8.81832093],[-0.72463542 -0.99034093],[6.04498206 4.48753626],[-0.91242608  0.74520017],[3.24851661 9.14486114],[ 1.10019855 -0.65042628],[5.08556715 4.27208413],[-0.55931102 -0.73073208],[7.43185031 1.57438077],[-1.05792661  0.84097109]
[5.08210077 2.78319079],[-0.83849768  0.85263271],[2.68967646 6.83876305],[ 1.01226035 -0.74763059],[3.58148671 9.25414503],[ 1.00601035 -0.81131487],[2.25549649 5.35015529],[-0.11655741  0.87534688],[9.3368582  2.88365357],[-1.33262157  0.26646985],[4.66298195 8.71773942],[-0.68130809 -1.0185886 ],[5.95371943 4.56149045],[-0.91180463  0.73480748],[3.35718454 9.07748685],[ 1.07197064 -0.69719712],[5.02927183 4.20028132],[-0.56646553 -0.70506421],[7.32733168 1.6598993 ],[-1.03238192  0.86888747]
[4.99982896 2.86996393],[-0.8091029   0.88007539],[2.79033321 6.7641267 ],[ 1.00172227 -0.74435921],[3.6801508  9.17089869],[ 0.96894304 -0.8512704 ],[2.24721464 5.4389415 ],[-0.05073913  0.89781006],[9.20378987 2.91240447],[-1.32826762  0.30740247],[4.59659374 8.61424913],[-0.64386855 -1.04769635],[5.86291864 4.63478858],[-0.9027725   0.73260133],[3.4628344  9.00553385],[ 1.04264115 -0.73931988],[4.97187257 4.13071402],[-0.5769657  -0.68156853],[7.2250534  1.74773292],[-1.012098    0.88841419]
[4.92062218 2.95943975],[-0.7758009   0.90816141],[2.89020292 6.6900704 ],[ 0.99569519 -0.73674957],[3.77522836 9.08397324],[ 0.93087117 -0.8883858 ],[2.24553549 5.52972256],[0.01933726 0.91900391],[9.0711991  2.94488072],[-1.32393076  0.34028369],[4.53431723 8.50845074],[-0.60375939 -1.0695598 ],[5.77293558 4.70777858],[-0.89569149  0.72839513],[3.56569006 8.92977695],[ 1.01336393 -0.77618006],[4.91370803 4.06383784],[-0.58746056 -0.65691665],[7.12507128 1.83766278],[-0.98858246  0.90881335]
[4.84452586 3.05136011],[-0.74686978  0.92910016],[2.98944414 6.61674995],[ 0.99220088 -0.72657868],[3.86656951 8.99357809],[ 0.89706873 -0.91787437],[2.2507738  5.62223644],[0.0853005 0.9304194],[8.93936723 2.98062138],[-1.31123868  0.37529596],[4.47613985 8.40077071],[-0.5616191  -1.08518126],[5.68379356 4.7804767 ],[-0.88666087  0.7260653 ],[3.6651759  8.85009826],[ 0.97591445 -0.81720841],[4.8542369  3.99923584],[-0.60054335 -0.63351517],[7.02740067 1.92949725],[-0.96612197  0.92631633]
[4.7715868  3.14551551],[-0.71332234  0.95222358],[3.08877691 6.54491524],[ 0.9940481  -0.71041929],[3.95469295 8.90054644],[ 0.861901   -0.94581455],[2.26296188 5.71598628],[0.15789535 0.94314304],[8.80859072 3.0194248 ],[-1.30274804  0.40144774],[4.42167702 8.29124217],[-0.52730271 -1.10417461],[5.59536434 4.85274365],[-0.8802563   0.72094293],[3.76134232 8.76692433],[ 0.94479647 -0.84830646],[4.79348372 3.93706837],[-0.61283727 -0.60795692],[6.93177861 2.02280735],[-0.9465749   0.93941452]
[4.70152017 3.24139998],[-0.68722994  0.96602127],[3.18760481 6.47401437],[ 0.98475426 -0.705383  ],[4.03962742 8.8051749 ],[ 0.83755085 -0.96053985],[2.28207762 5.81042297],[0.22422817 0.94481589],[8.67885059 3.06081299],[-1.29044568  0.42733172],[4.37084904 8.18023271],[-0.49102469 -1.11712999],[5.5077616  4.92467858],[-0.87084249  0.71870563],[3.85407174 8.6804766 ],[ 0.91359903 -0.87634394],[4.73113068 3.87715585],[-0.63235014 -0.58823296],[6.83832664 2.11758125],[-0.92371489  0.95464322]
