[2.66310151 6.2687702 ],[ 0.95820972 -1.95182424],[3.64149584 7.95218371],[-2.5267865  -1.09509599],[3.06765359 8.63733628],[3.95452837 2.84772856],[4.91875271 2.79933979],[-0.22407195 -3.15831855],[4.16828142 1.90028418],[4.61404275 4.07445986],[8.2501269 8.672318 ],[ 4.90119499 -4.2504091 ],[0.27258746 9.85072984],[2.10532227 1.58450069],[5.43730583 4.26616345],[-2.06835852 -1.21081728],[2.30250421 9.64058639],[-1.24602281 -2.72822467],[5.74091938 5.00397637],[4.32271038 2.25075505]
[4.28375762 4.56660965],[ 0.9110198  -0.37713249],[2.00966892 6.34491191],[-0.14002762 -0.96893339],[5.39975    8.90331484],[ 0.83773597 -0.69713355],[4.21972396 1.63847912],[-0.61037212  0.63978542],[5.46843136 4.44871289],[0.10648815 1.17224841],[8.36638439 6.33399885],[-0.94342026 -0.85072796],[2.86707158 9.62936807],[ 1.00936798 -0.83002232],[3.17522989 4.13736529],[-0.82611288  0.54235519],[2.31672025 6.96456712],[ 0.54802625 -1.05855945],[7.1956221  6.73058202],[-0.06268691  0.88689677]
[4.37526899 4.53060322],[ 0.91750576 -0.3446022 ],[1.99887673 6.2474591 ],[-0.07824402 -0.98207614],[5.48161873 8.83067155],[ 0.80105399 -0.75313569],[4.15867927 1.70847017],[-0.60739998  0.75910232],[5.47784229 4.56567295],[0.07880236 1.16388476],[8.27036799 6.25121753],[-0.97539986 -0.80436882],[2.96631821 9.54457724],[ 0.97786392 -0.86300162],[3.09417255 4.19384522],[-0.79222753  0.58942938],[2.37296735 6.85958589],[ 0.58128888 -1.0362873 ],[7.18560661 6.81888327],[-0.13517189  0.88115039]
[4.46755462 4.49804311],[ 0.92464403 -0.30988643],[1.99429556 6.1488553 ],[-0.01451468 -0.99061221],[5.55970536 8.75265909],[ 0.7606275  -0.80603515],[4.09821589 1.78944742],[-0.60004343  0.85790129],[5.484352   4.68163457],[0.05644321 1.15993152],[8.17076386 6.17240246],[-1.01435292 -0.77069308],[3.06265607 9.45687435],[ 0.94806239 -0.89144649],[3.01668672 4.25502842],[-0.75634659  0.63471316],[2.43232752 6.7567401 ],[ 0.60702158 -1.0190025 ],[7.16851034 6.90665036],[-0.20505062  0.87527622]
[4.56010774 4.46856524],[ 0.92454987 -0.28142299],[1.9960383  6.04950073],[ 0.0491801 -0.9960932],[5.63354424 8.66948172],[ 0.71500583 -0.85756427],[4.03948265 1.88000947],[-0.57325882  0.95041261],[5.48871769 4.79715283],[0.03078771 1.15023534],[8.0681913  6.09760485],[-1.03725891 -0.72628171],[3.1559429  9.36638075],[ 0.91944088 -0.91627974],[2.94284503 4.32059615],[-0.71742104  0.67902948],[2.49471159 6.65619521],[ 0.63655365 -0.99566624],[7.14441287 6.99363796],[-0.27857117  0.8621182 ]
[4.6529419  4.44227733],[ 0.93218972 -0.24399462],[2.00435557 5.94996313],[ 0.11765004 -0.99361183],[5.70304304 8.58168788],[ 0.67526375 -0.89706368],[3.98389336 1.9790472 ],[-0.53726744  1.02775495],[5.4908656  4.91197022],[0.01247403 1.14610681],[7.96323174 6.0269099 ],[-1.06036238 -0.68692462],[3.24644967 9.27359532],[ 0.8890277  -0.94077211],[2.87286747 4.39036271],[-0.68077228  0.71696693],[2.55969257 6.55774794],[ 0.66154387 -0.97446274],[7.11308286 7.0792361 ],[-0.34834461  0.84860676]
[4.7463849  4.41967827],[ 0.93525357 -0.20918137],[2.01938317 5.85070668],[ 0.18392572 -0.98982306],[5.76829164 8.48994983],[ 0.62946441 -0.93705584],[3.93184894 2.08469771],[-0.50309393  1.08279464],[5.49070684 5.02583212],[-0.01237903  1.13429925],[7.85643338 5.96040562],[-1.0767614  -0.64508649],[3.33423076 9.17876912],[ 0.86117483 -0.96089439],[2.8070109  4.46416991],[-0.63558815  0.75924094],[2.62717222 6.46152692],[ 0.68533643 -0.9523532 ],[7.07492325 7.16337355],[-0.41296067  0.83498391]
[4.84031745 4.40083514],[ 0.94092186 -0.16975915],[2.04086169 5.75185919],[ 0.24385477 -0.98793048],[5.82892216 8.39444   ],[ 0.58480614 -0.97064993],[3.88332259 2.19513541],[-0.46513293  1.12598563],[5.48829975 5.13869978],[-0.03653942  1.12209429],[7.74778981 5.89766203],[-1.09263106 -0.60704495],[3.41895809 9.08174826],[ 0.83378956 -0.97887932],[2.74542747 4.5417456 ],[-0.59898729  0.78870085],[2.69664221 6.36723775],[ 0.7060754  -0.93113094],[7.03021122 7.24575787],[-0.48023952  0.81270028]
[4.93465235 4.38588088],[ 0.94494936 -0.12988355],[2.06838389 5.65352386],[ 0.30776438 -0.97674867],[5.88504759 8.29576472],[ 0.53837169 -1.00150124],[3.83888969 2.30954367],[-0.42412626  1.15981141],[5.48374171 5.25056387],[-0.0552954   1.11417793],[7.6375723  5.83853258],[-1.10858046 -0.57314412],[3.50106466 8.98311453],[ 0.81011541 -0.99184551],[2.6880079  4.62256669],[-0.55312775  0.82331179],[2.76834151 6.27530986],[ 0.72651899 -0.90856307],[6.97873676 7.32557318],[-0.54695757  0.78482039]
[5.02906342 4.37467975],[ 0.94190292 -0.09529198],[2.10243918 5.55667555],[ 0.36912753 -0.96355314],[5.93668788 8.19436045],[ 0.4905302  -1.02978946],[3.79840069 2.42671912],[-0.38551017  1.18273752],[5.47699459 5.3612718 ],[-0.07848107  1.10103973],[7.5259823  5.78282185],[-1.122574   -0.54117347],[3.58090839 8.88333696],[ 0.78658982 -1.00372455],[2.63499534 4.70646501],[-0.50839175  0.85272754],[2.84215224 6.18578442],[ 0.74853803 -0.88287252],[6.92081728 7.40249567],[-0.61272283  0.75118619]
[5.12338914 4.36723581],[ 0.94440914 -0.0533779 ],[2.14232733 5.46112638],[ 0.43044507 -0.94468955],[5.98313219 8.08994161],[ 0.43896113 -1.0572885 ],[3.76164112 2.54574938],[-0.35137487  1.19562261],[5.46811806 5.47081574],[-0.09803497  1.09069126],[7.4130075  5.73011578],[-1.13609086 -0.5128428 ],[3.65861272 8.78262611],[ 0.76813579 -1.00981541],[2.58673167 4.79337202],[-0.45950799  0.88209931],[2.91825854 6.098992  ],[ 0.77482923 -0.85153339],[6.85658815 7.47597615],[-0.67154096  0.71751291]
[5.21753601 4.36365965],[ 0.93867756 -0.01782522],[2.18817847 5.36755667],[ 0.48488743 -0.92737077],[6.02473983 7.98327469],[ 0.39137188 -1.07744676],[3.72838544 2.66598303],[-0.31276376  1.20943224],[5.4574933  5.57945873],[-0.11547171  1.08095504],[7.29902838 5.68040341],[-1.14285867 -0.48132375],[3.73401638 8.68088735],[ 0.74398806 -1.02078591],[2.54339642 4.88304808],[-0.40815762  0.90976375],[2.99658789 6.01499477],[ 0.79198962 -0.82793488],[6.78699255 7.54624199],[-0.72276832  0.68419157]
[5.31085636 4.36344165],[0.92853887 0.01433488],[2.23924625 5.27579416],[ 0.5371013  -0.90629941],[6.06150501 7.87466367],[ 0.34441863 -1.09391167],[3.69884008 2.78728442],[-0.27757839  1.21682646],[5.44509155 5.68704015],[-0.13284106  1.0701423 ],[7.18436306 5.63368403],[-1.15099806 -0.45422523],[3.80718402 8.5782629 ],[ 0.72071034 -1.03022696],[2.50508019 4.97516782],[-0.35802035  0.93217789],[3.07658422 5.9333816 ],[ 0.8135244 -0.7985245],[6.71194988 7.6124929 ],[-0.77943674  0.63826808]
[5.40339547 4.36673134],[0.92241781 0.05188441],[2.29592239 5.18678802],[ 0.59374918 -0.87560692],[6.09375383 7.7646986 ],[ 0.30105782 -1.10467608],[3.67315325 2.90953804],[-0.2381262  1.2258299],[5.4306777  5.79322927],[-0.15374489  1.05534997],[7.06916496 5.58980229],[-1.15200679 -0.42283658],[3.87844215 8.47513778],[ 0.70716341 -1.02967292],[2.4721205  5.06966095],[-0.30276198  0.95542815],[3.15879674 5.85484045],[ 0.82900105 -0.77380836],[6.63136153 7.67390857],[-0.83057924  0.59056525]
[5.4952055 4.3737429],[0.9143759  0.08925719],[2.35770407 5.10056335],[ 0.64403318 -0.84585818],[6.12175911 7.65382075],[ 0.25869233 -1.11297681],[3.65114159 3.03232485],[-0.20423583  1.22777138],[5.41464453 5.89836474],[-0.16734663  1.04660948],[6.95393012 5.54903546],[-1.15212501 -0.39236985],[3.94809698 8.37181412],[ 0.68546795 -1.03717509],[2.44477071 5.16634066],[-0.24822822  0.97357785],[3.2423074  5.77858554],[ 0.84005285 -0.75227327],[6.54579743 7.73032951],[-0.87556895  0.54184535]
[5.58635865 4.38474658],[0.90638776 0.12882688],[2.42437613 5.0174389 ],[ 0.68997631 -0.81519844],[6.14523373 7.54191944],[ 0.21336761 -1.122198  ],[3.63250328 3.15527017],[-0.1666833  1.2327342],[5.39713325 6.00243569],[-0.18332391  1.03426671],[6.83877485 5.51131613],[-1.15203157 -0.36330069],[4.01573478 8.26792225],[ 0.6675282  -1.04038645],[2.42254161 5.26433532],[-0.19612078  0.98602135],[3.32736119 5.7049842 ],[ 0.85614489 -0.72444258],[6.45594193 7.78174842],[-0.91974595  0.48717347]
[5.67673744 4.3998423 ],[0.90002327 0.17224415],[2.49577552 4.93776927],[ 0.73845916 -0.77692012],[6.16439336 7.42939012],[ 0.1704862  -1.12756731],[3.61758678 3.27859954],[-0.13025693  1.23508689],[5.37820178 6.10540469],[-0.1940736   1.02599786],[6.72361464 5.47640267],[-1.15066444 -0.33484945],[4.08146671 8.16361615],[ 0.64814204 -1.04465899],[2.40546491 5.36335498],[-0.14526373  0.99408088],[3.41330154 5.63349501],[ 0.86078961 -0.70710639],[6.36221614 7.82791789],[-0.95356348  0.43645751]
[5.76604509 4.41894786],[0.88802198 0.21205261],[2.57189515 4.86204609],[ 0.78339249 -0.73725891],[6.17938425 7.31649687],[ 0.1293229  -1.13011611],[3.60594102 3.40176519],[-0.10212717  1.22909176],[5.35768293 6.20698351],[-0.2155108  1.0064527],[6.60820296 5.44381082],[-1.15160851 -0.31130032],[4.14545854 8.05909375],[ 0.63079135 -1.04671859],[2.39384879 5.46338588],[-0.09012324  1.00290203],[3.49995555 5.56402767],[ 0.87565222 -0.67869607],[6.26515719 7.86877152],[-0.98728648  0.37992875]
[5.8540533  4.44203508],[0.87320012 0.25099327],[2.65203137 4.79005437],[ 0.82013952 -0.70099477],[6.19029726 7.20343436],[ 0.08816883 -1.1317135 ],[3.59789421 3.52508731],[-0.06227902  1.23353201],[5.33528385 6.30687565],[-0.23185789  0.99189341],[6.4933261 5.4141661],[-1.14721357 -0.28316707],[4.20776593 7.95442493],[ 0.61595657 -1.04609015],[2.3874858  5.56389043],[-0.03548564  1.00834393],[3.58778864 5.49715136],[ 0.88097041 -0.65877059],[6.16501527 7.90396127],[-1.01308504  0.32559467]
[5.94057332 4.46910611],[0.85961269 0.29310761],[2.73582733 4.72190214],[ 0.85471497 -0.66238811],[6.19675951 7.08996386],[ 0.0439405  -1.13452825],[3.59281084 3.64783455],[-0.03793644  1.22319609],[5.31120362 6.40523138],[-0.25236532  0.97267506],[6.37855502 5.3869103 ],[-1.1458061  -0.25990863],[4.26865862 7.84988453],[ 0.60246968 -1.04423336],[2.38673501 5.66491844],[0.02135383 1.01258535],[3.67610734 5.4322555 ],[ 0.88375375 -0.64074717],[6.06232642 7.93350473],[-1.04128625  0.26369489]
