[2.94002331 7.6923319 ],[4.93192677 3.27044229],[1.16798274 3.97133211],[-0.86544444  4.28211677],[3.47985806 1.26343896],[-2.23698602 -2.15863909],[3.49028887 2.96199059],[-4.39798163 -0.83091064],[0.01189448 7.16107208],[0.65735955 1.22630616],[5.34910659 3.37197869],[-4.87762258  2.3312928 ],[5.69945591 2.38497037],[ 3.86993927 -1.12976732],[5.90603858 0.3144061 ],[-2.49188809  2.89878513],[7.24285143 0.6068491 ],[-4.76242198 -0.80532393],[8.25603349 4.63850754],[-1.17442787  4.05624246]
[5.21299691 7.333911  ],[ 0.5570056  -1.04816285],[2.01802131 6.10748453],[1.00199746 0.393921  ],[1.76389795 0.72874755],[-0.55711525  0.73727116],[1.27849148 2.88923438],[-0.60021298  0.35565659],[2.27338995 7.27939506],[ 1.06483697 -0.69713086],[2.96619847 4.42409712],[-0.86166022  0.36506463],[7.56109922 2.40697771],[0.18517125 0.65356063],[4.28574358 2.69099811],[-0.55434391  1.03371725],[4.52678135 1.34532357],[-0.90699673  0.82956075],[6.21833132 6.13693482],[-1.22679069 -0.06681723]
[5.26589173 7.227423  ],[ 0.4993722  -1.08216823],[2.11969287 6.14421393],[1.02817502 0.33828666],[1.71028447 0.80699318],[-0.51208708  0.82827851],[1.21988003 2.92704834],[-0.57122018  0.40132299],[2.37861184 7.20810516],[ 1.03846367 -0.72914291],[2.88036082 4.4602739 ],[-0.85647385  0.35707189],[7.57524966 2.47615751],[0.09632684 0.72899256],[4.23080098 2.7942739 ],[-0.54379244  1.03251199],[4.43771296 1.42982356],[-0.87131122  0.86317529],[6.09574579 6.12789486],[-1.22141715 -0.11021408]
[5.31296542 7.11776157],[ 0.44111678 -1.11117248],[2.22360543 6.17524172],[1.04731704 0.28035536],[1.66165203 0.89408702],[-0.45807905  0.9135181 ],[1.16435334 2.96958204],[-0.53492221  0.45356604],[2.48131732 7.13393479],[ 1.01426189 -0.75505661],[2.79533504 4.49594047],[-0.84394451  0.3564633 ],[7.58030783 2.55277885],[0.00428397 0.80249964],[4.1766972  2.89721782],[-0.53918282  1.02550174],[4.35238657 1.51775914],[-0.83751158  0.89290791],[5.97386247 6.11475984],[-1.21444572 -0.1503233 ]
[5.35407723 7.00532301],[ 0.38217627 -1.1357804 ],[2.329222   6.20049822],[1.06155936 0.22217335],[1.61868565 0.98920321],[-0.40260476  0.98497778],[1.11278858 3.017615  ],[-0.49584748  0.50731687],[2.58145319 7.0571896 ],[ 0.98894817 -0.7788481 ],[2.71151107 4.53152273],[-0.83210764  0.35562174],[7.57603808 2.63647286],[-0.09026114  0.86945522],[4.12333439 2.99975659],[-0.52799856  1.02525533],[4.27014691 1.60827613],[-0.80848124  0.91594305],[5.85284512 6.09787555],[-1.20571947 -0.18683972]
[5.38974753 6.89106385],[ 0.33131143 -1.14900071],[2.43602882 6.21992119],[1.07459812 0.16725516],[1.581152   1.09065764],[-0.34617894  1.04380779],[1.06549366 3.07128431],[-0.44974224  0.56591972],[2.67918909 6.97834017],[ 0.96591483 -0.7975474 ],[2.62893953 4.5671074 ],[-0.8187301   0.35677396],[7.56200522 2.72613005],[-0.19090108  0.92121146],[4.07080331 3.10198275],[-0.52054197  1.0213135 ],[4.19060422 1.70080747],[-0.78066885  0.93612898],[5.73223195 6.07690245],[-1.20504028 -0.23111981]
[5.42009879 6.77538383],[ 0.27547442 -1.16434059],[2.54386933 6.23383779],[1.08214677 0.11183223],[1.54958054 1.19766982],[-0.2865188   1.09333457],[1.02303016 3.13088191],[-0.39850629  0.62641344],[2.77428277 6.89739958],[ 0.93548858 -0.82143105],[2.54763327 4.60275962],[-0.81003068  0.353644  ],[7.53802338 2.82043706],[-0.28981811  0.96110231],[4.01919814 3.20398881],[-0.51142079  1.01891479],[4.11377598 1.79521645],[-0.75409074  0.95365329],[5.61232147 6.05216386],[-1.19339601 -0.26348331]
[5.44502579 6.65847928],[ 0.22410352 -1.17243537],[2.65269606 6.24271877],[1.09224866 0.06467733],[1.52378357 1.30892473],[-0.22801444  1.1316987 ],[0.98580944 3.1964378 ],[-0.34430737  0.68547252],[2.86653406 6.81436418],[ 0.91049764 -0.83802034],[2.46705945 4.63794864],[-0.80067072  0.35096857],[7.5042168  2.91798187],[-0.38449505  0.98842234],[3.96851849 3.30576012],[-0.50431656  1.01440632],[4.03962518 1.89133132],[-0.73110082  0.96634585],[5.49333073 6.02401724],[-1.1850841  -0.29777756]
[5.46466757 6.54073537],[ 0.17234809 -1.17865169],[2.76205795 6.24669232],[1.09297218 0.01353284],[1.50407219 1.42380351],[-0.16672367  1.16411273],[0.954121   3.26774685],[-0.28931295  0.73988086],[2.95623935 6.72971137],[ 0.88527016 -0.8531169 ],[2.38748695 4.67294423],[-0.79231643  0.34734214],[7.46143706 3.01780381],[-0.47276647  1.00302339],[3.91867209 3.40721008],[-0.49460087  1.01251621],[3.96776227 1.98866194],[-0.70848915  0.97780677],[5.37536383 5.99270735],[-1.17362057 -0.32738294]
[5.47975051 6.42301547],[ 0.12807635 -1.17692339],[2.87139536 6.24568152],[ 1.09468477 -0.03195758],[1.49037588 1.54144996],[-0.10958731  1.18561687],[0.92789398 3.34416084],[-0.23531174  0.78731464],[3.04323599 6.64343933],[ 0.8567284  -0.87003456],[2.3086372  4.70745032],[-0.78402896  0.34339802],[7.41009713 3.11841094],[-0.55345069  1.00646732],[3.86982527 3.50848264],[-0.48607998  1.00922258],[3.89835227 2.08728642],[-0.6821209   0.99211761],[5.25866169 5.95865345],[-1.16121987 -0.35402298]
[5.49007267 6.30519121],[ 0.07892858 -1.17874256],[2.98054605 6.24001755],[ 1.08530414 -0.08375585],[1.48243123 1.66103785],[-0.04947757  1.20531395],[0.90747457 3.42540639],[-0.16723311  0.84213231],[3.12723068 6.55539754],[ 0.82437876 -0.88937454],[2.23096044 4.74190952],[-0.76982691  0.3455321 ],[7.35094871 3.21872547],[-0.62803362  0.99845575],[3.82146951 3.60908898],[-0.48062013  1.00335538],[3.8313022  2.18702674],[-0.65733768  1.00411045],[5.1431695  5.92200191],[-1.14773382 -0.37780005]
[5.49552248 6.18731133],[ 0.03045106 -1.17826157],[3.08900941 6.22961032],[ 1.08338266 -0.12406656],[1.48006609 1.78197603],[1.01638937e-03 1.21200620e+00],[0.89413053 3.51197904],[-0.10185628  0.88587095],[3.20819648 6.4656954 ],[ 0.79624688 -0.90317138],[2.1547561  4.77664971],[-0.75059446  0.35306693],[7.28484722 3.3179417 ],[-0.69207199  0.98528878],[3.77389122 3.70933934],[-0.47257645  0.99999551],[3.76676811 2.28795813],[-0.63651812  1.0112948 ],[5.02906989 5.88312163],[-1.13467357 -0.39989847]
[5.49613028 6.0695631 ],[-0.01775938 -1.1759805 ],[3.1967767  6.21490108],[ 1.07293723 -0.16854514],[1.48267355 1.90344074],[0.05343268 1.21930366],[0.88742962 3.60265103],[-0.03341138  0.92502309],[3.28648637 6.37480957],[ 0.77102557 -0.91291135],[2.08022874 4.81192516],[-0.73764783  0.35476326],[7.21291067 3.41570927],[-0.74606269  0.96851121],[3.72672959 3.80888301],[-0.466538   0.9950385],[3.70443342 2.38970358],[-0.61214234  1.02156945],[4.91632553 5.84217217],[-1.11880604 -0.41727665]
[5.4919252  5.95212968],[-0.06250402 -1.16880123],[3.30373213 6.1961799 ],[ 1.06666469 -0.2045138 ],[1.49052372 2.02552902],[0.10132133 1.22015831],[0.8873985  3.69668938],[0.03096194 0.95288384],[3.36222518 6.2829709 ],[ 0.74320816 -0.9242441 ],[2.00697965 4.84735414],[-0.72617709  0.35498843],[7.13578409 3.51143104],[-0.79281992  0.94783684],[3.68039734 3.90814515],[-0.45949866  0.99077065],[3.6444032  2.49231435],[-0.58686223  1.03214474],[4.80536213 5.79981006],[-1.09983546 -0.42882085]
[5.48343836 5.83560844],[-0.10949519 -1.16366451],[3.40970571 6.17372608],[ 1.05367646 -0.24309682],[1.50283548 2.14738575],[0.14563944 1.21775068],[0.89407532 3.79345377],[0.10333893 0.98203825],[3.43518276 6.19005317],[ 0.71787789 -0.93204648],[1.93511797 4.88304912],[-0.7130046   0.35693545],[7.05415873 3.60479089],[-0.84055521  0.9171849 ],[3.63478415 4.00698757],[-0.45419568  0.98466368],[3.58682805 2.59586858],[-0.56570775  1.03783009],[4.69611011 5.75624444],[-1.08749093 -0.44452868]
[5.47058064 5.71997614],[-0.14849613 -1.14986491],[3.51441405 6.14762695],[ 1.04010661 -0.27866543],[1.51923606 2.26869698],[0.18437991 1.21067798],[0.90775239 3.89256387],[0.1722967 1.0012816],[3.50588797 6.09666857],[ 0.69192753 -0.9398178 ],[1.86430597 4.91865724],[-0.70458466  0.35382618],[6.96794571 3.69490653],[-0.88261884  0.88512967],[3.58969675 4.10522621],[-0.44548429  0.98208211],[3.53160373 2.70020311],[-0.53829001  1.04915921],[4.58784828 5.71090683],[-1.0740804  -0.45824096]
[5.45320794 5.60515036],[-0.19733056 -1.14467749],[3.61732791 6.11767871],[ 1.01880562 -0.31931618],[1.53951479 2.38934856],[0.21948938 1.20093499],[0.92831413 3.99329654],[0.23595395 1.0097628 ],[3.57387027 6.00242703],[ 0.66555753 -0.94705131],[1.7945071  4.95410414],[-0.68802118  0.35848576],[6.87814871 3.78213746],[-0.91239441  0.85955667],[3.54581424 4.20349915],[-0.433379    0.98204071],[3.47874244 2.80525114],[-0.52067011  1.05013989],[4.48080845 5.66414867],[-1.06044037 -0.4703772 ]
[5.43122161 5.49119789],[-0.24123506 -1.13320508],[3.71833887 6.08401134],[ 1.00240014 -0.35244287],[1.56345664 2.50924302],[0.25816112 1.19575941],[0.95498266 4.09444185],[0.29439864 1.0097174 ],[3.63926821 5.90755478],[ 0.64074466 -0.95193062],[1.72660409 4.99026241],[-0.66868183  0.36609274],[6.78536218 3.86656   ],[-0.94092229  0.83062962],[3.50302508 4.30162163],[-0.42195972  0.98078625],[3.42773346 2.91049718],[-0.49995098  1.05434532],[4.37555421 5.61671352],[-1.045781   -0.47918659]
[5.40516632 5.37872179],[-0.28093281 -1.11738396],[3.81740957 6.04687781],[ 0.98115693 -0.38771761],[1.59090015 2.62828387],[0.28758233 1.18239263],[0.98744137 4.19541514],[0.35564935 1.01018576],[3.70234525 5.81238849],[ 0.62368204 -0.94854467],[1.66049306 5.02704212],[-0.65199512  0.37102565],[6.68990287 3.94808147],[-0.96836394  0.79913964],[3.46138048 4.39958912],[-0.4152819   0.97428113],[3.37845291 3.01582381],[-0.48581495  1.05214231],[4.2716098  5.56831276],[-1.03516194 -0.49065017]
[5.37532188 5.26800792],[-0.31484303 -1.09598662],[3.91409859 6.00606995],[ 0.95438481 -0.42640346],[1.62121218 2.7460301 ],[0.3213308  1.17541328],[1.02587423 4.29615924],[0.4111854  1.00273272],[3.76358512 5.71742924],[ 0.59940598 -0.95223371],[1.59638843 5.06465068],[-0.62946873  0.38177396],[6.59183383 4.02643066],[-0.99239828  0.76801049],[3.42008384 4.49662274],[-0.40885241  0.96815215],[3.33108067 3.12142029],[-0.46579017  1.05551788],[4.16863185 5.51870687],[-1.02186075 -0.4986651 ]
