[3.39945982 5.75791451],[ 1.75929741 -1.81881378],[2.03401961 9.36761326],[-4.20370207 -1.32508916],[5.68410959 8.38437546],[0.287792   3.20295573],[3.71415051 1.53732316],[ 4.44517719 -4.13746874],[8.81244741 1.31546694],[-0.87014225  2.12466536],[6.89411021 0.9327837 ],[-4.78205545 -1.45328611],[6.50365807 6.0555157 ],[-4.92898872 -0.88595268],[0.2294136  3.94543029],[-1.2847349   4.65114232],[1.70173344 9.24576984],[2.15991744 2.45026056],[8.17852331 0.26041723],[-1.50962571  3.74240539]
[5.18932256 4.07056239],[ 0.70263444 -0.57690068],[1.06569769 7.18335656],[ 0.51173669 -1.17113718],[5.22627842 9.59892545],[-0.72153004 -0.58967967],[5.85102499 1.38701041],[0.62534403 0.97156281],[7.02144148 3.60690525],[-0.97269215  0.82684042],[4.37957517 1.77006684],[-0.69601813  1.03472401],[3.90959602 5.28351168],[-0.9224714  -0.41666348],[1.27267696 6.18650077],[1.14905053 0.44787411],[4.01904832 9.12190312],[ 0.82783185 -0.97975342],[6.60090369 2.89983189],[-0.79589285  1.0088914 ]
[5.25919553 4.0135971 ],[ 0.69591512 -0.56126988],[1.11916631 7.06716455],[ 0.5587471  -1.15048968],[5.15330159 9.5345275 ],[-0.73657053 -0.69706148],[5.91081312 1.48713483],[0.57115867 1.03045723],[6.92426778 3.68910817],[-0.97435221  0.81361134],[4.31222938 1.87501634],[-0.65376564  1.06093449],[3.81814381 5.24168566],[-0.90540421 -0.41860099],[1.38857518 6.22887857],[1.1700304 0.4019023],[4.09995782 9.0223992 ],[ 0.78835073 -1.01166104],[6.52092693 2.99990377],[-0.80269431  0.99346796]
[5.32856353 3.95838194],[ 0.69501479 -0.53938835],[1.17734522 6.95333966],[ 0.60565414 -1.12431346],[5.0789221  9.45945211],[-0.74736539 -0.80046913],[5.96504559 1.59265137],[0.51259172 1.0776347 ],[6.82661448 3.76965356],[-0.9756826   0.80030249],[4.24904189 1.98238256],[-0.61311338  1.08292536],[3.72846076 5.19975685],[-0.89073103 -0.42244949],[1.50631397 6.26670557],[1.18313917 0.3540248 ],[4.17683033 8.91981496],[ 0.75262876 -1.03600549],[6.44026438 3.09841847],[-0.81039186  0.97697009]
[5.39783099 3.9053768 ],[ 0.6914126 -0.5195592],[1.23980636 6.84197859],[ 0.6469348  -1.09878941],[5.00432978 9.37502191],[-0.74297558 -0.88585118],[6.01338029 1.70247619],[0.45306666 1.11647167],[6.72892725 3.84896082],[-0.97857975  0.78526116],[4.18940087 2.09134609],[-0.57958029  1.09632539],[3.64020531 5.15740069],[-0.87749398 -0.42777677],[1.62526065 6.29989773],[1.19447882 0.3093319 ],[4.24984823 8.81466422],[ 0.70999714 -1.064237  ],[6.35936045 3.19579322],[-0.80770873  0.9703976 ]
[5.46685599 3.8545062 ],[ 0.68742707 -0.49943484],[1.30651318 6.7334841 ],[ 0.68253995 -1.07500637],[4.9306819  9.28280124],[-0.72683349 -0.9543617 ],[6.05584979 1.81589207],[0.39239881 1.14659005],[6.63098894 3.92678539],[-0.97983813  0.77154332],[4.13310146 2.20158106],[-0.54726486  1.10739708],[3.55324809 5.11447102],[-0.85940995 -0.4285316 ],[1.74518107 6.32870428],[1.20051245 0.26414353],[4.31863447 8.70687121],[ 0.66880302 -1.08813219],[6.27844495 3.29220548],[-0.80816979  0.96022509]
[5.53513992 3.80533434],[ 0.67866356 -0.48354344],[1.37657509 6.62737649],[ 0.71484307 -1.0503503 ],[4.85945126 9.1848266 ],[-0.69777904 -1.00411244],[6.09213086 1.93186144],[0.33240737 1.17076832],[6.53302556 4.00332849],[-0.97768064  0.76106315],[4.08038339 2.31321046],[-0.50638728  1.12550456],[3.46844446 5.07183918],[-0.83960489 -0.42696356],[1.86550956 6.3529872 ],[1.20464795 0.22072455],[4.38343151 8.59693132],[ 0.62931285 -1.10812312],[6.19771654 3.38780944],[-0.8087499   0.94948681]
[5.60289158 3.75812881],[ 0.67321637 -0.46360443],[1.44961925 6.52367086],[ 0.74847105 -1.02085298],[4.79101026 9.08206953],[-0.67209486 -1.05085741],[6.12237128 2.04987727],[0.27390535 1.18992155],[6.43535676 4.0789035 ],[-0.97684733  0.74925694],[4.0314577  2.42626245],[-0.46857361  1.13889016],[3.38544026 5.02919161],[-0.82315114 -0.42863682],[1.98596202 6.37280392],[1.20501545 0.17674851],[4.44453135 8.48532713],[ 0.59265851 -1.12378605],[6.1166545  3.48205762],[-0.81049714  0.93743715]
[5.66959335 3.71244301],[ 0.66166812 -0.44919025],[1.52587683 6.42289566],[ 0.7745411  -0.99634517],[4.72532548 8.97516571],[-0.64230852 -1.08680383],[6.14703547 2.16973431],[0.22058743 1.20721485],[6.33767867 4.15319311],[-0.97663461  0.7365562 ],[3.98655223 2.5407953 ],[-0.42978548  1.15127548],[3.30387751 4.98615435],[-0.80457266 -0.42853329],[2.10652848 6.38845805],[1.21045646 0.14134275],[4.50208213 8.37233295],[ 0.55784171 -1.13642412],[6.03567209 3.57534052],[-0.80884929  0.9284536 ]
[5.73569926 3.66879708],[ 0.66098414 -0.42301213],[1.60498434 6.3249419 ],[ 0.8048883  -0.96511918],[4.66241395 8.8647923 ],[-0.61556942 -1.11914206],[6.16643131 2.29102846],[0.16792789 1.21828175],[6.24045264 4.22664262],[-0.97136433  0.72898377],[3.94507926 2.65607718],[-0.40015664  1.15395849],[3.2243535  4.94331665],[-0.78576816 -0.42807395],[2.22723243 6.40037835],[1.20514106 0.09902084],[4.55625083 8.25822281],[ 0.52418356 -1.14706786],[5.95510261 3.66795356],[-0.80297918  0.92330721]
[5.80171333 3.62780661],[ 0.66225175 -0.39361927],[1.68715458 6.2302404 ],[ 0.83569602 -0.93140219],[4.60258943 8.75189802],[-0.58114375 -1.13806708],[6.1805237  2.41309846],[0.11659349 1.22489942],[6.14328329 4.29885035],[-0.96782517  0.71937255],[3.90660495 2.77167613],[-0.36837887  1.15887772],[3.14672853 4.90053972],[-0.76799576 -0.42875665],[2.3477007  6.40850513],[1.20577905 0.06566198],[4.60695357 8.14299749],[ 0.49097119 -1.15621004],[5.87471802 3.75963578],[-0.80478797  0.91025696]
