[8.24477506 4.13368265],[-0.88304441 -0.66660816],[6.43445487 5.43979183],[-1.10113577  0.31892116],[3.6596011  8.99689266],[-0.47682923 -0.19771912],[2.74864616 5.5764202 ],[0.12237795 0.99552864],[5.76477502 6.3679872 ],[-0.65287393 -0.92553508],[3.77603787 4.85574622],[ 1.18041639 -0.07871482],[8.89404752 5.11361442],[-0.69014359 -0.89544392],[7.01636916 9.62693197],[-1.08222528 -0.71934781],[ 5.55895873 -0.22819222],[0.531492   1.24203836],[0.4478841  4.62404506],[ 1.15080544 -0.48754969]
[8.15381798 4.06945774],[-0.93747655 -0.62006633],[6.32459811 5.47118791],[-1.09620743  0.30876622],[3.6122636  8.97189961],[-0.47136944 -0.30505517],[2.76379085 5.67552758],[0.1817605  0.98766184],[5.70007221 6.27589475],[-0.64151416 -0.91664077],[3.89352519 4.84871143],[ 1.16999506 -0.0616107 ],[8.82157417 5.02584252],[-0.75588691 -0.85699609],[6.90984309 9.5525072 ],[-1.04968508 -0.76964268],[ 5.6094398  -0.10229681],[0.47792184 1.27382564],[0.56531104 4.57752573],[ 1.19659448 -0.44150431]
[8.05791328 4.01017314],[-0.98113848 -0.56691734],[6.21522912 5.50154033],[-1.0920246   0.29734704],[3.56577932 8.93601152],[-0.45718556 -0.41291813],[2.78489628 5.77377115],[0.24216272 0.97862296],[5.63599852 6.18420146],[-0.6398119  -0.91695113],[4.00988702 4.84323908],[ 1.15767041 -0.04768072],[8.742718   4.94198814],[-0.82016211 -0.81959659],[6.80640246 9.47311916],[-1.01747549 -0.815571  ],[5.65482658 0.02650788],[0.43024289 1.30081951],[0.68683196 4.5358052 ],[ 1.23206803 -0.39292547]
[7.95766442 3.9559977 ],[-1.02200559 -0.51570018],[6.1064003  5.53084713],[-1.08289973  0.29047896],[3.52102744 8.88923468],[-0.43818689 -0.52401726],[2.81202505 5.87097661],[0.30425771 0.96903029],[5.57255413 6.09296063],[-0.63234927 -0.91107932],[4.1254012  4.83951191],[ 1.15100867 -0.02840239],[8.65795099 4.86223349],[-0.87452562 -0.77554423],[6.70615298 9.389352  ],[-0.98702055 -0.85842032],[5.69542354 0.15749859],[0.38204483 1.31782344],[0.81148263 4.49901209],[ 1.25889804 -0.34377288]
[7.85360431 3.90696177],[-1.05574022 -0.46250659],[5.99813404 5.55910754],[-1.08142187  0.27559733],[3.4779511  8.83081383],[-0.41937224 -0.64097271],[2.84524106 5.96698021],[0.36095516 0.95180248],[5.50966181 6.00213769],[-0.62416226 -0.90402201],[4.24015579 4.83762145],[ 1.14457046 -0.00884474],[8.56787266 4.78681913],[-0.92749461 -0.73401149],[6.60902676 9.30161629],[-0.95802735 -0.89796243],[5.7312328  0.28983498],[0.33616889 1.32966613],[0.9381608  4.46678265],[ 1.27453505 -0.30033079]
[7.7465282  3.86335302],[-1.08395863 -0.4087126 ],[5.89011582 5.58592595],[-1.0759686   0.26365698],[3.43726136 8.76106197],[-0.3935428  -0.75303688],[2.88400987 6.0610769 ],[0.41379279 0.9294119 ],[5.44766453 5.91210347],[-0.61597194 -0.89681243],[4.35418813 4.83763584],[1.1339518  0.00680028],[8.47276633 4.71560129],[-0.97516805 -0.69178637],[6.51485838 9.21021948],[-0.92604745 -0.92983717],[5.76274556 0.42327241],[0.29136448 1.33546058],[1.06591694 4.43855381],[ 1.28326647 -0.26128611]
[7.63688572 3.82513331],[-1.11107875 -0.35887806],[5.7828755 5.6117826],[-1.06735345  0.25498235],[3.39933766 8.68036821],[-0.36020787 -0.85520738],[2.927939   6.15277152],[0.46564624 0.90525127],[5.38657788 5.82288831],[-0.60828879 -0.88998293],[4.46716788 4.83918965],[1.12449413 0.02314255],[8.37311472 4.64856907],[-1.01391059 -0.64578398],[6.42386832 9.11584625],[-0.89519    -0.95825712],[5.7900708  0.55731262],[0.2552016  1.34411374],[1.1948779  4.41470845],[ 1.29235205 -0.21891342]
[7.52437712 3.79141011],[-1.13593391 -0.3135602 ],[5.67663781 5.63693601],[-1.05835325  0.24717014],[3.36526905 8.59025228],[-0.32017385 -0.94458372],[2.97727672 6.24221839],[0.51987004 0.88236664],[5.3256414 5.7337679],[-0.611684   -0.89348905],[4.57906094 4.84223053],[1.11194796 0.03598506],[8.27000595 4.58631567],[-1.04670787 -0.59860853],[6.33604862 9.01893404],[-0.86084385 -0.97887768],[5.8137752  0.69190354],[0.22044616 1.3483606 ],[1.32442665 4.39485118],[ 1.29549688 -0.18135804]
[7.4098719  3.76240763],[-1.15249644 -0.26576791],[5.57114785 5.66114859],[-1.05205202  0.23649794],[3.33544283 8.49189619],[-0.27410986 -1.01839601],[3.03159668 6.32890198],[0.56588183 0.850718  ],[5.26496618 5.64493584],[-0.60333282 -0.88465913],[4.68995556 4.84679014],[1.10522272 0.05457577],[8.16363527 4.52854332],[-1.07763283 -0.55476128],[6.25173364 8.92022464],[-0.82731201 -0.99649348],[5.8338386  0.82652823],[0.18275478 1.34550763],[1.4537731  4.37818949],[ 1.29176722 -0.15177145]
[7.29425373 3.73850001],[-1.16167043 -0.21501726],[5.46630419 5.68429469],[-1.04544625  0.22570368],[3.31053354 8.38701525],[-0.22383079 -1.07696159],[3.09068629 6.41257904],[0.61652602 0.82341428],[5.20443546 5.55632246],[-0.60416863 -0.88436986],[4.79943684 4.85244405],[1.08701293 0.06073204],[8.0546737  4.47541621],[-1.10269411 -0.5098448 ],[6.17029952 8.81947005],[-0.80172965 -1.01827306],[5.85021293 0.96079588],[0.14642193 1.34109638],[1.58316287 4.36489139],[ 1.29399002 -0.11611644]
