[9.17065345 7.15745622],[-0.45550806 -1.27902543],[5.53999454 1.70341628],[-0.88755844  0.50651669],[6.04209565 4.78563556],[-0.99868438 -0.09487769],[5.93105725 2.15033733],[-0.3818719  -0.76864388],[6.1012961  4.78248571],[-0.20482388 -1.1163503 ],[5.55094404 1.96318175],[1.0977819  0.38514384],[4.00607749 3.07556423],[1.03036258 0.67659025],[9.34732478 0.50984246],[-0.7618558   0.30235133],[6.75324101 5.24390764],[0.76157586 0.45031079],[5.97941484 3.46944176],[ 0.75251384 -0.76624069]
[9.12347878 7.03018291],[-0.48725151 -1.26609487],[5.4525703  1.75613253],[-0.86128142  0.54686701],[5.94327706 4.77505485],[-0.98038617 -0.11936667],[5.89285423 2.07397866],[-0.38411677 -0.76038221],[6.08159582 4.67092741],[-0.18654469 -1.11207961],[5.6599016  2.00290795],[1.08055428 0.4082314 ],[4.10944742 3.14196155],[1.0373864  0.65201103],[9.26635644 0.54405183],[-0.85419593  0.38116975],[6.83015731 5.28753722],[0.77646613 0.42193411],[6.0545899  3.39335316],[ 0.75008435 -0.75638149]
[9.073444   6.90438436],[-0.51282023 -1.24978563],[5.36767338 1.81260367],[-0.8325285   0.58610934],[5.84591307 4.76162153],[-0.96704792 -0.14957016],[5.85461121 1.99864957],[-0.37751587 -0.74298394],[6.06351496 4.55963128],[-0.17580646 -1.11414234],[5.76706269 2.04478936],[1.06534147 0.43188601],[4.21318865 3.20562739],[1.03888225 0.6229559 ],[9.17705091 0.58579149],[-0.92858946  0.45207744],[6.90817996 5.32790816],[0.78282768 0.38420176],[6.12966935 3.31841719],[ 0.7497804  -0.74401068]
[9.02088702 6.78011399],[-0.5385496  -1.23639563],[5.28598139 1.87317113],[-0.80098593  0.62499248],[5.74978016 4.7449993 ],[-0.95377733 -0.18124314],[5.81691404 1.92493807],[-0.37527504 -0.7300857 ],[6.04681927 4.44852939],[-0.16154396 -1.11121578],[5.87281555 2.08912365],[1.05040472 0.45526599],[4.31749111 3.26686362],[1.04411066 0.59896885],[9.08150876 0.63438328],[-0.97783839  0.51928369],[6.98662442 5.36422383],[0.78912317 0.34500367],[6.20457151 3.24459054],[ 0.74733642 -0.73339939]
[8.96607363 6.65736684],[-0.55640978 -1.21772217],[5.20781311 1.93783468],[-0.76399105  0.66613271],[5.65459317 4.72472932],[-0.94621862 -0.22074746],[5.77932185 1.85240781],[-0.37711146 -0.72099047],[6.03129376 4.33754275],[-0.14968653 -1.10896754],[5.97674119 2.13540576],[1.03149744 0.47346791],[4.4221354  3.32556967],[1.04994436 0.57664676],[8.98163907 0.68888383],[-1.0171089   0.56851758],[7.06581751 5.39668705],[0.7920644 0.3013945],[6.27867629 3.17128991],[ 0.73550821 -0.73182144]
[8.90941307 6.53627961],[-0.57719493 -1.2047407 ],[5.13319686 2.00629885],[-0.72908404  0.70183283],[5.5606566  4.70090582],[-0.93100733 -0.25441432],[5.74224114 1.7814895 ],[-0.36776933 -0.70070227],[6.01728723 4.22715697],[-0.13271265 -1.10098589],[6.07889571 2.18357599],[1.01100821 0.48909367],[4.5274947  3.38226054],[1.05703176 0.55725619],[8.87874024 0.74792114],[-1.03561182  0.61380374],[7.14514792 5.42455036],[0.79503847 0.25616006],[6.35219358 3.09875935],[ 0.73680711 -0.71677448]
[8.85111338 6.41680708],[-0.59102682 -1.18731631],[5.06182712 2.07791796],[-0.69724234  0.73106233],[5.46838256 4.67378751],[-0.91587447 -0.28952622],[5.70554541 1.71205283],[-0.36526815 -0.68710272],[6.00485461 4.11746662],[-0.11557225 -1.09239818],[6.17915306 2.23339751],[0.99554141 0.50864468],[4.63346144 3.43699249],[1.06167382 0.53701892],[8.77430744 0.81079001],[-1.05212772  0.64137684],[7.22479759 5.44783712],[0.79926758 0.21076746],[6.42563637 3.02754643],[ 0.73528523 -0.70420284]
[8.79112838 6.29867851],[-0.60737772 -1.17424217],[4.99379109 2.1524443 ],[-0.66014028  0.76225456],[5.37727263 4.64270459],[-0.90582917 -0.3320666 ],[5.66906624 1.6439601 ],[-0.36292876 -0.67335868],[5.99401412 4.00852422],[-0.10279488 -1.08781302],[6.27752487 2.28479105],[0.97500034 0.52215722],[4.73981412 3.48968915],[1.0649163  0.51668574],[8.66913106 0.8765102 ],[-1.05061891  0.67178034],[7.30503641 5.46670145],[0.80414    0.16506878],[6.49904462 2.95772607],[ 0.73174606 -0.69329988]
[8.72955912 6.18182512],[-0.62396025 -1.16303737],[4.92960611 2.23006582],[-0.6207111   0.79247043],[5.28771896 4.60780559],[-0.88438268 -0.3651869 ],[5.63290167 1.57733339],[-0.36044112 -0.65920104],[5.98475661 3.90037331],[-0.08444303 -1.07734747],[6.37366986 2.3373005 ],[0.95225617 0.53214058],[4.8460756 3.5399671],[1.06310343 0.49181367],[8.56438346 0.94498862],[-1.0468658   0.69372346],[7.38573781 5.48093392],[0.80626947 0.11576582],[6.57223371 2.88914695],[ 0.73170091 -0.67857117]
[8.6666426  6.06632531],[-0.63353228 -1.146564  ],[4.86941836 2.31059605],[-0.58263911  0.81802976],[5.20008262 4.56928862],[-0.86527498 -0.40230892],[5.5972356  1.51238397],[-0.35302658 -0.63993045],[5.97696316 3.79292074],[-0.06850443 -1.06873991],[6.46812241 2.39135682],[0.93566801 0.54772645],[4.95231966 3.58795751],[1.06140378 0.46770573],[8.46024967 1.01547357],[-1.03622057  0.71447926],[7.46639793 5.48991475],[0.80760581 0.064455  ],[6.64547331 2.8221144 ],[ 0.7297483  -0.66538487]
